edition	page	locus	source_group_id	source_group_index	ivtff_group_raw	left_separator	right_separator
ZL3b	f103r	f103r.10	ZL3b|f103r.10|G002	2	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.11	ZL3b|f103r.11|G005	5	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.13	ZL3b|f103r.13|G002	2	sheor	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.14	ZL3b|f103r.14|G001	1	okain	LINE_START	DEFINITE_SPACE
ZL3b	f103r	f103r.18	ZL3b|f103r.18|G003	3	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.18	ZL3b|f103r.18|G006	6	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.22	ZL3b|f103r.22|G002	2	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.25	ZL3b|f103r.25|G010	10	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.25	ZL3b|f103r.25|G012	12	ol	DEFINITE_SPACE	LINE_END
ZL3b	f103r	f103r.28	ZL3b|f103r.28|G009	9	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.4	ZL3b|f103r.4|G007	7	ol	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.43	ZL3b|f103r.43|G003	3	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.46	ZL3b|f103r.46|G009	9	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.49	ZL3b|f103r.49|G005	5	ol	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f103r	f103r.7	ZL3b|f103r.7|G004	4	olshedy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103r	f103r.7	ZL3b|f103r.7|G008	8	ol	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f103v	f103v.10	ZL3b|f103v.10|G010	10	sheor	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.12	ZL3b|f103v.12|G007	7	ol	UNCERTAIN_SMALL_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f103v	f103v.13	ZL3b|f103v.13|G005	5	olshedy	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.16	ZL3b|f103v.16|G007	7	ol	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f103v	f103v.17	ZL3b|f103v.17|G008	8	ol	DEFINITE_SPACE	UNCERTAIN_SMALL_SPACE
ZL3b	f103v	f103v.18	ZL3b|f103v.18|G002	2	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.20	ZL3b|f103v.20|G007	7	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.28	ZL3b|f103v.28|G006	6	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.30	ZL3b|f103v.30|G002	2	okain	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.34	ZL3b|f103v.34|G003	3	ol	DEFINITE_SPACE	DEFINITE_SPACE
ZL3b	f103v	f103v.36	ZL3b|f103v.36|G005	5	olshedy	DEFINITE_SPACE	LINE_END
ZL3b	f103v	f103v.37	ZL3b|f103v.37|G003	3	ol	DEFINITE_SPACE	DEFINITE_SPACE
