source_reading_id	surface	value_kind	structural_tag	dictionary_default_de	context_summary_de	exact_whole_action_default_allowed	is_structural_not_spoken_lexeme	component_action_export_allowed	component_structural_export_allowed	component_global_export_allowed	audit_status	historical_confirmation
aiijy#1	aiijy	ACTION_WHOLE	NONE	in drei Bündel abfüllen und schließen	den vorstehenden Anteil in drei Bündel abfüllen und schließen	1	0	0	0	0	PASS_EXACT_ACTION_WHOLE	H0_NONE
chpcheey#1	chpcheey	MATERIAL_STATE_WHOLE	NONE	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
cpheesy#1	cpheesy	MATERIAL_RESULT_WHOLE	NONE	vollständig bereitetes und abgeschlossenes Kompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
da#1	da	ACTION_WHOLE	NONE	eine Teilmenge abmessen	vom vorstehenden heißen Material eine Teilmenge abmessen	1	0	0	0	0	PASS_EXACT_ACTION_WHOLE	H0_NONE
dy#1	dy	STRUCTURAL_MARK	LINE_STOP	[STRUKTUR: SATZSCHLUSS]	.	0	1	0	0	0	PASS_STRUCTURAL_TAG_SEPARATED_FROM_RENDERER	H0_NONE
dy#2	dy	STRUCTURAL_MARK	CLAUSE_STOP	[STRUKTUR: ARBEITSSCHRITT-TRENNER]	;	0	1	0	0	0	PASS_STRUCTURAL_TAG_SEPARATED_FROM_RENDERER	H0_NONE
kodeey#1	kodeey	QUANTITY_STATE_WHOLE	NONE	vollständig erhitzte und abgeschlossene Dosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
oror#1	oror	QUANTITY_WHOLE	NONE	zwei Portionen	zwei Portionen	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
otytchol#1	otytchol	MATERIAL_STATE_WHOLE	NONE	nachgekühlter Trockenstoff	nachgekühlter Trockenstoff im Ansatz	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
qy#1	qy	ACTION_WHOLE	NONE	hiervon nehmen	hiervon nehmen	1	0	0	0	0	PASS_EXACT_ACTION_WHOLE	H0_NONE
taiky#1	taiky	MATERIAL_STATE_WHOLE	NONE	kalt angesetzte Charge, leicht angewärmt	kalt angesetzte Charge, leicht angewärmt	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
tail#1	tail	MATERIAL_STATE_QUANTITY_WHOLE	NONE	kaltgestellter Materialanteil II	kaltgestellte Rohdroge II	0	0	0	0	0	PASS_NOMINAL_WITHOUT_HIDDEN_IMPERATIVE	H0_NONE
y#1	y	STRUCTURAL_MARK	LINE_STOP	[STRUKTUR: SATZSCHLUSS]	.	0	1	0	0	0	PASS_STRUCTURAL_TAG_SEPARATED_FROM_RENDERER	H0_NONE
y#2	y	STRUCTURAL_LINK	RIGHT_REFERENCE	[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	Hierzu:|Anschließend:	0	1	0	0	0	PASS_STRUCTURAL_TAG_SEPARATED_FROM_RENDERER	H0_NONE
yey#1	yey	STRUCTURAL_LINK	FORWARD_CONTINUATION	[STRUKTUR: FORTSETZUNG DES VORSTEHENDEN POSTENS]	anschließend:	0	1	0	0	0	PASS_STRUCTURAL_TAG_SEPARATED_FROM_RENDERER	H0_NONE
ypchesy#1	ypchesy	ACTION_WHOLE	NONE	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	1	0	0	0	0	PASS_EXACT_ACTION_WHOLE	H0_NONE
