page	locus	target_position_ids	target_reading_ids	target_surfaces	surface_sequence	v97_reader_de	v98_reader_de	changed_target_positions	executed_bound_span_ids	companion_line_render_position_ids	renderer_change_count	historical_confirmation
f102v2	f102v2.3	P001	oror#1	oror	oror	zwei Portionen	zwei Portionen	0	NONE	NONE	0	H0_NONE
f105r	f105r.2	P013	yey#1	yey	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	eine abgemessene feuchte Form auf Endstufe · hieran anschließend · trocken am Ende des Grades · Wurzel, Charge III · kalt-trockene Zubereitung; Anfangsstufe erreicht · eine Portion des Ansatzes abmessen · trockenes Material, Mittelstufe · Drogenportion · trocken am Ende des Grades · eine heiße Zubereitung auf Endstufe · Anteil I des Ansatzes abmessen · getrocknete Masse · fertige Zubereitung	eine abgemessene feuchte Form auf Endstufe · anschließend: trocken am Ende des Grades · Wurzel, Charge III · kalt-trockene Zubereitung; Anfangsstufe erreicht · eine Portion des Ansatzes abmessen · trockenes Material, Mittelstufe · Drogenportion · trocken am Ende des Grades · eine heiße Zubereitung auf Endstufe · Anteil I des Ansatzes abmessen · getrocknete Masse · fertige Zubereitung	1	NONE	NONE	1	H0_NONE
f105r	f105r.31	P025|P029|P030	kodeey#1|aiijy#1|cpheesy#1	kodeey|aiijy|cpheesy	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Holz · eingeweicht · Drogenanteil I · in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Arzneikompositum · Rohstoffklasse I im heißen Ansatz, Gradanfang · bis zur mittleren Heizstufe erhitztes Holz · Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes · mittlere Trockenstufe erreicht · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Holz · eingeweicht · Drogenanteil I · den vorstehenden Anteil in drei Bündel abfüllen und schließen · vollständig bereitetes und abgeschlossenes Arzneikompositum · Rohstoffklasse I im heißen Ansatz, Gradanfang · bis zur mittleren Heizstufe erhitztes Holz · Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes · mittlere Trockenstufe erreicht · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform	1	NONE	NONE	1	H0_NONE
f105v	f105v.14	P053	tail#1	tail	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	drei Dosen bis Mittelstufe getrocknetes Pulver · trockenes Arzneikompositum, Anfangsstufe erreicht · hiervon den heißen Anteil III nehmen · fertiges Holzextraktpulver · abgezogene Portion des Holzauszugs · Menge IV · kaltgestellte Rohdroge II · Anteil I des Ansatzes abmessen · vorstehend abgemessener, erhitzter und abgezogener Anteil I · Droge kalt trocknen und leicht nachtrocknen	drei Dosen bis Mittelstufe getrocknetes Pulver · trockenes Arzneikompositum, Anfangsstufe erreicht · hiervon den heißen Anteil III nehmen · fertiges Holzextraktpulver · abgezogene Portion des Holzauszugs · Menge IV · kaltgestellte Rohdroge II · Anteil I des Ansatzes abmessen · vorstehend abgemessener, erhitzter und abgezogener Anteil I · Droge kalt trocknen und leicht nachtrocknen	0	NONE	NONE	0	H0_NONE
f10r	f10r.2	P096	otytchol#1	otytchol	dchey cthoor char chty os chair otytchol oky daiin etyd	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine Portion Krautansatz · trockener Anteil I der vorstehenden Krautansatzportion · trocken-kalt am Gradanfang · eine Zubereitung · trockener Anteil II der vorstehenden Zubereitung · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz am Anfang des Grades · Grad III · bis zur Mittelstufe gekühlte, abgeschlossene Zubereitung	Eine abgemessene Portion bis zur Mittelstufe trocknen · eine Portion Krautansatz · trockener Anteil I der vorstehenden Krautansatzportion · trocken-kalt am Gradanfang · eine Zubereitung · trockener Anteil II der vorstehenden Zubereitung · nachgekühlter Trockenstoff im Ansatz · heißer Ansatz am Anfang des Grades · Grad III · bis zur Mittelstufe gekühlte, abgeschlossene Zubereitung	0	NONE	NONE	0	H0_NONE
f112v	f112v.10	P109	oror#1	oror	dain sheey okchedy oror	Grad II · feucht, Endstufe · heiß-trockene Zubereitung; Mittelstufe erreicht · zwei Portionen	Grad II · feucht, Endstufe · heiß-trockene Zubereitung; Mittelstufe erreicht · zwei Portionen	0	NONE	NONE	0	H0_NONE
f113v	f113v.12	P114	oror#1	oror	solchedy otsheody arl olchey oror	bis zur Mittelstufe getrocknete Samenmasse · fertiges kalt angefeuchtetes Mazerat · Anteil I der Holzdroge · Holzansatz, bis Mittelstufe getrocknet · zwei Portionen	bis zur Mittelstufe getrocknete Samenmasse · fertiges kalt angefeuchtetes Mazerat · Anteil I der Holzdroge · Holzansatz, bis Mittelstufe getrocknet · zwei Portionen	0	NONE	NONE	0	H0_NONE
f114r	f114r.24	P132	chpcheey#1	chpcheey	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	eine abgemessene kalt-trockene Menge III auf Mittelstufe · abgemessenes Material I · Pflanzenteil · nachgetrocknetes Pulver, Form II · bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · trockene Mischung im Ansatz, Grundstufe · eine trockene Zubereitung · Anteil III der vorstehenden trockenen Zubereitung · trocken-kalt am Gradanfang · Pulverzubereitung aus Trockengut · Samenanteil II · Mischung, Grundform · abgemessener Anteil II	eine abgemessene kalt-trockene Menge III auf Mittelstufe · abgemessenes Material I · Pflanzenteil · nachgetrocknetes Pulver, Form II · bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · trockene Mischung im Ansatz, Grundstufe · eine trockene Zubereitung · Anteil III der vorstehenden trockenen Zubereitung · trocken-kalt am Gradanfang · Pulverzubereitung aus Trockengut · Samenanteil II · Mischung, Grundform · abgemessener Anteil II	0	NONE	NONE	0	H0_NONE
f23r	f23r.6	P200	y#2	y	tshol y kor qokaiin yky dar okol dchey daiidal dam ytcho ldals	kalt-feuchtes Material · Hierzu: eine heiße Portion · heiß, Grad III · die heiße Portion auf Stufe III leicht nachwärmen · abgemessener Anteil I · heißer Ansatzstoff · fertige abgemessene Mittelstufen-Trockenportion · Material I, dreimal abgemessen · abgemessenes Maß · hieraus eine kalte Trockenmischung herstellen · eine Charge Holzrohstoff I abmessen	kalt-feuchtes Material · Hierzu: eine heiße Portion · heiß, Grad III · die heiße Portion auf Stufe III leicht nachwärmen · abgemessener Anteil I · heißer Ansatzstoff · fertige abgemessene Mittelstufen-Trockenportion · Material I, dreimal abgemessen · abgemessenes Maß · hieraus eine kalte Trockenmischung herstellen · eine Charge Holzrohstoff I abmessen	0	NONE	NONE	0	H0_NONE
f26r	f26r.2	P221	dy#2	dy	dchey aiin adeeody ykecthey chedy ytedy dy checthedy ls	fertige abgemessene Mittelstufen-Trockenportion · Menge III · gleich großer abgemessener Teil der fertigen Zubereitung · hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen · mittlere Trockenstufe erreicht · hiervon bis zur Mittelstufe abkühlen und abschließen; Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen · eine Charge Holz	fertige abgemessene Mittelstufen-Trockenportion · Menge III · gleich großer abgemessener Teil der fertigen Zubereitung · hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen · mittlere Trockenstufe erreicht · hiervon bis zur Mittelstufe abkühlen und abschließen; Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen · eine Charge Holz	0	NONE	NONE	0	H0_NONE
