position_id	source_reading_id	page	locus	token_ordinal	surface	left_surface	right_surface	dictionary_default_de	local_context_realization_de	value_kind	structural_tag	clause_type	action_license	context_mode	local_evidence_de	score	level	component_global_export_allowed	historical_confirmation
P001	oror#1	f102v2	f102v2.3	1	oror	<BOS>	<EOS>	zwei Portionen	zwei Portionen	QUANTITY_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	UNCHANGED_MULTI_POSITION_QUANTITY	Einzelposten; keine Stoffidentität ergänzen.	28	W1_WEAK_WORKING	0	H0_NONE
P013	yey#1	f105r	f105r.2	2	yey	dshees	cheey	[STRUKTUR: FORTSETZUNG DES VORSTEHENDEN POSTENS]	anschließend:	STRUCTURAL_LINK	FORWARD_CONTINUATION	NOMINAL_BLOCK	NOT_ACTION_LICENSED	STRUCTURAL_LINK_RENDER	Verknüpft die vorstehende feuchte Endform als Scharnier mit dem folgenden Trockenstatus.	0	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	H0_NONE
P025	kodeey#1	f105r	f105r.31	1	kodeey	<BOS>	lchl	vollständig erhitzte und abgeschlossene Dosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	QUANTITY_STATE_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	LOCAL_PRODUCT_HEAD	Zubereitung bleibt als lokaler Dosis-Kopf vor getrocknetem Holz erhalten.	21	W1_WEAK_WORKING	0	H0_NONE
P029	aiijy#1	f105r	f105r.31	5	aiijy	ar	cpheesy	in drei Bündel abfüllen und schließen	den vorstehenden Anteil in drei Bündel abfüllen und schließen	ACTION_WHOLE	NONE	ACTION_CLAUSE	GDT689_V62_ACTION_ORDINAL	LOCAL_PATIENT_BINDING	Der sichtbare linke ar-Posten liefert den Patienten genau einmal.	23	W1_WEAK_WORKING	0	H0_NONE
P030	cpheesy#1	f105r	f105r.31	6	cpheesy	aiijy	okal	vollständig bereitetes und abgeschlossenes Kompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	MATERIAL_RESULT_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	LOCAL_PRODUCT_HEAD	Arznei bleibt nur im lokalen Kompositionsregister.	21	W1_WEAK_WORKING	0	H0_NONE
P053	tail#1	f105v	f105v.14	7	tail	aiiin	odar	kaltgestellter Materialanteil II	kaltgestellte Rohdroge II	MATERIAL_STATE_QUANTITY_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	LOCAL_PRODUCT_HEAD	Rohdroge bleibt lokal zwischen Menge IV und dem folgenden Abmessschritt.	21	W1_WEAK_WORKING	0	H0_NONE
P096	otytchol#1	f10r	f10r.2	7	otytchol	chair	oky	nachgekühlter Trockenstoff	nachgekühlter Trockenstoff im Ansatz	MATERIAL_STATE_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	LOCAL_PREPARATION_FRAME	Ansatz bleibt nur der lokale Rahmen zwischen Trockenanteil und heißem Anfangsansatz.	21	W1_WEAK_WORKING	0	H0_NONE
P109	oror#1	f112v	f112v.10	4	oror	okchedy	<EOS>	zwei Portionen	zwei Portionen	QUANTITY_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	UNCHANGED_MULTI_POSITION_QUANTITY	Die Zweiermenge folgt einem heiß-trockenen Mittelstufenergebnis.	28	W1_WEAK_WORKING	0	H0_NONE
P114	oror#1	f113v	f113v.12	5	oror	olchey	<EOS>	zwei Portionen	zwei Portionen	QUANTITY_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	UNCHANGED_MULTI_POSITION_QUANTITY	Die Zweiermenge folgt einem getrockneten Holzansatz.	28	W1_WEAK_WORKING	0	H0_NONE
P132	chpcheey#1	f114r	f114r.24	4	chpcheey	chor	chcphey	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	MATERIAL_STATE_WHOLE	NONE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	UNCHANGED_POWDER_RESULT	Nominales Pulverresultat zwischen Pflanzenteil und fertigem Kompositum.	31	W1_WEAK_WORKING	0	H0_NONE
P200	y#2	f23r	f23r.6	2	y	tshol	kor	[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	Hierzu:	STRUCTURAL_LINK	RIGHT_REFERENCE	NOMINAL_BLOCK	NOT_ACTION_LICENSED	RIGHT_REFERENCE_RENDER	Öffnet den folgenden heißen Portionsposten.	19	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	H0_NONE
P221	dy#2	f26r	f26r.2	7	dy	ytedy	checthedy	[STRUKTUR: ARBEITSSCHRITT-TRENNER]	;	STRUCTURAL_MARK	CLAUSE_STOP	ACTION_CLAUSE	NOT_ACTION_LICENSED	CLAUSE_STOP_RENDER	Trennt zwei aktionshaltige Arbeitsblöcke, ohne selbst eine Handlung zu tragen.	19	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	H0_NONE
P243	dy#2	f56r	f56r.6	2	dy	ykcho	dchey	[STRUKTUR: ARBEITSSCHRITT-TRENNER]	;	STRUCTURAL_MARK	CLAUSE_STOP	ACTION_CLAUSE	NOT_ACTION_LICENSED	CLAUSE_STOP_RENDER	Trennt Herstellung und nachfolgenden Ergebnisblock.	19	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	H0_NONE
P247	y#1	f56r	f56r.6	6	y	daiin	<EOS>	[STRUKTUR: SATZSCHLUSS]	.	STRUCTURAL_MARK	LINE_STOP	NOMINAL_BLOCK	NOT_ACTION_LICENSED	LINE_STOP_RENDER	Beendet den Wert-/Qualitätsblock.	19	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	H0_NONE
