rank	source_id	date_region	attested_architecture	primary_url	direct_image_or_secondary_url	mapped_role	fit_to_relation	selection_credit
1	BAV_PAL_LAT_1234	Germany circa 1400	QUALITY_DEGREE_to_PART_HEADER_to_LEARNED_HEAD_LIST	https://iiif.biblissima.fr/collections/manifest/844602d0321232a97915f62439f9185aa629eb64	https://digi.vatlib.it/iiifimage/MSS_Pal.lat.1234/Pal.lat.1234_0010_fa_0003r.jp2/full/2200,/0/default.jpg	QUALITY_DEGREE|PART_FORM_SCOPE	VERY_STRONG_RECORD_RECTANGLE_NOT_INTERNAL_CHARACTER	TOPOLOGY_ONLY
2	WELLCOME_MS_542	England early fifteenth century	HEAD_PART_QUALITY_QUALITY_DEGREE_ALIAS	https://wellcomecollection.org/works/n674z2xd	https://iiif.wellcomecollection.org/image/b19608767_MS_542_0249.JP2/full/2400,/0/default.jpg	QUALITY_DEGREE|PART_FORM_SCOPE	VERY_STRONG_MICROENTRY_FIELDS	TOPOLOGY_ONLY
3	BL_ADD_MS_29301	London circa 1415-1430	SAME_HEAD_IN_NAME_QUALITY_DEGREE_AND_INDICATION_CHANNELS	https://searcharchives.bl.uk/catalog/032-002020783	https://reunido.uniovi.es/index.php/SELIM/article/download/13436/12167/28494	RECORD_CHANNEL	STRONGEST_CHANNEL_RECTANGLE	TOPOLOGY_ONLY
4	WELLCOME_MS_307_683	Europe late fourteenth to mid fifteenth century	MULTIPLE_HEADS_ANA_UNIT_VALUE	https://wellcomecollection.org/works/rexwctzt	https://wellcomecollection.org/works/w6ne7k4t	GROUP_DOSE|UNIT_VALUE	STRONG_OPTIONAL_SCOPE_OPERATOR_NOT_INTERNAL	TOPOLOGY_ONLY
5	BAV_PAL_LAT_1200	Germany circa 1400	PRO_HEAD_A_HEAD_B_OPTIONAL_VEL_HEAD_C	https://iiif.biblissima.fr/collections/manifest/cc670cd21168bff9a3f575adb2986e4952e91b5f	https://digi.vatlib.it/iiifimage/MSS_Pal.lat.1200/Pal.lat.1200_0124_fa_0059v.jp2/full/2200,/0/default.jpg	RELATION_SUBSTITUTE	STRONG_RELATION_OVER_LEARNED_HEADS	TOPOLOGY_ONLY
6	SALZBURG_MI_89	Bavaria_Austria turn of fourteenth_fifteenth century	COMMAND_PART_OR_FORM_MULTIPLE_HEADS	https://manuscripta.at/hs_detail.php?ID=8162	https://manuscripta.at/diglit/AT7400-MI89/0533	PART_FORM_SCOPE	STRONG_SCOPE_WORD_NOT_INTERNAL	TOPOLOGY_ONLY
7	WELLCOME_MS_140_BL_HARLEY_2374	Italy_England early fifteenth century	RECIPE_REPEATED_HEAD_UNIT_VALUE_GROUPS	https://wellcomecollection.org/works/qftazqnx	https://searcharchives.bl.uk/catalog/040-002048205	UNIT_VALUE|GROUP_DOSE	STRONG_DOSING_ATTACHMENT	TOPOLOGY_ONLY
8	TACUINUM_ONB_2644	circa 1390-1400	LEARNED_HEAD_WITH_ORDERED_REPEATED_FIELDS	https://onb.digital/result/10D7929A	https://pmc.ncbi.nlm.nih.gov/articles/PMC2685323/	RECORD_CHANNEL	GOOD_RECORD_GRAMMAR_NO_OPTIONAL_INTERNAL_SLOT	TOPOLOGY_ONLY
9	MEDICAL_BREVIGRAPHS	medieval comparative	PREFIX_CORE_SUFFIX_ABBREVIATION_AND_SPECIALIST_SIGNS	https://reunido.uniovi.es/index.php/SELIM/article/download/13301/12036/28090	NONE	NONE	BREVIGRAPH_OR_ORTHOGRAPHY_NULL	TOPOLOGY_ONLY
10	GNM_HS_80061	circa 1430	SPORADIC_METAL_AND_OPERATION_SIGNS	https://www.kdih.badw.de/datenbank/handschrift/2/1/7	https://hyle.org/journal/issues/9-2/obrist.pdf	NONE	WEAK_NEGATIVE_CODEBOOK_COMPARATOR	TOPOLOGY_ONLY
