key	value	selection_credit
TAIL_PARSE_ORDER	eody|eol|edy|ol	PRIMARY
PHYSICAL_FOLIO_REGEX	^(f[0-9]+[rv])	PRIMARY
STRICT_PARAGRAPH_RULE	open only paragraph_start=1 and close only paragraph_end=1; no previous-paragraph fill	PRIMARY
RANK_STABILITY_RULE	ZL3b within-line occurrence rank <= minimum same-surface count in ZL3b IT2a RF1b	PRIMARY
LCS_RULE	focal removal lowers each alternate exact-token LCS optimum and exactly one equal alternate token can occupy an optimum	PRIMARY
OWN_FAMILY_SINGLETON_RULE	count all raw ZL3b tokens from the carrier four-cell family on focal physical line; require exactly one	PRIMARY
TOPIC_VALUE	binary surface presence	PRIMARY
TEMPLATE_DISTANCE_BINS	L3|L4|L5PLUS|R3|R4|R5PLUS	PRIMARY
LENGTH_BIN	floor(log2(n+1))	PRIMARY
QUARTILE_BIN	min(4,1+floor(4*(index-1)/count))	PRIMARY
INDEX_BINS	1|2|3|4|5PLUS	PRIMARY
WORD_LENGTH_BINS	1|2|3|4|5|6|7PLUS	PRIMARY
HISTOGRAM_COUNT_BINS	0|1|2|3PLUS	PRIMARY
FORM_PARAGRAPH_LOCATION	paragraph-line FIRST|MIDDLE|LAST|SINGLE plus paragraph-line quartile only; no paragraph line-count or paragraph-line forward/reverse feature	PRIMARY
FORM_FOCAL_LOCATION	focal-token FIRST|MIDDLE|LAST|SINGLE plus focal forward index reverse index and quartile	PRIMARY
END_CLASS_UNIVERSE	endings observed outside exact Q152; fixed unchanged for the ED1 rebuild	PRIMARY
SLOT_OFFSETS	L2|L1|R1|R2	PRIMARY
SLOT_BRACKETS	L2_L1|L1_R1|R1_R2	PRIMARY
SLOT_NEIGHBOUR_RULE	rank-stable exact complete whole and not Q152; otherwise omit atom and every bracket requiring it	PRIMARY
TEMPLATE_ORDINAL_RULE	assign signed bin from original raw token ordinal before quarantine deletion; deleted tokens never close gaps	PRIMARY
SLOT_ED1_ORDER	delete ED1 atomic neighbours before building L2_L1 L1_R1 R1_R2 brackets	REQUIRED_SENSITIVITY
ED1_REBUILD_SCOPE	rebuild all four feature decks with Q152 plus ED1 deletion while retaining the primary end-class universe	REQUIRED_SENSITIVITY
FEATURE_SUPPORT	at least two training carriers and two training physical folios	PRIMARY
FEATURE_VALUE	binary presence in every deck	PRIMARY
EVENT_FEATURE_AUDIT	per-event count plus SHA256 of newline-joined canonical sorted feature set for TOPIC TEMPLATE FORM_REGIME SLOT_HOLE MASK_STATUS RAW_SLOT	AUDIT_ONLY
NB_ALPHA	0.5	PRIMARY
NB_CLASS_PRIOR	equal	PRIMARY
NB_CELL_WEIGHT	event weight 1/n(carrier,class) within fold; weighted binary feature counts give equal total training weight per nonempty carrier-class cell	PRIMARY
DECK_EVENT_SCORE	mean known-feature log likelihood ratio; all-OOV equals zero	PRIMARY
SCORE_QUANTIZATION	serialize every held event-score channel to 12 significant decimal digits before metrics and null AUCs	PRIMARY
FOLD_PREFLIGHT	enumerate all4538 model folds before fitting; each retains both source classes and all non-held carriers	REQUIRED
PRIMARY_NUISANCE_SCORE	TOPIC plus TEMPLATE plus FORM_REGIME deck scores	PRIMARY
PRIMARY_AUGMENTED_SCORE	PRIMARY_NUISANCE_SCORE plus SLOT_HOLE deck score	PRIMARY
UNION_SCORER	one alpha-half MNB over union of namespaced features	REQUIRED_SENSITIVITY
CONDITIONAL_STRATUM	carrier|section|language|hand|target-free-line-length-bin	PRIMARY
CONDITIONAL_AGGREGATION	within each carrier pool same-stratum positive-negative pairs with ties half; macro across carriers; pooled pair score audit only	PRIMARY
CONDITIONAL_CARRIER_AUDIT	emit every target carrier including zero-pair carriers with comparable-pair count and NA concordance	AUDIT_ONLY
