frame_id	surface	frame_class	left_surface	right_surface	exact_frame	occurrences	physical_folios	stable_sequence_occurrences	loci	left_axis_tags	right_axis_tags	meaning_ceiling	confirmed_lexeme	component_export_credit
G805-F01	okal	REAL_TWO_SIDED_FRAME	aiin	otal	aiin okal otal	2	2	2	f33r.5|f58r.18	NONE	TARGET_WHOLE_NO_SEMANTIC_CREDIT	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F02	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	NONE	cheey	ol cheey	2	2	1	f108v.10|f99v.38	BOUNDARY	NONE	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F03	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	NONE	cheol	ol cheol	2	2	2	f108r.6|f108v.31	BOUNDARY	TARGET_WHOLE_NO_SEMANTIC_CREDIT	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F04	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	aiin	NONE	aiin ol	2	2	1	f108v.20|f79r.13	NONE	BOUNDARY	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F05	ol	REAL_TWO_SIDED_FRAME	chedy	shedy	chedy ol shedy	2	2	1	f79v.6|f81v.17	NONE	NONE	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F06	ol	REAL_TWO_SIDED_FRAME	chey	aiin	chey ol aiin	2	2	2	f106v.33|f114v.16	NONE	NONE	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F07	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	chy	NONE	chy ol	2	2	0	f78r.29|f79r.32	NONE	BOUNDARY	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F08	ol	REAL_TWO_SIDED_FRAME	ol	olaiin	ol ol olaiin	2	2	1	f81r.5|f99v.34	TARGET_WHOLE_NO_SEMANTIC_CREDIT	AMOUNT|MATERIAL	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F09	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	qokain	NONE	qokain ol	4	3	3	f77v.27|f79r.33|f80r.38|f80r.42	NONE	BOUNDARY	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F10	ol	BOUNDARY_ANCHORED_ONE_SIDED_FRAME	r	NONE	r ol	2	2	0	f66r.75|f76v.8	NONE	BOUNDARY	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F11	ol	REAL_TWO_SIDED_FRAME	r	dain	r ol dain	2	2	1	f111v.18|f80r.24	NONE	NONE	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F12	otal	REAL_TWO_SIDED_FRAME	qokal	otam	qokal otal otam	2	2	2	f106v.12|f107r.41	NONE	NONE	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
G805-F13	qokol	REAL_TWO_SIDED_FRAME	sheey	cheol	sheey qokol cheol	2	2	2	f86v6.9|f89v1.6	NONE	TARGET_WHOLE_NO_SEMANTIC_CREDIT	EXACT_REPEATED_FRAME_NOT_PLAINTEXT	0	0
