projection_audit_id	surface	axis_tags	axis_displays_de	gdt739_all_radius_contacts	gdt739_active_radius_contacts	gdt739_active_radius_pages	gdt739_active_radius_loci	source_radius_tier	confidence_levels	gdt754_quarantined	gdt738_hold	is_gdt805_target	primary_surface_projection_allowed	projection_exclusion_reason	german_working_string_imported	axis_tags_derived_from_german_working_prose	renderer_license	semantic_credit	confirmed_lexeme	component_export_credit
G805-A001	air	PART|MATERIAL	Teil-/Fraktionsfeld|Stoff-/Materialfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	1	0	0	0	GDT754_SOURCE_COMPOSITION_QUARANTINE	0	1	0	0	0	0
G805-A002	alol	MATERIAL	Stoff-/Materialfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	1	0	0	0	GDT754_SOURCE_COMPOSITION_QUARANTINE	0	1	0	0	0	0
G805-A003	aral	PART|MATERIAL	Teil-/Fraktionsfeld|Stoff-/Materialfeld	1	0	0	0	DISCOVERY_RADIUS_ONLY	W3_SOLID_WORKING_THEORY	0	0	0	0	GDT739_DISCOVERY_RADIUS_ONLY	0	1	0	0	0	0
G805-A004	ary	PART|MATERIAL|CLOSE	Teil-/Fraktionsfeld|Stoff-/Materialfeld|Abschluss-/Ergebnisfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	0	0	0	1	NONE	0	1	0	0	0	0
G805-A005	chckhal	DRY|MATERIAL|PREPARATION	Trockenfeld|Stoff-/Materialfeld|Zubereitungsfeld	1	0	0	0	DISCOVERY_RADIUS_ONLY	W3_SOLID_WORKING_THEORY	0	0	0	0	GDT739_DISCOVERY_RADIUS_ONLY	0	1	0	0	0	0
G805-A006	chckhedy	DRY|VALUE|PREPARATION|CLOSE	Trockenfeld|Wert-/Gradfeld|Zubereitungsfeld|Abschluss-/Ergebnisfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	0	0	0	1	NONE	0	1	0	0	0	0
G805-A007	chckhey	DRY|VALUE|PREPARATION	Trockenfeld|Wert-/Gradfeld|Zubereitungsfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	0	0	0	1	NONE	0	1	0	0	0	0
G805-A008	chcphedy	DRY|VALUE|PREPARATION|PROCESS	Trockenfeld|Wert-/Gradfeld|Zubereitungsfeld|Vorgangs-/Prozessfeld	1	0	0	0	DISCOVERY_RADIUS_ONLY	W3_SOLID_WORKING_THEORY	0	0	0	0	GDT739_DISCOVERY_RADIUS_ONLY	0	1	0	0	0	0
G805-A009	cheal	DRY|VALUE|MATERIAL	Trockenfeld|Wert-/Gradfeld|Stoff-/Materialfeld	5	3	2	3	ACTIVE_RADIUS_SOURCE	W3_SOLID_WORKING_THEORY	0	0	0	1	NONE	0	1	0	0	0	0
G805-A010	checkhy	DRY|VALUE|PREPARATION	Trockenfeld|Wert-/Gradfeld|Zubereitungsfeld	1	1	1	1	ACTIVE_RADIUS_SOURCE	W2_PROVISIONAL_WORKING	0	0	0	1	NONE	0	1	0	0	0	0
