surface	side	axis	external_opportunities	axis_contact_occurrences	axis_contact_physical_folios	raw_axis_contact_rate	pair_stable_opportunities	pair_stable_axis_contacts	pair_stable_axis_contact_folios	pair_stable_axis_contact_rate	role_source	semantic_credit	confirmed_lexeme	component_export_credit
chal	L1	HOT	41	4	4	0.0975609756098	27	3	3	0.111111111111	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	COLD	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	DRY	41	1	1	0.0243902439024	27	1	1	0.037037037037	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	MOIST	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	AMOUNT	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	VALUE	41	5	5	0.121951219512	27	4	4	0.148148148148	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	PART	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	MATERIAL	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	PREPARATION	41	2	2	0.0487804878049	27	1	1	0.037037037037	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	PROCESS	41	1	1	0.0243902439024	27	1	1	0.037037037037	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	CLOSE	41	1	1	0.0243902439024	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	L1	PASS	41	0	0	0	27	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	HOT	41	1	1	0.0243902439024	24	1	1	0.0416666666667	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	COLD	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	DRY	41	1	1	0.0243902439024	24	1	1	0.0416666666667	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	MOIST	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	AMOUNT	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	VALUE	41	2	2	0.0487804878049	24	2	2	0.0833333333333	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	PART	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	MATERIAL	41	1	1	0.0243902439024	24	1	1	0.0416666666667	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	PREPARATION	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	PROCESS	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	CLOSE	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
chal	R1	PASS	41	0	0	0	24	0	0	0	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	0
