surface	total_l_occurrences	discovery_occurrences_subtracted	external_occurrences	external_source_selectors	external_physical_folios	target_token_stable_external	l1_pair_sequence_stable_external	r1_pair_sequence_stable_external	l2_chain_sequence_stable_external	r2_chain_sequence_stable_external	two_sided_frame_sequence_stable_external	five_window_sequence_stable_external	left_unique_neighbours	left_nonboundary_opportunities	left_normalized_identity_entropy	left_top1_identity_rate	left_top5_identity_rate	right_unique_neighbours	right_nonboundary_opportunities	right_normalized_identity_entropy	right_top1_identity_rate	right_top5_identity_rate	mapped_axis_breadth	capacity_decision	confirmed_lexeme	component_export_credit
chal	42	1	41	26	26	34	27	24	23	16	20	12	36	41	0.985553499108	0.0731707317073	0.243902439024	35	35	1	0.0285714285714	0.142857142857	7	CONTEXT_SCOREABLE	0	0
chedal	22	1	21	15	15	14	8	10	5	8	6	3	18	20	0.988489743451	0.1	0.35	18	20	0.979438171758	0.15	0.35	7	CONTEXT_SCOREABLE	0	0
cheol	142	1	141	71	70	117	90	94	54	65	72	29	104	134	0.970065148293	0.044776119403	0.171641791045	115	137	0.983295087146	0.043795620438	0.109489051095	11	CONTEXT_SCOREABLE	0	0
okail	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NO_EXTERNAL_CAPACITY	0	0
okal	123	1	122	63	62	101	69	73	43	41	53	20	90	118	0.964054652488	0.0762711864407	0.186440677966	84	109	0.97696481167	0.0366972477064	0.155963302752	10	CONTEXT_SCOREABLE	0	0
ol	463	1	462	108	104	376	285	265	202	190	203	93	259	431	0.951034723335	0.0232018561485	0.0951276102088	223	420	0.924342797723	0.047619047619	0.159523809524	11	CONTEXT_SCOREABLE	0	0
otal	119	2	117	57	56	107	79	75	61	53	57	29	87	114	0.973559540739	0.0438596491228	0.166666666667	87	106	0.978165584661	0.0471698113208	0.160377358491	10	CONTEXT_SCOREABLE	0	0
qokeol	39	1	38	26	25	33	21	26	13	18	16	3	33	34	0.996876769113	0.0588235294118	0.176470588235	34	37	0.992103797308	0.0540540540541	0.216216216216	7	CONTEXT_SCOREABLE	0	0
qokol	88	1	87	51	51	81	56	61	40	46	42	26	67	77	0.98865057187	0.038961038961	0.142857142857	60	87	0.95311835391	0.0689655172414	0.275862068966	8	CONTEXT_SCOREABLE	0	0
qotal	57	1	56	35	34	53	42	35	34	24	26	13	49	55	0.988377462434	0.0545454545455	0.2	38	51	0.946851423487	0.117647058824	0.352941176471	7	CONTEXT_SCOREABLE	0	0
sail	2	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	NO_EXTERNAL_CAPACITY	0	0
