lead_id	surface	side	axis	target_contacts	target_contact_folios	target_raw_rate	target_pair_stable_contacts	target_pair_stable_folios	target_pair_stable_rate	raw_rank_of_13	pair_stable_rank_of_13	raw_controls_equal_or_exceed	pair_stable_controls_equal_or_exceed	control_raw_median	control_pair_stable_median	raw_above_all_controls	pair_stable_above_all_controls	dominates_all_controls_both_views	interpretation_de	role_source	semantic_credit	renderer_license	meaning_ceiling	confirmed_lexeme	component_export_credit
G805-L01	chal	L1	HOT	4	4	0.0975609756098	3	3	0.111111111111	2	2	1	1	0.0277992277992	0.0435185185185	0	0	0	projizierter L1-Kontext ist für Wärme-/Heißfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L02	chal	L1	VALUE	5	5	0.121951219512	4	4	0.148148148148	2	2	1	1	0.0339366515837	0.0520833333333	0	0	0	projizierter L1-Kontext ist für Wert-/Gradfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L03	cheol	L1	DRY	5	4	0.0354609929078	4	3	0.0444444444444	1	2	0	1	0.0124098511585	0.0201355661882	1	0	0	projizierter L1-Kontext ist für Trockenfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L04	cheol	L1	VALUE	8	6	0.0567375886525	7	5	0.0777777777778	2	2	1	1	0.0268471981255	0.0378983634798	0	0	0	projizierter L1-Kontext ist für Wert-/Gradfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L05	cheol	R1	DRY	3	3	0.0212765957447	3	3	0.031914893617	2	2	1	1	0.0127139166936	0.0164678774736	0	0	0	projizierter R1-Kontext ist für Trockenfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L06	okal	L1	HOT	11	11	0.0901639344262	5	5	0.0724637681159	1	1	0	0	0.0245248406111	0.0264584154513	1	1	1	projizierter L1-Kontext ist für Wärme-/Heißfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L07	okal	L1	VALUE	11	10	0.0901639344262	4	4	0.0579710144928	1	3	0	2	0.0268471981255	0.0378983634798	1	0	0	projizierter L1-Kontext ist für Wert-/Gradfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L08	okal	R1	HOT	5	4	0.0409836065574	5	4	0.0684931506849	2	1	1	0	0.0167869034406	0.0244047619048	0	1	0	projizierter R1-Kontext ist für Wärme-/Heißfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L09	okal	R1	PREPARATION	5	5	0.0409836065574	4	4	0.0547945205479	2	2	1	1	0.0189760114572	0.0188550420168	0	0	0	projizierter R1-Kontext ist für Zubereitungsfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L10	ol	R1	DRY	19	17	0.0411255411255	12	11	0.0452830188679	2	2	1	1	0.0127139166936	0.0164678774736	0	0	0	projizierter R1-Kontext ist für Trockenfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L11	ol	R1	AMOUNT	8	8	0.017316017316	6	6	0.022641509434	2	1	1	0	0	0	0	1	0	projizierter R1-Kontext ist für Mengen-/Maßfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
G805-L12	ol	R1	VALUE	32	23	0.0692640692641	21	19	0.0792452830189	3	3	2	2	0.036178274991	0.0310924369748	0	0	0	projizierter R1-Kontext ist für Wert-/Gradfeld gegenüber K12 angereichert	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	0	0	ROLE_DISTRIBUTION_NOT_WORD_IDENTITY	0	0
