identity_profile_id	surface	side	neighbour_surface	anchor_kind	axis_tags	external_occurrences	physical_folios	target_token_stable_occurrences	neighbour_token_stable_occurrences	pair_sequence_stable_occurrences	pair_sequence_stable_folios	semantic_credit	confirmed_lexeme	component_export_credit
G805-I0001	chal	L1	al	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0002	chal	L1	aldam	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0003	chal	L1	chal	TARGET_WHOLE	TARGET_WHOLE_NO_SEMANTIC_CREDIT	1	1	1	1	1	1	0	0	0
G805-I0004	chal	L1	chchotaiin	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0005	chal	L1	chedor	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0006	chal	L1	cheoaiin	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0007	chal	L1	cheody	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0008	chal	L1	chkain	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|DRY|VALUE	1	1	1	1	1	1	0	0	0
G805-I0009	chal	L1	chor	UNMAPPED	NONE	2	2	2	2	2	2	0	0	0
G805-I0010	chal	L1	chotam	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0011	chal	L1	ees	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0012	chal	L1	kaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	1	1	1	1	1	1	0	0	0
G805-I0013	chal	L1	kal	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0014	chal	L1	lchod	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0015	chal	L1	lkaiin	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0016	chal	L1	lkain	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0017	chal	L1	o	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0018	chal	L1	odaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	VALUE|PREPARATION	1	1	1	1	1	1	0	0	0
G805-I0019	chal	L1	odal	UNMAPPED	NONE	2	2	1	2	1	1	0	0	0
G805-I0020	chal	L1	okaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0021	chal	L1	okeedy	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE|PREPARATION|CLOSE	1	1	0	1	0	0	0	0	0
G805-I0022	chal	L1	oly	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	PROCESS	1	1	1	1	1	1	0	0	0
G805-I0023	chal	L1	otar	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0024	chal	L1	otchol	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0025	chal	L1	py	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0026	chal	L1	qokaiin	UNMAPPED	NONE	3	3	2	3	2	2	0	0	0
G805-I0027	chal	L1	qokain	UNMAPPED	NONE	2	2	2	2	2	2	0	0	0
G805-I0028	chal	L1	qokal	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0029	chal	L1	qokear	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0030	chal	L1	qokeey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	1	1	1	1	1	1	0	0	0
G805-I0031	chal	L1	saiin	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0032	chal	L1	shckhedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0033	chal	L1	shol	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0034	chal	L1	taiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0035	chal	L1	tain	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0036	chal	L1	ycheain	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0037	chal	R1	NONE	BOUNDARY	BOUNDARY	6	6	6	0	0	0	0	0	0
G805-I0038	chal	R1	aiiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0039	chal	R1	aiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0040	chal	R1	al	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0041	chal	R1	chag	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0042	chal	R1	chaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0043	chal	R1	chal	TARGET_WHOLE	TARGET_WHOLE_NO_SEMANTIC_CREDIT	1	1	1	1	1	1	0	0	0
G805-I0044	chal	R1	char	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0045	chal	R1	chchs	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0046	chal	R1	cheal	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	DRY|VALUE|MATERIAL	1	1	1	1	1	1	0	0	0
G805-I0047	chal	R1	chedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0048	chal	R1	chlal	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0049	chal	R1	daiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0050	chal	R1	dar	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0051	chal	R1	dy	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0052	chal	R1	kal	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0053	chal	R1	keeedy	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0054	chal	R1	kiin	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0055	chal	R1	ldy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0056	chal	R1	lor	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0057	chal	R1	ochaly	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0058	chal	R1	okaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0059	chal	R1	olkaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0060	chal	R1	olseeg	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0061	chal	R1	orchey	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0062	chal	R1	os	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0063	chal	R1	otchg	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0064	chal	R1	qokeear	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0065	chal	R1	qokeey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	1	1	1	1	1	1	0	0	0
G805-I0066	chal	R1	qol	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0067	chal	R1	raiin	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0068	chal	R1	sair	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0069	chal	R1	sheal	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0070	chal	R1	shed	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0071	chal	R1	shedy	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0072	chal	R1	taiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0073	chedal	L1	NONE	BOUNDARY	BOUNDARY	1	1	1	0	0	0	0	0	0
G805-I0074	chedal	L1	airol	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0075	chedal	L1	alor	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0076	chedal	L1	ch	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0077	chedal	L1	chdy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0078	chedal	L1	cheodaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0079	chedal	L1	daiin	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0080	chedal	L1	daiiral	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0081	chedal	L1	kain	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0082	chedal	L1	lsheedy	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0083	chedal	L1	odaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	VALUE|PREPARATION	1	1	1	1	1	1	0	0	0
G805-I0084	chedal	L1	okeedy	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE|PREPARATION|CLOSE	2	2	1	0	0	0	0	0	0
G805-I0085	chedal	L1	otol	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0086	chedal	L1	qokaiin	UNMAPPED	NONE	2	2	0	2	0	0	0	0	0
G805-I0087	chedal	L1	qokain	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0088	chedal	L1	qokeedy	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0089	chedal	L1	qokey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	1	1	0	1	0	0	0	0	0
G805-I0090	chedal	L1	tol	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0091	chedal	L1	ykeol	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0092	chedal	R1	NONE	BOUNDARY	BOUNDARY	1	1	1	0	0	0	0	0	0
G805-I0093	chedal	R1	air	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0094	chedal	R1	chedy	UNMAPPED	NONE	3	3	1	1	1	1	0	0	0
G805-I0095	chedal	R1	cheoy	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0096	chedal	R1	chokedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0097	chedal	R1	chos	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0098	chedal	R1	daiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0099	chedal	R1	dy	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0100	chedal	R1	fchedy	GDT739_EXACT_ACTIVE_CELL	DRY|VALUE|PART|PROCESS	1	1	1	1	1	1	0	0	0
G805-I0101	chedal	R1	l	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0102	chedal	R1	odaiis	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0103	chedal	R1	okar	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0104	chedal	R1	okeeey	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0105	chedal	R1	olkey	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0106	chedal	R1	otain	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0107	chedal	R1	oteedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0108	chedal	R1	qodaiin	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0109	chedal	R1	qokar	UNMAPPED	NONE	1	1	0	1	0	0	0	0	0
G805-I0110	chedal	R1	sheody	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0111	cheol	L1	NONE	BOUNDARY	BOUNDARY	7	7	5	0	0	0	0	0	0
G805-I0112	cheol	L1	aiin	UNMAPPED	NONE	4	4	3	3	2	2	0	0	0
G805-I0113	cheol	L1	ain	UNMAPPED	NONE	2	2	2	1	1	1	0	0	0
G805-I0114	cheol	L1	ar	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0115	cheol	L1	chckhey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	DRY|VALUE|PREPARATION	1	1	1	1	1	1	0	0	0
G805-I0116	cheol	L1	cheal	GDT739_EXACT_ACTIVE_CELL	DRY|VALUE|MATERIAL	1	1	1	1	1	1	0	0	0
G805-I0117	cheol	L1	chedey	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0118	cheol	L1	chedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0119	cheol	L1	cheeor	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0120	cheol	L1	chekain	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|DRY|VALUE|PROCESS	1	1	0	1	0	0	0	0	0
G805-I0121	cheol	L1	cheky	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0122	cheol	L1	cheol	TARGET_WHOLE	TARGET_WHOLE_NO_SEMANTIC_CREDIT	2	2	1	2	1	1	0	0	0
G805-I0123	cheol	L1	cheolkeedy	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0124	cheol	L1	cheor	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0125	cheol	L1	cheos	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	DRY|AMOUNT|VALUE|PREPARATION	1	1	1	1	1	1	0	0	0
G805-I0126	cheol	L1	cheotey	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
G805-I0127	cheol	L1	chody	UNMAPPED	NONE	1	1	1	0	0	0	0	0	0
G805-I0128	cheol	L1	chol	UNMAPPED	NONE	2	2	2	2	2	2	0	0	0
G805-I0129	cheol	L1	cholchedy	UNMAPPED	NONE	1	1	0	0	0	0	0	0	0
G805-I0130	cheol	L1	cholody	UNMAPPED	NONE	1	1	1	1	1	1	0	0	0
