surface	candidate_id	candidate_class	concrete_working_reading_de	left_support_axes	right_support_axes	context_bridge_hypothesis	literal_identity	pre_gdt805_confidence	countercandidate_de	component_export_credit	external_physical_folios	mapped_axis_breadth	expected_signature_count	dominant_role_lead_count	dominant_role_leads	full_role_lead_count	full_role_leads	near_only_lead_count	near_only_leads	context_bridge_flag	context_bridge_detail	context_bridge_is_independent_semantics	direct_content_bridge_pass	candidate_score	candidate_score_density	score_is_probability	semantic_status	confirmed_lexeme
chal	CHAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	FIELD_OR_AMOUNT	OPEN	C0	Qualitäts- oder Zustandsfeld	0	26	7	9	0	NONE	2	L1:HOT|L1:VALUE	0	NONE	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=QUALITY_OR_MATERIAL_FIELD;independent_semantic_credit=0	0	0	4	0.444444444444	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
chal	CHAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungseintrag	0	26	7	5	0	NONE	0	NONE	0	NONE	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=QUALITY_OR_MATERIAL_FIELD;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
chedal	CHEDAL-MAT	MATERIAL_MEASURE	Material-/Mengenartikel oder Rohstoff	HOT|COLD|DRY|MOIST|VALUE	AMOUNT|VALUE|PART|CLOSE	FIELD_OR_AMOUNT	OPEN	C0	Material-/Mengenfeld	0	15	7	9	0	NONE	0	NONE	1	L1:VALUE	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=MATERIAL_OR_AMOUNT_FIELD;independent_semantic_credit=0	0	0	1	0.111111111111	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
chedal	CHEDAL-FIELD	QUALITY_STATE	Material-/Mengenfeld	MATERIAL|PREPARATION|AMOUNT	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Material-/Mengenartikel oder Rohstoff	0	15	7	5	0	NONE	0	NONE	1	L1:PREPARATION	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=MATERIAL_OR_AMOUNT_FIELD;independent_semantic_credit=0	0	0	1	0.2	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
cheol	CHEOL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD	OPEN	C1	Qualitäts- oder Zustandsfeld	0	70	11	9	0	NONE	3	L1:DRY|L1:VALUE|R1:DRY	0	NONE	1	channels=DESCRIPTIVE_MATERIA:3|QUANTITY_OR_PART:1;field_hits=4;positional_amount_candidates=3;direct_clean_content_hits=0;prior=MATERIAL_OR_QUALITY_AXIS;independent_semantic_credit=0	0	0	6	0.666666666667	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
cheol	CHEOL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungseintrag	0	70	11	5	0	NONE	0	NONE	0	NONE	0	channels=DESCRIPTIVE_MATERIA:3|QUANTITY_OR_PART:1;field_hits=4;positional_amount_candidates=3;direct_clean_content_hits=0;prior=MATERIAL_OR_QUALITY_AXIS;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
okail	OKAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	NONE	NONE	OPAQUE_PRIOR	OPEN	C0	Material- oder Zustandsfeld	0	0	0	0	0	NONE	0	NONE	0	NONE	1	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=OPAQUE_ENTRY;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
okal	OKAL-OPAQUE	OPAQUE_ENTRY	Kennstellen-/Systemcode	NONE	NONE	GDT793_OPAQUE_PRIOR	OPEN	C0	Ansatz- oder Materialeintrag	0	62	10	0	0	NONE	0	NONE	0	NONE	1	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=1;direct_clean_content_hits=0;prior=OPAQUE_SYSTEM_ENTRY;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
okal	OKAL-MAT	MATERIAL_PREPARATION	Ansatz- oder Materialeintrag	HOT|COLD|DRY|MOIST|VALUE	MATERIAL|PREPARATION|AMOUNT|PART|CLOSE	MATERIA_FIELD_OR_AMOUNT	OPEN	C0	Kennstellen-/Systemcode	0	62	10	10	1	L1:HOT	3	L1:HOT|L1:VALUE|R1:PREPARATION	0	NONE	1	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=1;direct_clean_content_hits=0;prior=OPAQUE_SYSTEM_ENTRY;independent_semantic_credit=0	0	0	9	0.9	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
ol	OL-CARRIER	GENERAL_CARRIER	Ansatz-/Zubereitungsträger	HOT|COLD|DRY|MOIST|AMOUNT|PROCESS	CLOSE|DRY|MOIST|VALUE|AMOUNT	FIELD_AND_AMOUNT	OPEN	C2	Öl, Wasser oder Wein	0	104	11	11	0	NONE	3	R1:DRY|R1:VALUE|R1:AMOUNT	0	NONE	1	channels=DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:3|PRESCRIPTIVE_RECIPE:2;field_hits=9;positional_amount_candidates=9;direct_clean_content_hits=0;prior=GENERAL_CONTENT_CARRIER;independent_semantic_credit=0	0	0	6	0.545454545455	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
