comparison_id	surface	side	axis	target_contacts	target_contact_folios	target_raw_rate	target_pair_stable_contacts	target_pair_stable_folios	target_pair_stable_rate	raw_rank_of_13	pair_stable_rank_of_13	raw_controls_equal_or_exceed	pair_stable_controls_equal_or_exceed	control_raw_median	control_raw_max	control_pair_stable_median	control_pair_stable_max	raw_above_all_controls	pair_stable_above_all_controls	dominates_all_controls_both_views	control_rates	control_pair_stable_rates	decision	semantic_credit	confirmed_lexeme	component_export_credit
G805-K001	chal	L1	HOT	4	4	0.0975609756098	3	3	0.111111111111	2	2	1	1	0.0277992277992	0.115384615385	0.0435185185185	0.125	0	0	0	okeol:0.0454545454545|sal:0.027027027027|qotol:0.0232558139535|tol:0.0294117647059|chl:0|oteol:0.0384615384615|kal:0|lol:0.0285714285714|kol:0.0333333333333|okol:0|cheal:0.115384615385|sol:0.0175438596491	okeol:0.037037037037|sal:0.05|qotol:0|tol:0.125|chl:0|oteol:0.0625|kal:0|lol:0|kol:0.0666666666667|okol:0|cheal:0.0833333333333|sol:0.0666666666667	ROLE_LEAD	0	0	0
G805-K002	chal	L1	COLD	0	0	0	0	0	0	13	13	12	12	0.0113636363636	0.0857142857143	0	0.136363636364	0	0	0	okeol:0.0227272727273|sal:0|qotol:0.046511627907|tol:0|chl:0|oteol:0.0384615384615|kal:0.04|lol:0.0857142857143|kol:0.0333333333333|okol:0|cheal:0|sol:0	okeol:0.037037037037|sal:0|qotol:0.08|tol:0|chl:0|oteol:0.0625|kal:0|lol:0.136363636364|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K003	chal	L1	DRY	1	1	0.0243902439024	1	1	0.037037037037	4	5	3	4	0	0.0571428571429	0	0.0666666666667	0	0	0	okeol:0|sal:0.0540540540541|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0.0571428571429|kol:0|okol:0.0188679245283|cheal:0.0384615384615|sol:0.0175438596491	okeol:0|sal:0.05|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0.0454545454545|kol:0|okol:0.0263157894737|cheal:0.0416666666667|sol:0.0666666666667	NO_ROLE_LEAD	0	0	0
G805-K004	chal	L1	MOIST	0	0	0	0	0	0	13	13	12	12	0	0.0384615384615	0	0	0	0	0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0.0384615384615|sol:0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K005	chal	L1	AMOUNT	0	0	0	0	0	0	13	13	12	12	0	0.0384615384615	0	0.0625	0	0	0	okeol:0.0227272727273|sal:0|qotol:0|tol:0|chl:0|oteol:0.0384615384615|kal:0|lol:0|kol:0|okol:0.0188679245283|cheal:0|sol:0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0.0625|kal:0|lol:0|kol:0|okol:0.0263157894737|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K006	chal	L1	VALUE	5	5	0.121951219512	4	4	0.148148148148	2	2	1	1	0.0339366515837	0.142857142857	0.0520833333333	0.181818181818	0	0	0	okeol:0.0227272727273|sal:0.0810810810811|qotol:0.0232558139535|tol:0.0294117647059|chl:0|oteol:0.0384615384615|kal:0.04|lol:0.142857142857|kol:0.0666666666667|okol:0.0188679245283|cheal:0.0769230769231|sol:0.0175438596491	okeol:0.037037037037|sal:0.1|qotol:0.04|tol:0.125|chl:0|oteol:0.0625|kal:0|lol:0.181818181818|kol:0.0666666666667|okol:0.0263157894737|cheal:0.0416666666667|sol:0.0666666666667	ROLE_LEAD	0	0	0
G805-K007	chal	L1	PART	0	0	0	0	0	0	13	13	12	12	0	0.0769230769231	0	0.0526315789474	0	0	0	okeol:0.0227272727273|sal:0|qotol:0.0232558139535|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0.0377358490566|cheal:0.0769230769231|sol:0	okeol:0.037037037037|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0.0526315789474|cheal:0.0416666666667|sol:0	NO_ROLE_LEAD	0	0	0
G805-K008	chal	L1	MATERIAL	0	0	0	0	0	0	13	13	12	12	0	0.0769230769231	0	0.0789473684211	0	0	0	okeol:0.0454545454545|sal:0|qotol:0.046511627907|tol:0|chl:0|oteol:0.0384615384615|kal:0|lol:0|kol:0|okol:0.0566037735849|cheal:0.0769230769231|sol:0	okeol:0.037037037037|sal:0|qotol:0.04|tol:0|chl:0|oteol:0.0625|kal:0|lol:0|kol:0|okol:0.0789473684211|cheal:0.0416666666667|sol:0	NO_ROLE_LEAD	0	0	0
G805-K009	chal	L1	PREPARATION	2	2	0.0487804878049	1	1	0.037037037037	4	5	3	4	0.0282945736434	0.0857142857143	0	0.1	0	0	0	okeol:0.0681818181818|sal:0.0540540540541|qotol:0.0232558139535|tol:0|chl:0|oteol:0.0384615384615|kal:0.04|lol:0.0857142857143|kol:0.0333333333333|okol:0|cheal:0|sol:0	okeol:0.0740740740741|sal:0.1|qotol:0|tol:0|chl:0|oteol:0.0625|kal:0|lol:0.0909090909091|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K010	chal	L1	PROCESS	1	1	0.0243902439024	1	1	0.037037037037	3	4	2	3	0	0.0454545454545	0	0.0666666666667	0	0	0	okeol:0.0454545454545|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0.0384615384615|sol:0.0175438596491	okeol:0.037037037037|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0.0416666666667|sol:0.0666666666667	NO_ROLE_LEAD	0	0	0
G805-K011	chal	L1	CLOSE	1	1	0.0243902439024	0	0	0	3	13	2	12	0	0.0571428571429	0	0.0909090909091	0	0	0	okeol:0|sal:0.027027027027|qotol:0.0232558139535|tol:0|chl:0|oteol:0|kal:0|lol:0.0571428571429|kol:0|okol:0.0188679245283|cheal:0|sol:0	okeol:0|sal:0|qotol:0.04|tol:0|chl:0|oteol:0|kal:0|lol:0.0909090909091|kol:0|okol:0.0263157894737|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K012	chal	L1	PASS	0	0	0	0	0	0	13	13	12	12	0	0	0	0	0	0	0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K013	chal	R1	HOT	1	1	0.0243902439024	1	1	0.0416666666667	7	6	6	5	0.0259136212625	0.0810810810811	0.0321428571429	0.133333333333	0	0	0	okeol:0.0227272727273|sal:0.0810810810811|qotol:0.0232558139535|tol:0.0588235294118|chl:0.0714285714286|oteol:0|kal:0.04|lol:0.0285714285714|kol:0|okol:0.0188679245283|cheal:0.0769230769231|sol:0	okeol:0.0357142857143|sal:0.1|qotol:0.0285714285714|tol:0.0434782608696|chl:0.133333333333|oteol:0|kal:0|lol:0.0909090909091|kol:0|okol:0.0277777777778|cheal:0.1|sol:0	NO_ROLE_LEAD	0	0	0
G805-K014	chal	R1	COLD	0	0	0	0	0	0	13	13	12	12	0	0.0232558139535	0	0.0285714285714	0	0	0	okeol:0|sal:0|qotol:0.0232558139535|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	okeol:0|sal:0|qotol:0.0285714285714|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K015	chal	R1	DRY	1	1	0.0243902439024	1	1	0.0416666666667	4	2	3	1	0	0.0526315789474	0	0.0487804878049	0	0	0	okeol:0|sal:0|qotol:0|tol:0|chl:0.0357142857143|oteol:0.0384615384615|kal:0|lol:0|kol:0|okol:0.0188679245283|cheal:0|sol:0.0526315789474	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0.0277777777778|cheal:0|sol:0.0487804878049	NO_ROLE_LEAD	0	0	0
G805-K016	chal	R1	MOIST	0	0	0	0	0	0	13	13	12	12	0	0.0588235294118	0	0.0571428571429	0	0	0	okeol:0.0227272727273|sal:0|qotol:0.046511627907|tol:0.0588235294118|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0.0175438596491	okeol:0.0357142857143|sal:0|qotol:0.0571428571429|tol:0.0434782608696|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0.0243902439024	NO_ROLE_LEAD	0	0	0
G805-K017	chal	R1	AMOUNT	0	0	0	0	0	0	13	13	12	12	0	0	0	0	0	0	0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	okeol:0|sal:0|qotol:0|tol:0|chl:0|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K018	chal	R1	VALUE	2	2	0.0487804878049	2	2	0.0833333333333	8	5	7	4	0.0557275541796	0.0810810810811	0.0395962732919	0.111111111111	0	0	0	okeol:0.0681818181818|sal:0.0810810810811|qotol:0.0232558139535|tol:0.0588235294118|chl:0.0714285714286|oteol:0.0384615384615|kal:0|lol:0.0285714285714|kol:0|okol:0.0754716981132|cheal:0.0769230769231|sol:0.0526315789474	okeol:0.0357142857143|sal:0.1|qotol:0.0285714285714|tol:0.0434782608696|chl:0.0666666666667|oteol:0|kal:0|lol:0.0909090909091|kol:0|okol:0.111111111111|cheal:0.1|sol:0.0243902439024	NO_ROLE_LEAD	0	0	0
G805-K019	chal	R1	PART	0	0	0	0	0	0	13	13	12	12	0	0.0714285714286	0	0.0666666666667	0	0	0	okeol:0|sal:0|qotol:0|tol:0.0294117647059|chl:0.0714285714286|oteol:0.0384615384615|kal:0.04|lol:0|kol:0|okol:0|cheal:0|sol:0.0175438596491	okeol:0|sal:0|qotol:0|tol:0.0434782608696|chl:0.0666666666667|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0	NO_ROLE_LEAD	0	0	0
G805-K020	chal	R1	MATERIAL	1	1	0.0243902439024	1	1	0.0416666666667	7	6	6	5	0.0222854433381	0.093023255814	0.0121951219512	0.114285714286	0	0	0	okeol:0.0454545454545|sal:0.027027027027|qotol:0.093023255814|tol:0.0294117647059|chl:0.0357142857143|oteol:0|kal:0.04|lol:0|kol:0|okol:0|cheal:0|sol:0.0175438596491	okeol:0.0714285714286|sal:0.05|qotol:0.114285714286|tol:0.0434782608696|chl:0.0666666666667|oteol:0|kal:0|lol:0|kol:0|okol:0|cheal:0|sol:0.0243902439024	NO_ROLE_LEAD	0	0	0
