passage_id	surface	source_selector	physical_folio	locus	token_index	exact_five_window	full_zl3b_line	left_complete_surface	left_axis_evidence_kind	left_broad_axis	target_safe_role_de	leading_concrete_candidate_de	right_complete_surface	right_axis_evidence_kind	right_broad_axis	safe_role_skeleton_de	projected_axis_skeleton_de	concrete_candidate_display_de	strongest_rival_de	adjudication	selection_score	target_token_stable_all_three	left_pair_stable_all_three	right_pair_stable_all_three	renderer_scope	confirmed_plaintext	confirmed_lexeme	component_export_credit
G805-P01	chal	f83v	f83v	f83v.16	5	sheckhey qokeey chal qokeey qokaiin	daiin qokal sheckhey qokeey chal qokeey qokaiin chedy sar al	qokeey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Stoff- oder Zubereitungseintrag	qokeey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	[qokeey:?] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [qokeey:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Stoff- oder Zubereitungseintrag | [Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld]	Qualitäts- oder Zustandsfeld	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	14	1	1	1	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P02	chal	f103r	f103r	f103r.31	4	chol kaiin chal okaiin shckhy	soiin chol kaiin chal okaiin shckhy qokal shdar shchdy okaiin chty	kaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Stoff- oder Zubereitungseintrag	okaiin	UNMAPPED	NONE	[kaiin:?] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [okaiin:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [okaiin:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Stoff- oder Zubereitungseintrag | [okaiin:?]	Qualitäts- oder Zustandsfeld	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	9	1	1	1	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P03	chal	f111v	f111v	f111v.49	4	cheey chkain chal lor sheey	soiry cheey chkain chal lor sheey qokain okain chey qokain o keey	chkain	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|DRY|VALUE	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Stoff- oder Zubereitungseintrag	lor	UNMAPPED	NONE	[chkain:?] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [lor:?]	[Kandidat: Wärme-/Heißfeld/Trockenfeld/Wert-/Gradfeld] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [lor:?]	[Kandidat: Wärme-/Heißfeld/Trockenfeld/Wert-/Gradfeld] | Stoff- oder Zubereitungseintrag | [lor:?]	Qualitäts- oder Zustandsfeld	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	9	1	1	1	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P04	chal	f86v6	f86v	f86v6.8	3	ykaiin odaiin chal sair ytar	ykaiin odaiin chal sair ytar chody ldaly chdal ykchedy ltchedy dar	odaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	VALUE|PREPARATION	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Stoff- oder Zubereitungseintrag	sair	UNMAPPED	NONE	[odaiin:?] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [sair:?]	[Kandidat: Wert-/Gradfeld/Zubereitungsfeld] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | [sair:?]	[Kandidat: Wert-/Gradfeld/Zubereitungsfeld] | Stoff- oder Zubereitungseintrag | [sair:?]	Qualitäts- oder Zustandsfeld	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	9	1	1	1	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P05	chal	f58r	f58r	f58r.14	9	okalal oly chal	sharam okair chekaiin ytchaly dalchal ykal okalal oly chal	oly	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	PROCESS	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Stoff- oder Zubereitungseintrag	NONE	BOUNDARY	BOUNDARY	[oly:?] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | Zeilenrand	[Kandidat: Vorgangs-/Prozessfeld] | Trockenstoff-/Trockenheitsfeld; Ausgangsform offen | Zeilenrand	[Kandidat: Vorgangs-/Prozessfeld] | Stoff- oder Zubereitungseintrag | Zeilenrand	Qualitäts- oder Zustandsfeld	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	7	1	1	0	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P06	chedal	f77v	f77v	f77v.27	3	tshedy qokain chedal fchedy cheky	tshedy qokain chedal fchedy cheky sain chedy qokain ol	qokain	UNMAPPED	NONE	Trockenstoff-/Mengenfeld; genaue Identität offen	Material-/Mengenfeld	fchedy	GDT739_EXACT_ACTIVE_CELL	DRY|VALUE|PART|PROCESS	[qokain:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | Trockenfeld/Wert-/Gradfeld/Teil-/Fraktionsfeld/Vorgangs-/Prozessfeld	[qokain:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | Trockenfeld/Wert-/Gradfeld/Teil-/Fraktionsfeld/Vorgangs-/Prozessfeld	[qokain:?] | Material-/Mengenfeld | Trockenfeld/Wert-/Gradfeld/Teil-/Fraktionsfeld/Vorgangs-/Prozessfeld	Material-/Mengenartikel oder Rohstoff	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	9	1	1	1	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P07	chedal	f114r	f114r	f114r.33	9	al odaiin chedal odaiis aiin	daiin oteed aiin saiin yteey aiin al odaiin chedal odaiis aiin cheo dal chedy	odaiin	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	VALUE|PREPARATION	Trockenstoff-/Mengenfeld; genaue Identität offen	Material-/Mengenfeld	odaiis	UNMAPPED	NONE	[odaiin:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | [odaiis:?]	[Kandidat: Wert-/Gradfeld/Zubereitungsfeld] | Trockenstoff-/Mengenfeld; genaue Identität offen | [odaiis:?]	[Kandidat: Wert-/Gradfeld/Zubereitungsfeld] | Material-/Mengenfeld | [odaiis:?]	Material-/Mengenartikel oder Rohstoff	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	7	1	1	0	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P08	chedal	f108v	f108v	f108v.8	7	okeedy okeedy chedal okar qoteedar	ysheedy okeedy oteedy qokeedy okeedy okeedy chedal okar qoteedar oty	okeedy	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE|PREPARATION|CLOSE	Trockenstoff-/Mengenfeld; genaue Identität offen	Material-/Mengenfeld	okar	UNMAPPED	NONE	[okeedy:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | [okar:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld/Zubereitungsfeld/Abschluss-/Ergebnisfeld] | Trockenstoff-/Mengenfeld; genaue Identität offen | [okar:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld/Zubereitungsfeld/Abschluss-/Ergebnisfeld] | Material-/Mengenfeld | [okar:?]	Material-/Mengenartikel oder Rohstoff	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	5	1	0	0	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P09	chedal	f43v	f43v	f43v.14	4	chedy okeedy chedal olkey cheky	dykeedain chedy okeedy chedal olkey cheky choal chedy oteorom	okeedy	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE|PREPARATION|CLOSE	Trockenstoff-/Mengenfeld; genaue Identität offen	Material-/Mengenfeld	olkey	UNMAPPED	NONE	[okeedy:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | [olkey:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld/Zubereitungsfeld/Abschluss-/Ergebnisfeld] | Trockenstoff-/Mengenfeld; genaue Identität offen | [olkey:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld/Zubereitungsfeld/Abschluss-/Ergebnisfeld] | Material-/Mengenfeld | [olkey:?]	Material-/Mengenartikel oder Rohstoff	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	5	0	0	0	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
G805-P10	chedal	f58v	f58v	f58v.12	5	cheal qokey chedal dy tolair	oreeey cheekey cheal qokey chedal dy tolair opchey poaly cfhy	qokey	GDT805_EXPLORATORY_SURFACE_AXIS_PROJECTION	HOT|VALUE	Trockenstoff-/Mengenfeld; genaue Identität offen	Material-/Mengenfeld	dy	UNMAPPED	NONE	[qokey:?] | Trockenstoff-/Mengenfeld; genaue Identität offen | [dy:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Trockenstoff-/Mengenfeld; genaue Identität offen | [dy:?]	[Kandidat: Wärme-/Heißfeld/Wert-/Gradfeld] | Material-/Mengenfeld | [dy:?]	Material-/Mengenartikel oder Rohstoff	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	5	0	0	0	EXPLORATORY_PASSAGE_CARD__SURFACE_PROJECTION_NOT_RENDERER_LICENSE	0	0	0
