surface	decision	diagnostic_top_candidate_id	diagnostic_top_score_density	leading_candidate_id	leading_candidate_class	leading_concrete_working_reading_de	leading_score	runner_up_candidate_id	runner_up_working_reading_de	runner_up_score	score_margin	context_role_leads	dominant_role_leads	context_bridge_hypothesis	context_bridge_flag	context_bridge_is_independent_semantics	direct_content_bridge_pass	safe_gdt804_default_de	new_role_selected	prior_role_retained	confidence	literal_identity	confirmed_plaintext	confirmed_lexeme	component_export_credit
chal	PROJECTED_MATERIAL_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	CHAL-MAT	0.444444444444	CHAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	4	CHAL-QUAL	Qualitäts- oder Zustandsfeld	0	4	L1:HOT|L1:VALUE	NONE	FIELD_OR_AMOUNT	0	0	0	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	0	0	C0_RIVAL	OPEN	0	0	0
chedal	MATERIAL_OR_AMOUNT_RIVALS_UNRESOLVED__NO_DIRECT_SLOT	CHEDAL-FIELD	0.2	CHEDAL-FIELD	QUALITY_STATE	Material-/Mengenfeld	1	CHEDAL-MAT	Material-/Mengenartikel oder Rohstoff	1	0	NONE	NONE	QUALITY_FIELD	0	0	0	Trockenstoff-/Mengenfeld; genaue Identität offen	0	0	C0_RIVAL	OPEN	0	0	0
cheol	DRY_VALUE_CONTEXT_PROFILE__MATERIAL_OR_QUALITY_UNRESOLVED__NO_DIRECT_SLOT	CHEOL-MAT	0.666666666667	CHEOL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	6	CHEOL-QUAL	Qualitäts- oder Zustandsfeld	0	6	L1:DRY|L1:VALUE|R1:DRY	NONE	MATERIA_FIELD	1	0	0	Stoff-/Zubereitungs- oder Qualitätsachse; Identität offen	0	0	C0_RIVAL	OPEN	0	0	0
okail	NO_EXTERNAL_CAPACITY	OKAIL-OPAQUE	0	OKAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	0	NONE	Material- oder Zustandsfeld	0	0	NONE	NONE	OPAQUE_PRIOR	1	0	0	Ansatz-/Form-II-Eintrag; Identität offen	0	0	C0_RIVAL	OPEN	0	0	0
okal	RETAIN_GDT793_OPAQUE_ENTRY_PRIOR__MATERIAL_CONTEXT_RIVAL	OKAL-MAT	0.9	OKAL-OPAQUE	OPAQUE_ENTRY	Kennstellen-/Systemcode	0	OKAL-MAT	Ansatz- oder Materialeintrag	9	-9	L1:HOT|L1:VALUE|R1:HOT|R1:PREPARATION	L1:HOT	GDT793_OPAQUE_PRIOR	1	0	0	Kennstellen-/Systemeintrag; Ansatz-/Materialrivale offen	0	1	PRIOR_RETAINED	OPEN	0	0	0
ol	RETAIN_GDT762_GENERAL_CARRIER_PRIOR__SPECIFIC_MEDIUM_UNSUPPORTED	OL-CARRIER	0.545454545455	OL-CARRIER	GENERAL_CARRIER	Ansatz-/Zubereitungsträger	6	OL-MEDIUM	bestimmtes Medium: Öl, Wasser oder Wein	2	4	R1:DRY|R1:AMOUNT|R1:VALUE	NONE	FIELD_AND_AMOUNT	1	0	0	allgemeiner mengenfähiger Zubereitungs-/Inhaltsträger	0	1	PRIOR_RETAINED	OPEN	0	0	0
otal	PREPARATION_OR_QUALITY_CONTEXT_PROFILE__NO_DIRECT_SLOT	OTAL-MAT	1.44444444444	OTAL-MAT	MATERIAL_PREPARATION	Ausgangsansatz oder Stoffzubereitung	13	OTAL-QUAL	Qualitäts- oder Zustandsfeld	5	8	L1:HOT|L1:COLD|L1:VALUE|R1:DRY|R1:PREPARATION|R1:CLOSE	R1:CLOSE	MATERIA_FIELD_OR_AMOUNT	1	0	0	Materia-/Qualitätseintrag; Achse offen	0	0	C0_RIVAL	OPEN	0	0	0
qokeol	HOT_VALUE_CONTEXT_FIELD__PROCESS_PREPARATION_QUALITY_UNRESOLVED	QOKEOL-MAT	0.285714285714	QOKEOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	2	QOKEOL-PROC	Behandlungs- oder Prozessfeld	0	2	R1:HOT|R1:VALUE	NONE	MATERIA_FIELD	1	0	0	Heißbehandlungs-/Heißstofffeld; Träger offen	0	0	C0_RIVAL	OPEN	0	0	0
qokol	VALUE_CONTEXT_FIELD__PROCESS_PREPARATION_UNRESOLVED	QOKOL-MAT	0.428571428571	QOKOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	3	QOKOL-PROC	Behandlungs- oder Prozessfeld	1	2	R1:VALUE	NONE	MATERIA_FIELD	1	0	0	Erhitzungs-/Zubereitungsfeld; Verbstatus offen	0	0	C0_RIVAL	OPEN	0	0	0
qotal	MATERIAL_OR_QUALITY_RIVALS_UNRESOLVED__NO_ROLE_LEAD	QOTAL-MAT	0	QOTAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungsfeld	0	QOTAL-QUAL	Qualitäts- oder Zustandsfeld	0	0	NONE	NONE	MATERIA_FIELD	0	0	0	Kalt-/Materialfeld; genaue Achse offen	0	0	C0_RIVAL	OPEN	0	0	0
sail	NO_EXTERNAL_CAPACITY	SAIL-OPAQUE	0	SAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	0	NONE	Stoffart oder Mengenfeld	0	0	NONE	NONE	OPAQUE_PRIOR	1	0	0	Chargen-/Form-II-Eintrag; Stoffart offen	0	0	C0_RIVAL	OPEN	0	0	0
