cue_no	event_id	statement_id	record	page	locus	visual_trigger_class	visible_geometric_basis	owner_code_after_threshold	ownership_status	automatic_action	free_master_choice	instruction_de
1	E189	B2-S007	B2	f82r	f82r.7	NEW_DISCONNECTED_DEVICE	Wellenlinien entspringen am Handgerät; der Doppelstrich läuft durch den Sternknoten	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
2	E198	B2-S011	B2	f82r	f82r.19	VISIBLE_REGION_GAP	horizontale Linie liegt nahe über dem Liegepodest, berührt es aber nicht sicher	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	UNRESOLVED	RESET_TO_LOCAL_OWNER_SLOT_AND_COPY_EXEMPLAR_BINDING	NO	An der sichtbaren Lücke die alte Vererbung beenden; lokale Bindung aus dem Seitenexemplar übernehmen.
3	E203	B2-S012	B2	f82r	f82r.23	ENTER_LARGE_SHARED_POOL	zahlreiche Figuren schneiden dieselbe unregelmäßige grüne Fläche; zwei Vertikalformen reichen an den Rand	B2_LOWER_GREEN_MULTI_FIGURE_POOL	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
4	E212	B2-S015	B2	f82r	f82r.26	ENTER_POOL_EDGE_STATION_SET	kleine Gefäße und Figuren sind am gemeinsamen Feldrand wiederholt, aber nicht durch Leitungen gekoppelt	B2_LOWER_POOL_EDGE_STATIONS	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
5	E239	B3-S005	B3	f83r	f83r.6	NEXT_SEPARATE_MARGIN_VESSEL	zweite Randfigur ist sichtbar in einer eigenen rund eingefassten Station	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
6	E248	B3-S010	B3	f83r	f83r.8	NEXT_SEPARATE_MARGIN_VESSEL	dritte Randfigur sitzt in eigener Schuppen-/Korbform mit freien unteren Strichen	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
7	E264	B3-S016	B3	f83r	f83r.14	VISIBLE_REGION_GAP	zwischen Randstapel und unterer Paarstation besteht keine gezeichnete Kante	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNRESOLVED	RESET_TO_LOCAL_OWNER_SLOT_AND_COPY_EXEMPLAR_BINDING	NO	An der sichtbaren Lücke die alte Vererbung beenden; lokale Bindung aus dem Seitenexemplar übernehmen.
8	E291	B3-S026	B3	f83r	f83r.20	ENTER_VISIBLE_LINKED_PAIR	breiter blau gefüllter Bogen verbindet die zwei Hauptfiguren tatsächlich	B3_MAIN_ARCH_LINKED_PAIR	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
9	E338	B4-S011	B4	f83r	f83r.35	ENTER_LEFT_OPEN_FRINGE_STATION	gefüllter Unterlauf setzt am linken Gefäß an und endet mehrfach offen	B4_MAIN_LEFT_OPEN_FRINGE_STATION	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
10	E356	B4-S015	B4	f83r	f83r.41	ENTER_RIGHT_S_RUN_MULTIPORT_STATION	S-Kontur läuft vom Figurenbecken sichtbar in den mehrarmigen Knoten	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	DIRECT_VISIBLE	RESET_TO_VISIBLE_LOCAL_OWNER	NO	An der neuen sichtbaren Station den lokalen Besitzer automatisch laden.
