decision_no	event_id	statement_id	record	page	decision_type	selected_value
1	E008	H1-S001	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB01
2	E011	H1-S002	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB02
3	E020	H2-S001	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB03
4	E024	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB04
5	E028	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB05
6	E031	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB06
7	E033	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB07
8	E037	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB08
9	E044	H3-S001	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB09
10	E050	H3-S003	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB10
11	E055	H3-S004	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB11
12	E057	H4-S001	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB12
13	E068	H4-S004	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB13
14	E083	H5-S002	H5	f56r	ENTER_ALLOGRAPH_BLOCK	AB14
15	E095	H5-S005	H5	f56r	ENTER_ALLOGRAPH_BLOCK	AB15
16	E102	B1-S002	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB16
17	E109	B1-S002	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB17
18	E121	B1-S003	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB18
19	E128	B1-S006	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB19
20	E142	B1-S012	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB20
21	E148	B1-S014	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB21
22	E153	B1-S016	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB22
23	E163	B1-S019	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB23
24	E166	B1-S021	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB24
25	E167	B2-S001	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB25
26	E170	B2-S003	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB26
27	E190	B2-S008	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB27
28	E198	B2-S011	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB28
29	E214	B2-S016	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB29
30	E217	B2-S016	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB30
31	E238	B3-S004	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB31
32	E242	B3-S006	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB32
33	E254	B3-S012	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB33
34	E257	B3-S013	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB34
35	E264	B3-S016	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB35
36	E271	B3-S021	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB36
37	E278	B3-S021	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB37
38	E283	B3-S024	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB38
39	E291	B3-S026	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB39
40	E299	B3-S030	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB40
41	E309	B3-S034	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB41
42	E320	B4-S003	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB42
43	E324	B4-S003	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB43
44	E341	B4-S011	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB44
45	E348	B4-S014	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB45
46	E353	B4-S015	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB46
47	E358	B4-S016	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB47
48	E366	B5-S003	B5	f83r	ENTER_ALLOGRAPH_BLOCK	AB48
49	E369	B5-S003	B5	f83r	ENTER_ALLOGRAPH_BLOCK	AB49
50	E377	B6-S001	B6	f83r	ENTER_ALLOGRAPH_BLOCK	AB50
