system	context_index	class	variant	original_members	status
FULL01	2	DIFFERENT_CARGO_NAME	0	24	PREPARED_NOT_QUERIED
FULL02	2	DIFFERENT_CARGO_NAME	2	24	PREPARED_NOT_QUERIED
FULL03	2	DIFFERENT_CARGO_NAME	4	18	PREPARED_NOT_QUERIED
FULL04	2	DIFFERENT_CARGO_NAME	6	18	PREPARED_NOT_QUERIED
FULL05	2	DIFFERENT_CARGO_NAME	8	18	PREPARED_NOT_QUERIED
FULL06	2	DIFFERENT_CARGO_NAME	10	18	PREPARED_NOT_QUERIED
FULL07	2	DIFFERENT_CARGO_NAME	12	12	PREPARED_NOT_QUERIED
FULL08	2	DIFFERENT_CARGO_NAME	14	12	PREPARED_NOT_QUERIED
FULL09	2	FIRST_REFERENCE	0	6	PREPARED_NOT_QUERIED
FULL10	2	FIRST_REFERENCE	2	6	PREPARED_NOT_QUERIED
FULL11	4	DIFFERENT_CARGO_NAME	0	24	PREPARED_NOT_QUERIED
FULL12	4	DIFFERENT_CARGO_NAME	2	24	PREPARED_NOT_QUERIED
FULL13	4	DIFFERENT_CARGO_NAME	4	18	PREPARED_NOT_QUERIED
FULL14	4	DIFFERENT_CARGO_NAME	6	18	PREPARED_NOT_QUERIED
FULL15	4	DIFFERENT_CARGO_NAME	8	18	PREPARED_NOT_QUERIED
FULL16	4	DIFFERENT_CARGO_NAME	10	18	PREPARED_NOT_QUERIED
FULL17	4	DIFFERENT_CARGO_NAME	12	12	PREPARED_NOT_QUERIED
FULL18	4	DIFFERENT_CARGO_NAME	14	12	PREPARED_NOT_QUERIED
FULL19	4	FIRST_REFERENCE	0	6	PREPARED_NOT_QUERIED
FULL20	4	FIRST_REFERENCE	2	6	PREPARED_NOT_QUERIED
