station_number	record_id	page	local_order	owner_id	entry_rule	allowed_flow_claim	global_connection
1	B1	f81v	1	B1_SHARED_TWO_ROW_POOL	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
2	B2	f82r	1	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
3	B2	f82r	2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
4	B2	f82r	3	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
5	B2	f82r	4	B2_LOWER_GREEN_MULTI_FIGURE_POOL	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
6	B2	f82r	5	B2_LOWER_POOL_EDGE_STATIONS	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
7	B3	f83r	1	B3_UPPER_MARGIN_OPEN_FAN_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
8	B3	f83r	2	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
9	B3	f83r	3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
10	B3	f83r	4	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
11	B3	f83r	5	B3_MAIN_ARCH_LINKED_PAIR	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
12	B4	f83r	1	B4_MAIN_ARCH_LINKED_PAIR	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
13	B4	f83r	2	B4_MAIN_LEFT_OPEN_FRINGE_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
14	B4	f83r	3	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
15	B5	f83r	1	B5_LEFT_OPEN_FRINGE_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
16	B6	f83r	1	B6_RIGHT_S_RUN_MULTIPORT_STATION	RESET_ACTIVE_SOURCE_TARGET_DIRECTION	LOCAL_CONTACT_OR_ROUTE_ONLY	NONE
