source_group_id	unit_id	record_id	page	local_owner	visible_surface	clause_shape_id	source_slots	period_source_clause	direction_scope
E101	B1-S001	B1	f81v	B1_SHARED_TWO_ROW_POOL	qokedy	C03	ACTION>GRADE>CLOSE	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	CURRENT_VISIBLE_OWNER_ONLY
E102	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	okaiin	C06	ACTION>QUANTITY_OR_STAGE	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	CURRENT_VISIBLE_OWNER_ONLY
E103	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	kair	C09	SOURCE_OR_PREPARATION	Nenne Quelle, Lauf, Auszug oder Ansatz: Beckenwasser.	CURRENT_VISIBLE_OWNER_ONLY
E104	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	okal	C04	ACTION>TARGET	Führe es an der bezeichneten Stelle aus: dort ansetzen.	CURRENT_VISIBLE_OWNER_ONLY
E105	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	sar	C09	SOURCE_OR_PREPARATION	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	CURRENT_VISIBLE_OWNER_ONLY
E106	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	ol	C02	ORDER	Danach oder in demselben Gang: fortsetzen.	CURRENT_VISIBLE_OWNER_ONLY
E107	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	kain	C10	QUANTITY_OR_STAGE	Setze Maß, Portion oder Stufe: eine Portion.	CURRENT_VISIBLE_OWNER_ONLY
E108	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	olkain	C02	ORDER>QUANTITY_OR_STAGE	Danach oder in demselben Gang: weitere Portion.	CURRENT_VISIBLE_OWNER_ONLY
E109	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	al	C11	TARGET	Setze die bezeichnete Zielstelle: dorthin.	CURRENT_VISIBLE_OWNER_ONLY
E110	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	ol	C02	ORDER	Danach oder in demselben Gang: fortsetzen.	CURRENT_VISIBLE_OWNER_ONLY
E111	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	rol	C02	ORDER	Danach oder in demselben Gang: vom vorigen Gang weiterführen.	CURRENT_VISIBLE_OWNER_ONLY
E112	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	dl	C01	LEARNED_OR_LOCAL_BODY	Setze die gelernte Fachkarte: Zusatz.	CURRENT_VISIBLE_OWNER_ONLY
E113	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	olor	C02	ORDER>SOURCE_OR_PREPARATION	Danach oder in demselben Gang: Fortsetzungsansatz.	CURRENT_VISIBLE_OWNER_ONLY
E114	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	ol	C02	ORDER	Danach oder in demselben Gang: fortsetzen.	CURRENT_VISIBLE_OWNER_ONLY
E115	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	sheckhal	C03	ACTION>TARGET>GRADE	Führe aus und beachte Dauer oder Endpunkt: kurz zur Zielstelle durchleiten.	CURRENT_VISIBLE_OWNER_ONLY
E116	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	daiin	C10	QUANTITY_OR_STAGE	Setze Maß, Portion oder Stufe: Sollmaß.	CURRENT_VISIBLE_OWNER_ONLY
E117	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	qokeedal	C03	ACTION>TARGET>GRADE	Führe aus und beachte Dauer oder Endpunkt: dort länger halten.	CURRENT_VISIBLE_OWNER_ONLY
