unit_id	record_id	page	local_owner_sequence	contains_visible_owner_break	group_count	surface_sequence	clause_shape_sequence	short_card_sequence_de	period_source_clause_sequence	local_station_working_reading_de	station_reset_rule	global_network_claim
B1-S001	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	qokedy	C03	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	C06>C09>C04>C09>C02>C10>C02>C11>C02>C02>C01>C02>C02>C03>C10>C03>C10>C07>C08	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Nenne Quelle, Lauf, Auszug oder Ansatz: Beckenwasser. Führe es an der bezeichneten Stelle aus: dort ansetzen. Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz. Danach oder in demselben Gang: fortsetzen. Setze Maß, Portion oder Stufe: eine Portion. Danach oder in demselben Gang: weitere Portion. Setze die bezeichnete Zielstelle: dorthin. Danach oder in demselben Gang: fortsetzen. Danach oder in demselben Gang: vom vorigen Gang weiterführen. Setze die gelernte Fachkarte: Zusatz. Danach oder in demselben Gang: Fortsetzungsansatz. Danach oder in demselben Gang: fortsetzen. Führe aus und beachte Dauer oder Endpunkt: kurz zur Zielstelle durchleiten. Setze Maß, Portion oder Stufe: Sollmaß. Führe aus und beachte Dauer oder Endpunkt: dort länger halten. Setze Maß, Portion oder Stufe: Sollmaß. Führe es mit diesem laufenden Posten aus: durchleiten. Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S003	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	2	qol sshkchdy	C02>C08	fortsetzen; im Arbeitsgang schwenken; Schluss	Danach oder in demselben Gang: fortsetzen. Führe die Handlung aus; schließe nur bei Endkarte: im Arbeitsgang schwenken; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S004	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	3	chedy ol shedy	C07>C02>C03	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen. Danach oder in demselben Gang: fortsetzen. Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S005	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	qolchedy	C02	weiterüberführen; Schluss	Danach oder in demselben Gang: weiterüberführen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S006	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	4	qokain shckhy dl ral	C06>C07>C01>C11	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Führe es mit diesem laufenden Posten aus: durchleiten. Setze die gelernte Fachkarte: Zusatz. Setze die bezeichnete Zielstelle: zur Zielstelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S007	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	qokchdy	C08	Umsetzung ansetzen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S008	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	5	chey ol cheky ol shedy	C12>C02>C03>C02>C03	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	Nimm diesen Posten wieder auf: dieser Posten. Danach oder in demselben Gang: fortsetzen. Führe aus und beachte Dauer oder Endpunkt: kurz wärmen. Danach oder in demselben Gang: fortsetzen. Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S009	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	qokedy	C03	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S010	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	qokedy	C03	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	KEEP_CURRENT_LOCAL_OWNER	NONE
