order	event_id	locus	statement_id	surface	joint_tuple_id	selected_small_value_de	product_register
1	E015	f10r.6	H2-S001	ycheor	7249edc4df3419c26999	Spitzen	CURRENT_PROCESS
2	E016	f10r.6	H2-S001	cthy	e0b630cb1b5df5e7105b	bereit	CURRENT_PROCESS
3	E017	f10r.6	H2-S001	chor	7a4bb8136330ee4e6e56	Ansatz	CURRENT_PROCESS
4	E018	f10r.6	H2-S001	cthaiin	f3c23f42baf625639e1e	zerstoßen	CURRENT_PROCESS
5	E019	f10r.6	H2-S001	qoctholy	af816c04e65874a0f2fa	abpressen	CURRENT_PROCESS
6	E020	f10r.6	H2-S001	dy	b921a237be883a820352	dies A	PRODUCT_A__LOCAL_PRESS_LIQUID_RIVAL
7	E021	f10r.6	H2-S001	chy	b921a237be883a820352	dies B	PRODUCT_B__LOCAL_PRESS_RESIDUE_RIVAL
8	E022	f10r.6	H2-S001	taiin	2f1c5e56e8f0ff459065	Mass	CURRENT_PROCESS
9	E023	f10r.6	H2-S001	shy	b921a237be883a820352	dies bemessene	MEASURED_SELECTED_PRODUCT
10	E024	f10r.8	H2-S002	qotchor	10488b911aae52b3b334	Folgeansatz	CURRENT_PROCESS
11	E025	f10r.8	H2-S002	chor	7a4bb8136330ee4e6e56	Ansatz	CURRENT_PROCESS
12	E026	f10r.8	H2-S002	otol	497cbd9c7401810ff56b	danach fortsetzen	CURRENT_PROCESS
13	E027	f10r.8	H2-S002	chol	dcda95c81a5460feb191	fortsetzen	CURRENT_PROCESS
14	E028	f10r.8	H2-S002	cholor	dec401773c1f0347793d	Fortsetzungsansatz	CURRENT_PROCESS
15	E029	f10r.8	H2-S002	chol	dcda95c81a5460feb191	fortsetzen	CURRENT_PROCESS
16	E030	f10r.8	H2-S002	daiin	2f1c5e56e8f0ff459065	Mass	CURRENT_PROCESS
17	E031	f10r.8	H2-S002	dar	4d4559019a961b834aa1	dasselbe	CURRENT_PROCESS
18	E032	f10r.9	H2-S003	oykchor	27d97af8c96eb056c2e6	glasiertes Gefäß	CURRENT_PROCESS
19	E033	f10r.9	H2-S003	shor	7a4bb8136330ee4e6e56	Ansatz A	PREPARATION_A_REJOIN
20	E034	f10r.9	H2-S003	chor	7a4bb8136330ee4e6e56	Ansatz B	PREPARATION_B_REJOIN
21	E035	f10r.9	H2-S003	chy	b921a237be883a820352	dies	CURRENT_PROCESS
22	E036	f10r.9	H2-S003	kaiiin	409de02322e7b2ca0c62	weicher Sollstand	CURRENT_PROCESS
23	E037	f10r.9	H2-S003	dy	b921a237be883a820352	dies	CURRENT_PROCESS
24	E038	f10r.9	H2-S003	chodaiin	834825c61d048a6b5628	Paste	FINAL_PRODUCT
