schedule_id	bank_id	physical_page	owner_de	event_count	replacement_count	stop_count	isolated_global_exact_count	isolated_global_all_exact
LEX_FIRST	G456-01-K001	f10r	zweiknolliges blauköpfiges Heilkraut	92	4	0	92	YES
LEX_FIRST	G456-01-K002	f11r	blühender dreikroniger Sodenstock	59	4	0	59	YES
LEX_FIRST	G456-01-K003	f13r	große Wurzelkrone mit Blatt und Blütenstand	77	10	0	77	YES
LEX_FIRST	G456-01-K004	f17r	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	78	14	0	78	YES
LEX_FIRST	G456-01-K005	f18r	große abgebildete Blütenpflanze	84	8	0	84	YES
LEX_FIRST	G456-01-K006	f1r	F1R_TEXT_BLOCK_A	46	2	0	46	YES
LEX_FIRST	G456-01-K007	f1r	F1R_TEXT_BLOCK_B	25	4	0	25	YES
LEX_FIRST	G456-01-K008	f1r	F1R_TEXT_BLOCK_C	88	2	0	88	YES
LEX_FIRST	G456-01-K009	f1r	F1R_TEXT_BLOCK_D	55	4	0	55	YES
LEX_FIRST	G456-01-K010	f24v	F24V_WHOLE_PLANT	86	6	0	86	YES
LEX_FIRST	G456-01-K011	f55v	große aromatische Doldenpflanze	106	10	0	106	YES
LEX_FIRST	G456-01-K012	f56r	stachelköpfiges Kraut in mehreren Reifestufen	105	6	0	105	YES
LEX_FIRST	G456-01-K013	f67r2	zwei getrennte Himmelsräder und Tabelle	126	20	0	126	YES
LEX_FIRST	G456-01-K014	f68r1	mehrteilige Sternstellentafel	31	6	0	31	YES
LEX_FIRST	G456-01-K015	f71v	dritte lokale Ringgruppe	11	2	0	11	YES
LEX_FIRST	G456-01-K016	f71v	erste lokale Figuren-/Sternringgruppe	37	4	0	37	YES
LEX_FIRST	G456-01-K017	f71v	zweite lokale Figuren-/Sternringgruppe	30	4	0	30	YES
LEX_FIRST	G456-01-K018	f72r	Tierkreis-Ringgruppe A	42	8	0	42	YES
LEX_FIRST	G456-01-K019	f72r	Tierkreis-Ringgruppe B	27	4	0	27	YES
LEX_FIRST	G456-01-K020	f72r	Tierkreis-Ringgruppe C	13	2	0	13	YES
