master_event_id	docket_id	owner	line_no	line_column	component_recipe	exact_card	first_hand_surface	second_hand_surface	surface_changed	second_hand_rule	second_surface_unique_to_card	same_exact_card	same_owner	same_statement_boundary	same_line_boundary	backread_de
MP001	FD01	PLANT	1	1	OK+Y	PROC011	okchy	chokchy	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSETZEN · DIES
MP002	FD01	PLANT	1	2	AIIN	PROC009	aiin	chaiin	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	MASS
MP003	FD02	PLANT	1	3	HO	PROC052	cho	cho	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	ZUTAT
MP004	FD02	PLANT	1	4	OK+Y	PROC011	okchy	chokchy	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSETZEN · DIES
MP005	FD02	PLANT	2	1	K+HO+AR	PROC063	kchoar	kchoar	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	ZUDOSIEREN · ZUTAT · QUELLE
MP006	FD05	PLANT	2	2	AIIN	PROC009	aiin	chaiin	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	MASS
MP007	FD05	PLANT	2	3	CHD+Y	PROC042	chdy	chedy	YES	H1_EXTENDED_E_JOINT	YES	YES	YES	YES	YES	UMSETZEN · DIES
MP008	FD05	PLANT	2	4	TALAM	PROC043	talam	talam	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	VERWAHREN
MP009	FD08	PLANT	2	5	AIIN	PROC009	aiin	chaiin	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	MASS
MP010	FD08	PLANT	2	6	CHD+DY	PROC094	dchdy	dchdy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · SCHLUSS
MP011	FD08	PLANT	3	1	OR	PROC016	or	chor	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSATZ
MP012	FD03	BASIN	3	2	AIIN	PROC009	aiin	chaiin	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	MASS
MP013	FD03	BASIN	3	3	OK+Y	PROC008	oky	choky	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSETZEN · DIES
MP014	FD03	BASIN	3	4	AL	PROC055	al	cheal	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	ZIEL
MP015	FD04	BASIN	3	5	CHD+DY	PROC076	dchedy	dchedy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · SCHLUSS
MP016	FD04	BASIN	4	1	CHD+Y	PROC133	chedchy	chedchy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · DIES
MP017	FD04	BASIN	4	2	OK+AL	PROC048	okal	qokal	YES	H3_Q_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSETZEN · ZIEL
MP018	FD06	BASIN	4	3	CHD+DY	PROC076	dchedy	dchedy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · SCHLUSS
MP019	FD09	BASIN	4	4	T+E+Y	PROC090	ytey	ytey	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	EINTRAGEN · KURZ · DIES
MP020	FD09	BASIN	4	5	OK+CHD+DY	PROC091	okchedy	qokchedy	YES	H3_Q_ENTRY_FRAME	YES	YES	YES	YES	YES	ANSETZEN · UMSETZEN · SCHLUSS
MP021	FD10	BASIN	4	6	OK+CHD+DY	PROC082	qokchdy	qokchdy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	ANSETZEN · UMSETZEN · SCHLUSS
MP022	FD12	BASIN	4	7	CHD+DY	PROC076	dchedy	dchedy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · SCHLUSS
MP023	FD12	BASIN	5	1	CHD+Y	PROC042	chdy	chedy	YES	H1_EXTENDED_E_JOINT	YES	YES	YES	YES	YES	UMSETZEN · DIES
MP024	FD12	BASIN	5	2	AIIN	PROC009	aiin	chaiin	YES	H2_CH_ENTRY_FRAME	YES	YES	YES	YES	YES	MASS
MP025	FD07	APPARATUS	5	3	CKH+Y	PROC075	chckhy	chckhy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	DURCHLASS · DIES
MP026	FD07	APPARATUS	5	4	CHD+DY	PROC076	dchedy	dchedy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	UMSETZEN · SCHLUSS
MP027	FD11	APPARATUS	5	5	OK+CHD+DY	PROC082	qokchdy	qokchdy	NO	UNCHANGED_REGISTERED_FORM	YES	YES	YES	YES	YES	ANSETZEN · UMSETZEN · SCHLUSS
