clause_id	physical_page	register	start_event	end_event	events	instruction_count	instruction_ids	crosses_physical_line	end_reason	fluent_clause_de
P915-C001	f10r	HERBAL	P912-E0001	P912-E0039	39	26	P917-I0001|P917-I0002|P917-I0003|P917-I0004|P917-I0005|P917-I0006|P917-I0007|P917-I0008|P917-I0009|P917-I0010|P917-I0011|P917-I0012|P917-I0013|P917-I0014|P917-I0015|P917-I0016|P917-I0017|P917-I0018|P917-I0019|P917-I0020|P917-I0021|P917-I0022|P917-I0023|P917-I0024|P917-I0025|P917-I0026	YES	LICENSED_DY_CLOSE	Diesen Posten einsetzen, entnehmen, bearbeiten und bis bereit führen. Den Ansatz halten. Aus diesem Teil diesen Posten bearbeiten, bis bereit führen und bearbeiten. Den Ansatz und diesen Posten entnehmen. Weiter aus diesem Teil einsetzen, entnehmen und bearbeiten. Entnehmen, bearbeiten, einsetzen und entnehmen zur Ziel- oder Anschlussstelle. Diesen Posten einsetzen und entnehmen. Zugeben oder zuordnen und bearbeiten mit m-Zeichen. Diesen Posten kurz entnehmen. Den Ansatz bis bereit führen und bearbeiten. Von der Entnahmestelle diesen Posten entnehmen und bearbeiten. Auch entnehmen entlang des Laufs. Danach weiter diesen Posten bearbeiten und entnehmen. Diesen Posten ansetzen. Nach Sollmaß diesen Posten kurz bearbeiten. Danach den Ansatz bearbeiten. Diesen Posten bearbeiten. Nach Sollmaß diesen Posten entnehmen, bearbeiten und bis bereit führen. Danach weiter diesen Posten und den Ansatz bearbeiten. Diesen Posten und den Ansatz prüfen. Nach Sollmaß entnehmen. Diesen Posten entnehmen und bis bereit führen. Bis bereit führen und bearbeiten. Nach Sollmaß diesen Posten und den Ansatz entnehmen, bearbeiten und entnehmen durch den Durchlass. Aus diesem Teil auf der angegebenen Stufe bearbeiten und den Zustand markieren. Bearbeiten; fertig.
P915-C002	f10r	HERBAL	P912-E0040	P912-E0092	53	29	P917-I0027|P917-I0028|P917-I0029|P917-I0030|P917-I0031|P917-I0032|P917-I0033|P917-I0034|P917-I0035|P917-I0036|P917-I0037|P917-I0038|P917-I0039|P917-I0040|P917-I0041|P917-I0042|P917-I0043|P917-I0044|P917-I0045|P917-I0046|P917-I0047|P917-I0048|P917-I0049|P917-I0050|P917-I0051|P917-I0052|P917-I0053|P917-I0054|P917-I0055	YES	PAGE_END_OPEN	Diesen Posten ansetzen. Danach weiter entnehmen. Weiter diesen Posten bis bereit führen. Diesen Posten und den Auszug den Zustand markieren. Diesen Posten bis bereit führen. Den Ansatz entnehmen. Nach Sollmaß bis bereit führen. Weiter diesen Posten bearbeiten und bis bereit führen unter q-Träger. Nach Sollmaß diesen Posten bearbeiten. Weiter aus diesem Teil diesen Posten ansetzen. Nach Sollmaß diesen Posten zugeben oder zuordnen und entnehmen. Diesen Posten bearbeiten. Nach Sollmaß bis bereit führen. Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle. Den Ansatz entnehmen. Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten bearbeiten, zugeben oder zuordnen und entnehmen. Den Ansatz halten. Den Ansatz entnehmen. Von der lokalen Stelle auf der angegebenen Stufe diesen Posten zugeben oder zuordnen mit i-Zeichen. Aus diesem Teil nach Sollmaß diesen Posten entnehmen und bearbeiten. Danach den Ansatz bearbeiten. Danach den Ansatz und diesen Posten pressen oder trennen. Den Ansatz bis bereit führen. Als eine Portion bearbeiten und prüfen. Auf der angegebenen Stufe diesen Posten bearbeiten. Danach den Ansatz entnehmen, bearbeiten und halten. Danach aus diesem Teil diesen Posten und den Ansatz bis bereit führen. Danach von der Entnahmestelle aus diesem Teil nach Sollmaß bearbeiten. Danach nach Sollmaß mit diesen Posten und den Ansatz weiterarbeiten.
P915-C003	f11r	HERBAL	P912-E0093	P912-E0099	7	7	P917-I0056|P917-I0057|P917-I0058|P917-I0059|P917-I0060|P917-I0061|P917-I0062	NO	LICENSED_DY_CLOSE	Weiter bearbeiten und halten. Halten und bearbeiten zur Ziel- oder Anschlussstelle. Diesen Posten pressen oder trennen. Nach Sollmaß diesen Posten halten. Diesen Posten in den Gegengang führen. Diesen Posten kurz halten. Bearbeiten, entnehmen und bearbeiten; fertig.
P915-C004	f11r	HERBAL	P912-E0100	P912-E0151	52	29	P917-I0063|P917-I0064|P917-I0065|P917-I0066|P917-I0067|P917-I0068|P917-I0069|P917-I0070|P917-I0071|P917-I0072|P917-I0073|P917-I0074|P917-I0075|P917-I0076|P917-I0077|P917-I0078|P917-I0079|P917-I0080|P917-I0081|P917-I0082|P917-I0083|P917-I0084|P917-I0085|P917-I0086|P917-I0087|P917-I0088|P917-I0089|P917-I0090|P917-I0091	YES	PAGE_END_OPEN	Diesen Posten halten und bearbeiten. Aus diesem Teil diesen Posten prüfen, bearbeiten, bis bereit führen und bearbeiten. Aus diesem Teil den Ansatz bearbeiten unter q-Träger. Diesen Posten zugeben oder zuordnen und halten. Nach Sollmaß diesen Posten bearbeiten. Diesen Posten bearbeiten und ansetzen. Weiter zugeben oder zuordnen. Danach weiter nach Sollmaß diesen Posten bis bereit führen. Aus diesem Teil den Ansatz und diesen Posten zugeben oder zuordnen und entnehmen. Danach diesen Posten entnehmen. Als eine Portion nach Sollmaß entnehmen. Aus diesem Teil nach Sollmaß bearbeiten. Weiter aus diesem Teil diesen Posten zugeben oder zuordnen. Weiter nach Sollmaß diesen Posten bearbeiten. Den Ansatz halten. Den Ansatz halten. Aus diesem Teil diesen Posten zugeben oder zuordnen. Nach Sollmaß diesen Posten bis bereit führen. Aus diesem Teil diesen Posten entnehmen und bearbeiten in den nächsten Lauf. Aus diesem Teil nach Sollmaß bearbeiten in den nächsten Lauf. Aus diesem Teil prüfen. Danach weiter nach Sollmaß diesen Posten entnehmen. Diesen Posten und den Ansatz zugeben oder zuordnen und entnehmen. Aus diesem Teil diesen Posten entnehmen und bearbeiten entlang des Laufs. Diesen Posten bis bereit führen. Prüfen. Danach weiter nach Sollmaß diesen Posten ansetzen. Diesen Posten bis bereit führen. Mit diesen Posten weiterarbeiten.
P915-C005	f13r	HERBAL	P912-E0152	P912-E0193	42	30	P917-I0092|P917-I0093|P917-I0094|P917-I0095|P917-I0096|P917-I0097|P917-I0098|P917-I0099|P917-I0100|P917-I0101|P917-I0102|P917-I0103|P917-I0104|P917-I0105|P917-I0106|P917-I0107|P917-I0108|P917-I0109|P917-I0110|P917-I0111|P917-I0112|P917-I0113|P917-I0114|P917-I0115|P917-I0116|P917-I0117|P917-I0118|P917-I0119|P917-I0120|P917-I0121	YES	LICENSED_DY_CLOSE	Den Ansatz bearbeiten und halten. Diesen Posten bearbeiten und einsetzen. Weiter halten. Diesen Posten bearbeiten und einsetzen. Weiter halten. Den Ansatz bearbeiten, einsetzen und entnehmen. Aus diesem Teil diesen Posten einsetzen. Aus diesem Teil entnehmen mit g-Zeichen. Weiter aus diesem Teil diesen Posten halten und zugeben oder zuordnen. Diesen Posten zugeben oder zuordnen zur Ziel- oder Anschlussstelle. Danach nach Sollmaß diesen Posten prüfen. Diesen Posten prüfen. Aus diesem Teil diesen Posten und den Ansatz entnehmen. Nach Sollmaß halten. Vollständig bearbeiten und prüfen. Diesen Posten und den Ansatz zugeben oder zuordnen. Den Ansatz entnehmen. Diesen Posten bearbeiten. Diesen Posten zugeben oder zuordnen. Diesen Posten zugeben oder zuordnen. Aus diesem Teil von der Entnahmestelle diesen Posten bearbeiten. Diesen Posten bearbeiten. Danach den Ansatz entnehmen. Aus diesem Teil den Ansatz halten und bearbeiten. Diesen Posten bearbeiten. Weiter zugeben oder zuordnen. Aus diesem Teil diesen Posten einsetzen. Diesen Posten bearbeiten und einsetzen. Danach weiter entnehmen. Weiter pressen oder trennen; fertig.
P915-C006	f13r	HERBAL	P912-E0194	P912-E0209	16	8	P917-I0122|P917-I0123|P917-I0124|P917-I0125|P917-I0126|P917-I0127|P917-I0128|P917-I0129	YES	LICENSED_DY_CLOSE	Den Ansatz bearbeiten und entnehmen. Danach weiter aus diesem Teil nach Sollmaß den Ansatz entnehmen. Diesen Posten ansetzen. Den Ansatz ansetzen und entnehmen. Auf der angegebenen Stufe bearbeiten. Aus diesem Teil diesen Posten ansetzen durch den Durchlass. Weiter diesen Posten bearbeiten. Weiter aus diesem Teil weiterarbeiten; fertig.
P915-C007	f13r	HERBAL	P912-E0210	P912-E0219	10	8	P917-I0130|P917-I0131|P917-I0132|P917-I0133|P917-I0134|P917-I0135|P917-I0136|P917-I0137	YES	LICENSED_DY_CLOSE	Den Ansatz ansetzen und entnehmen. Aus diesem Teil nach Sollmaß bearbeiten. Den Stoffteil und diesen Posten ansetzen. Den Ansatz und diesen Posten bearbeiten. Zugeben oder zuordnen. Prüfen. Diesen Posten ansetzen. Weiter nach Sollmaß weiterarbeiten; fertig.
P915-C008	f13r	HERBAL	P912-E0220	P912-E0225	6	5	P917-I0138|P917-I0139|P917-I0140|P917-I0141|P917-I0142	NO	LICENSED_DY_CLOSE	Diesen Posten kurz halten. Weiter aus diesem Teil auf der angegebenen Stufe bearbeiten. Weiter diesen Posten zugeben oder zuordnen. Ansetzen und entnehmen zur Ziel- oder Anschlussstelle. Zur Ziel- oder Anschlussstelle weiterarbeiten; fertig.
P915-C009	f13r	HERBAL	P912-E0226	P912-E0228	3	3	P917-I0143|P917-I0144|P917-I0145	NO	PAGE_END_OPEN	Danach diesen Posten prüfen. Diesen Posten zugeben oder zuordnen. Den Ansatz und diesen Posten ansetzen.
P915-C010	f55v	HERBAL	P912-E0229	P912-E0236	8	6	P917-I0146|P917-I0147|P917-I0148|P917-I0149|P917-I0150|P917-I0151	YES	LICENSED_DY_CLOSE	Aus diesem Teil diesen Posten länger zugeben oder zuordnen, entnehmen und umsetzen. Aus diesem Teil als eine Portion kurz bearbeiten. Danach weiter aus diesem Teil nach Sollmaß diesen Posten bearbeiten durch den Durchlass mit d-Zeichen; fertig. Aus diesem Teil vollständig bearbeiten. Diesen Posten länger bearbeiten. Länger ansetzen; fertig.
