event_id	instruction_id	clause_id	physical_page	surface	component_recipe	workshop_phrase_de
P912-E0001	P917-I0001	P915-C001	f10r	pchocthy	P+CH+O+CTH+Y	einsetzen; entnehmen; Arbeitsgang; die Bereitschaft dieses Postens prüfen
P912-E0002	P917-I0002	P915-C001	f10r	shor	SH+OR	den Ansatz halten
P912-E0003	P917-I0003	P915-C001	f10r	octhody	O+CTH+O+D_ADDR+Y	Arbeitsgang; Bereitschaft; Arbeitsgang; Teilstelle; dies
P912-E0004	P917-I0004	P915-C001	f10r	chorchy	CH+OR+CH+Y	vom Ansatz entnehmen; entnehmen; dies
P912-E0005	P917-I0005	P915-C001	f10r	pchodol	P+CH+O+D_ADDR+OL	einsetzen; entnehmen; Arbeitsgang; in diesem Teil fortsetzen
P912-E0006	P917-I0006	P915-C001	f10r	chopchal	CH+O+P+CH+AL	entnehmen; Arbeitsgang; einsetzen; entnehmen; Zielstelle
P912-E0007	P917-I0007	P915-C001	f10r	ypch	Y+P+CH	dies; einsetzen; entnehmen
P912-E0008	P917-I0008	P915-C001	f10r	kom	K+O+M_LOCAL	zuordnen; Arbeitsgang; m-Zeichen
P912-E0009	P917-I0009	P915-C001	f10r	dchey	CH+E+Y	entnehmen; kurz; dies
P912-E0010	P917-I0010	P915-C001	f10r	cthoor	CTH+O+OR	Bereitschaft; Arbeitsgang; Ansatz
P912-E0011	P917-I0011	P915-C001	f10r	char	AR	Entnahmestelle
P912-E0012	P917-I0011	P915-C001	f10r	chty	CH+T+Y	entnehmen; bearbeiten; dies
P912-E0013	P917-I0012	P915-C001	f10r	os	OS	dazu
P912-E0014	P917-I0012	P915-C001	f10r	chair	CH+AIR	entnehmen; Lauf
P912-E0015	P917-I0013	P915-C001	f10r	otytchol	OT+Y+T+CH+OL	danach diesen Posten; bearbeiten; entnehmen; fortsetzen
P912-E0016	P917-I0014	P915-C001	f10r	oky	OK+Y	ansetzen; dies
P912-E0017	P917-I0015	P915-C001	f10r	daiin	AIIN	Sollmaß
P912-E0018	P917-I0015	P915-C001	f10r	etyd	E+T+Y	kurz; bearbeiten; dies
P912-E0019	P917-I0016	P915-C001	f10r	qotor	OT+OR	danach mit dem Ansatz
P912-E0020	P917-I0016	P915-C001	f10r	o	O	Arbeitsgang
P912-E0021	P917-I0017	P915-C001	f10r	tchy	T+Y	bearbeiten; dies
P912-E0022	P917-I0018	P915-C001	f10r	daiin	AIIN	Sollmaß
