rank	role_sequence	statement_count	example_statements	spoken_instruction_de
1	OPERATION_CLOSE	28	B1-S001|B1-S005|B1-S007|B1-S009|B1-S010	ausführen und Schritt schließen
2	TRANSFER_OR_ADDRESS	4	B2-S014|B2-S022|B3-S022|B5-S001	Quelle, Ziel oder Überführung setzen
3	PROCESS_OR_STATE	3	B2-S007|B2-S009|B3-S019	örtlichen Prozess oder Zustand ausführen
4	STATE_CLOSE	3	B2-S020|B3-S027|B4-S010	Zustand setzen und Schritt schließen
5	OPERATION	2	B3-S009|B4-S004	Handlung ausführen
6	OPERATION>OPERATION_CLOSE	2	B1-S020|B3-S028	Handlung ausführen; dann ausführen und Schritt schließen
7	PATH_OPERATION	2	B1-S013|B2-S019	örtlichen Weg oder Durchgang ausführen
8	TRANSFER_OR_ADDRESS>PROCESS_OR_STATE	2	B3-S010|B3-S014	Quelle, Ziel oder Überführung setzen; dann örtlichen Prozess oder Zustand ausführen
9	ANAPHOR	1	B1-S021	auf den laufenden Bezug zeigen
10	ANAPHOR>ANAPHOR>OPERATION>ANAPHOR>QUANTITY_OR_STAGE	1	H3-S003	auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen; dann Handlung ausführen; dann auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen
11	ANAPHOR>LINK_OR_ORDER>OPERATION>LINK_OR_ORDER>OPERATION_CLOSE	1	B1-S008	auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann Handlung ausführen; dann Folge oder Fortsetzung markieren; dann ausführen und Schritt schließen
12	ANAPHOR>OBJECT>OPERATION>PATH_OPERATION	1	H5-S002	auf den laufenden Bezug zeigen; dann Arbeitsgegenstand nennen; dann Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen
13	ANAPHOR>OPERATION_CLOSE	1	B3-S020	auf den laufenden Bezug zeigen; dann ausführen und Schritt schließen
14	ANAPHOR>PROCESS_OR_STATE	1	B3-S002	auf den laufenden Bezug zeigen; dann örtlichen Prozess oder Zustand ausführen
15	ANAPHOR>PROCESS_OR_STATE>QUANTITY_OR_STAGE	1	H5-S006	auf den laufenden Bezug zeigen; dann örtlichen Prozess oder Zustand ausführen; dann Menge oder Stufe setzen
16	ANAPHOR>PROCESS_OR_STATE>TRANSFER_OR_ADDRESS	1	B1-S017	auf den laufenden Bezug zeigen; dann örtlichen Prozess oder Zustand ausführen; dann Quelle, Ziel oder Überführung setzen
17	ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR>OPERATION_CLOSE	1	B3-S003	auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen; dann ausführen und Schritt schließen
18	ANAPHOR>TRANSFER_OR_ADDRESS>OPERATION>QUANTITY_OR_STAGE>PROCESS_OR_STATE>OPERATION>OPERATION>TRANSFER_OR_ADDRESS	1	B2-S016	auf den laufenden Bezug zeigen; dann Quelle, Ziel oder Überführung setzen; dann Handlung ausführen; dann Menge oder Stufe setzen; dann örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann Handlung ausführen; dann Quelle, Ziel oder Überführung setzen
19	LINK_OR_ORDER>LINK_OR_ORDER>STATE>ANAPHOR	1	H3-S004	Folge oder Fortsetzung markieren; dann Folge oder Fortsetzung markieren; dann Zustand nennen; dann auf den laufenden Bezug zeigen
20	LINK_OR_ORDER>OPERATION>OPERATION_CLOSE	1	B4-S002	Folge oder Fortsetzung markieren; dann Handlung ausführen; dann ausführen und Schritt schließen
21	LINK_OR_ORDER>OPERATION_CLOSE	1	B4-S013	Folge oder Fortsetzung markieren; dann ausführen und Schritt schließen
22	LINK_OR_ORDER>PROCESS_OR_STATE	1	B1-S003	Folge oder Fortsetzung markieren; dann örtlichen Prozess oder Zustand ausführen
23	LINK_OR_ORDER>PROCESS_OR_STATE>OPERATION_CLOSE	1	B3-S029	Folge oder Fortsetzung markieren; dann örtlichen Prozess oder Zustand ausführen; dann ausführen und Schritt schließen
24	OBJECT	1	H3-S002	Arbeitsgegenstand nennen
25	OBJECT>ANAPHOR>PATH_OPERATION>TRANSFER_OR_ADDRESS	1	B4-S014	Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann örtlichen Weg oder Durchgang ausführen; dann Quelle, Ziel oder Überführung setzen
26	OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>OBJECT>TRANSFER_OR_ADDRESS>QUANTITY_OR_STAGE>OPERATION>QUANTITY_OR_STAGE>PROCESS_OR_STATE	1	H1-S001	Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen; dann Arbeitsgegenstand nennen; dann Quelle, Ziel oder Überführung setzen; dann Menge oder Stufe setzen; dann Handlung ausführen; dann Menge oder Stufe setzen; dann örtlichen Prozess oder Zustand ausführen
27	OBJECT>OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR>OBJECT	1	H2-S003	Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen; dann Arbeitsgegenstand nennen
28	OBJECT>OBJECT>OBJECT>QUANTITY_OR_STAGE>OBJECT>LINK_OR_ORDER>ORDERED_OBJECT>OPERATION>ANAPHOR	1	H5-S001	Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann Menge oder Stufe setzen; dann Arbeitsgegenstand nennen; dann Folge oder Fortsetzung markieren; dann nächsten Arbeitsgegenstand wählen; dann Handlung ausführen; dann auf den laufenden Bezug zeigen
29	OBJECT>OBJECT>PATH_OPERATION>PROCESS_OR_STATE>PATH_OPERATION>OBJECT>OBJECT	1	H3-S001	Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen; dann örtlichen Weg oder Durchgang ausführen; dann örtlichen Prozess oder Zustand ausführen; dann örtlichen Weg oder Durchgang ausführen; dann Arbeitsgegenstand nennen; dann Arbeitsgegenstand nennen
30	OBJECT>OPERATION>OBJECT>OPERATION	1	H5-S005	Arbeitsgegenstand nennen; dann Handlung ausführen; dann Arbeitsgegenstand nennen; dann Handlung ausführen
31	OBJECT>OPERATION>OPERATION_CLOSE	1	B4-S005	Arbeitsgegenstand nennen; dann Handlung ausführen; dann ausführen und Schritt schließen
32	OBJECT>OPERATION_CLOSE	1	B3-S012	Arbeitsgegenstand nennen; dann ausführen und Schritt schließen
33	OBJECT>STATE>OBJECT>PROCESS_OR_STATE>PROCESS_OR_STATE>ANAPHOR>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR	1	H2-S001	Arbeitsgegenstand nennen; dann Zustand nennen; dann Arbeitsgegenstand nennen; dann örtlichen Prozess oder Zustand ausführen; dann örtlichen Prozess oder Zustand ausführen; dann auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen
34	OPERATION>ANAPHOR>ANAPHOR	1	B3-S004	Handlung ausführen; dann auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen
35	OPERATION>ANAPHOR>ANAPHOR>OPERATION>OPERATION>LINK_OR_ORDER>OPERATION_CLOSE	1	B4-S003	Handlung ausführen; dann auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen; dann Handlung ausführen; dann Handlung ausführen; dann Folge oder Fortsetzung markieren; dann ausführen und Schritt schließen
36	OPERATION>ANAPHOR>OPERATION>OPERATION_CLOSE	1	B2-S011	Handlung ausführen; dann auf den laufenden Bezug zeigen; dann Handlung ausführen; dann ausführen und Schritt schließen
37	OPERATION>ANAPHOR>OPERATION_CLOSE	1	B2-S003	Handlung ausführen; dann auf den laufenden Bezug zeigen; dann ausführen und Schritt schließen
38	OPERATION>LINK_OR_ORDER>LINK_OR_ORDER>STATE	1	H1-S002	Handlung ausführen; dann Folge oder Fortsetzung markieren; dann Folge oder Fortsetzung markieren; dann Zustand nennen
39	OPERATION>LINK_OR_ORDER>OPERATION_CLOSE	1	B1-S004	Handlung ausführen; dann Folge oder Fortsetzung markieren; dann ausführen und Schritt schließen
40	OPERATION>LINK_OR_ORDER>TRANSFER_OR_ADDRESS>LINK_OR_ORDER>TRANSFER_OR_ADDRESS	1	B1-S014	Handlung ausführen; dann Folge oder Fortsetzung markieren; dann Quelle, Ziel oder Überführung setzen; dann Folge oder Fortsetzung markieren; dann Quelle, Ziel oder Überführung setzen
41	OPERATION>OBJECT>QUANTITY_OR_STAGE>PATH_OPERATION>PROCESS_OR_STATE>OPERATION_CLOSE	1	B4-S015	Handlung ausführen; dann Arbeitsgegenstand nennen; dann Menge oder Stufe setzen; dann örtlichen Weg oder Durchgang ausführen; dann örtlichen Prozess oder Zustand ausführen; dann ausführen und Schritt schließen
42	OPERATION>OBJECT>TRANSFER_OR_ADDRESS	1	H5-S004	Handlung ausführen; dann Arbeitsgegenstand nennen; dann Quelle, Ziel oder Überführung setzen
43	OPERATION>OPERATION	1	B1-S011	Handlung ausführen; dann Handlung ausführen
44	OPERATION>OPERATION>LINK_OR_ORDER>OPERATION_CLOSE	1	B1-S016	Handlung ausführen; dann Handlung ausführen; dann Folge oder Fortsetzung markieren; dann ausführen und Schritt schließen
45	OPERATION>OPERATION>OBJECT>TRANSFER_OR_ADDRESS	1	B1-S006	Handlung ausführen; dann Handlung ausführen; dann Arbeitsgegenstand nennen; dann Quelle, Ziel oder Überführung setzen
46	OPERATION>OPERATION>OPERATION_CLOSE	1	B3-S007	Handlung ausführen; dann Handlung ausführen; dann ausführen und Schritt schließen
47	OPERATION>OPERATION>TRANSFER_OR_ADDRESS>OBJECT	1	B2-S010	Handlung ausführen; dann Handlung ausführen; dann Quelle, Ziel oder Überführung setzen; dann Arbeitsgegenstand nennen
48	OPERATION>PATH_OPERATION>TRANSFER_OR_ADDRESS>OPERATION>PATH_OPERATION	1	B2-S004	Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen; dann Quelle, Ziel oder Überführung setzen; dann Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen
49	OPERATION>QUANTITY_OR_STAGE>OPERATION>OPERATION_CLOSE	1	B3-S013	Handlung ausführen; dann Menge oder Stufe setzen; dann Handlung ausführen; dann ausführen und Schritt schließen
50	OPERATION>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>PROCESS_OR_STATE	1	H4-S001	Handlung ausführen; dann Menge oder Stufe setzen; dann Menge oder Stufe setzen; dann Menge oder Stufe setzen; dann örtlichen Prozess oder Zustand ausführen
51	OPERATION>QUANTITY_OR_STAGE>TRANSFER_OR_ADDRESS>TRANSFER_OR_ADDRESS	1	B3-S030	Handlung ausführen; dann Menge oder Stufe setzen; dann Quelle, Ziel oder Überführung setzen; dann Quelle, Ziel oder Überführung setzen
52	OPERATION>STATE>ANAPHOR>ANAPHOR>QUANTITY_OR_STAGE>STATE>PROCESS_OR_STATE>ANAPHOR>ANAPHOR>STATE>TRANSFER_OR_ADDRESS	1	B3-S021	Handlung ausführen; dann Zustand nennen; dann auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen; dann Menge oder Stufe setzen; dann Zustand nennen; dann örtlichen Prozess oder Zustand ausführen; dann auf den laufenden Bezug zeigen; dann auf den laufenden Bezug zeigen; dann Zustand nennen; dann Quelle, Ziel oder Überführung setzen
53	OPERATION>TRANSFER_OR_ADDRESS>OPERATION>ANAPHOR>LINK_OR_ORDER>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>ANAPHOR>LINK_OR_ORDER>LINK_OR_ORDER>OBJECT>ANAPHOR>LINK_OR_ORDER>PATH_OPERATION>QUANTITY_OR_STAGE>PROCESS_OR_STATE>QUANTITY_OR_STAGE>OPERATION>OPERATION_CLOSE	1	B1-S002	Handlung ausführen; dann Quelle, Ziel oder Überführung setzen; dann Handlung ausführen; dann auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann Menge oder Stufe setzen; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann Folge oder Fortsetzung markieren; dann Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann örtlichen Weg oder Durchgang ausführen; dann Menge oder Stufe setzen; dann örtlichen Prozess oder Zustand ausführen; dann Menge oder Stufe setzen; dann Handlung ausführen; dann ausführen und Schritt schließen
54	ORDERED_OBJECT>OBJECT>LINK_OR_ORDER>LINK_OR_ORDER>ANAPHOR>LINK_OR_ORDER>QUANTITY_OR_STAGE>ANAPHOR	1	H2-S002	nächsten Arbeitsgegenstand wählen; dann Arbeitsgegenstand nennen; dann Folge oder Fortsetzung markieren; dann Folge oder Fortsetzung markieren; dann auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen
55	PATH_OPERATION>OPERATION>PATH_OPERATION	1	B1-S012	örtlichen Weg oder Durchgang ausführen; dann Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen
56	PATH_OPERATION>OPERATION_CLOSE	1	B2-S015	örtlichen Weg oder Durchgang ausführen; dann ausführen und Schritt schließen
57	PROCESS_OR_STATE>OBJECT>PROCESS_OR_STATE>OPERATION	1	H5-S003	örtlichen Prozess oder Zustand ausführen; dann Arbeitsgegenstand nennen; dann örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen
58	PROCESS_OR_STATE>OPERATION>OPERATION>TRANSFER_OR_ADDRESS	1	B3-S011	örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann Handlung ausführen; dann Quelle, Ziel oder Überführung setzen
59	PROCESS_OR_STATE>OPERATION>PATH_OPERATION>OPERATION	1	B2-S006	örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen; dann Handlung ausführen
60	PROCESS_OR_STATE>OPERATION_CLOSE	1	B1-S015	örtlichen Prozess oder Zustand ausführen; dann ausführen und Schritt schließen
