event_serial	record_unit_id	statement_id	page	visible_surface	master_card_id	visible_owner	apprentice_layer	card_value_de	terminal_status	spoken_role	role_spoken_atom_de
1	H1	H1-S001	f10r	dchey	MC071	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Grundteil	NONCLOSE	OBJECT	OBJECT[Grundteil]
2	H1	H1-S001	f10r	cthoor	MC158	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · Bereitung	NONCLOSE	OBJECT	OBJECT[bereitstellen · Bereitung]
3	H1	H1-S001	f10r	char	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	davon	NONCLOSE	ANAPHOR	ANAPHOR[davon]
4	H1	H1-S001	f10r	chty	MC086	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Anteil	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Anteil]
5	H1	H1-S001	f10r	os	MC159	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Aufnahme	NONCLOSE	OBJECT	OBJECT[Aufnahme]
6	H1	H1-S001	f10r	chair	MC014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Lauf	NONCLOSE	TRANSFER_OR_ADDRESS	TRANSFER_OR_ADDRESS[Lauf]
7	H1	H1-S001	f10r	otytchol	MC069	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · Teil · weiter	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[danach · Teil · weiter]
8	H1	H1-S001	f10r	oky	MC026	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	einsetzen	NONCLOSE	OPERATION	OPERATION[einsetzen]
9	H1	H1-S001	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
10	H1	H1-S001	f10r	etyd	MC108	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	kurz · Teil	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[kurz · Teil]
11	H1	H1-S002	f10r	qokchy	MC103	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE	OPERATION	OPERATION[weiterbearbeiten]
12	H1	H1-S002	f10r	qotchol	MC163	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[danach · weiter]
13	H1	H1-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
14	H1	H1-S002	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	bereit	NONCLOSE	STATE	STATE[bereit]
15	H2	H2-S001	f10r	ycheor	MC075	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Posten · Auszug · Bereitung	NONCLOSE	OBJECT	OBJECT[Posten · Auszug · Bereitung]
16	H2	H2-S001	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	bereit	NONCLOSE	STATE	STATE[bereit]
17	H2	H2-S001	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE	OBJECT	OBJECT[Ansatz]
18	H2	H2-S001	f10r	cthaiin	MC169	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · Sollmaß	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[bereitstellen · Sollmaß]
19	H2	H2-S001	f10r	qoctholy	MC115	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · weiter · Posten	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[bereitstellen · weiter · Posten]
20	H2	H2-S001	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
21	H2	H2-S001	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
22	H2	H2-S001	f10r	taiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
23	H2	H2-S001	f10r	shy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
24	H2	H2-S002	f10r	qotchor	MC013	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Folgeansatz	NONCLOSE	ORDERED_OBJECT	ORDERED_OBJECT[Folgeansatz]
25	H2	H2-S002	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE	OBJECT	OBJECT[Ansatz]
26	H2	H2-S002	f10r	otol	MC053	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[danach · weiter]
27	H2	H2-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
28	H2	H2-S002	f10r	cholor	MC157	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	derselbe Ansatz	NONCLOSE	ANAPHOR	ANAPHOR[derselbe Ansatz]
29	H2	H2-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
30	H2	H2-S002	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
31	H2	H2-S002	f10r	dar	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	davon	NONCLOSE	ANAPHOR	ANAPHOR[davon]
32	H2	H2-S003	f10r	oykchor	MC027	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Posten · bearbeiten · Bereitung	NONCLOSE	OBJECT	OBJECT[Posten · bearbeiten · Bereitung]
33	H2	H2-S003	f10r	shor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE	OBJECT	OBJECT[Ansatz]
34	H2	H2-S003	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE	OBJECT	OBJECT[Ansatz]
35	H2	H2-S003	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
