statement_id	record_unit_id	page	mould_id	boundary_from_previous	owner_trace	role_sequence	card_value_sequence_de	role_annotated_clause_de	original_carry_aware_clause_de
H1-S001	H1	f10r	M01_MATERIAL_PREPARATION	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>OBJECT>TRANSFER_OR_ADDRESS>QUANTITY_OR_STAGE>OPERATION>QUANTITY_OR_STAGE>PROCESS_OR_STATE	Grundteil | bereitstellen · Bereitung | davon | Anteil | Aufnahme | Lauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	OBJECT[Grundteil] — OBJECT[bereitstellen · Bereitung] — ANAPHOR[davon] — QUANTITY_OR_STAGE[Anteil] — OBJECT[Aufnahme] — TRANSFER_OR_ADDRESS[Lauf] — QUANTITY_OR_STAGE[danach · Teil · weiter] — OPERATION[einsetzen] — QUANTITY_OR_STAGE[Sollmaß] — PROCESS_OR_STATE[kurz · Teil]	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — bereitstellen Bereitung — davon — Anteil — Aufnahme — Lauf — danach Teil weiter — einsetzen — Sollmaß — kurz Teil.
H1-S002	H1	f10r	M04_ORDER_CONTINUATION	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPERATION>LINK_OR_ORDER>LINK_OR_ORDER>STATE	weiterbearbeiten | danach · weiter | weiter | bereit	OPERATION[weiterbearbeiten] — LINK_OR_ORDER[danach · weiter] — LINK_OR_ORDER[weiter] — STATE[bereit]	mit der aktiven Bereitung weiter: weiterbearbeiten — danach weiter — weiter — bereit.
H2-S001	H2	f10r	M07_PAIRED_MEASURE_FRAME	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OBJECT>STATE>OBJECT>PROCESS_OR_STATE>PROCESS_OR_STATE>ANAPHOR>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR	Posten · Auszug · Bereitung | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	OBJECT[Posten · Auszug · Bereitung] — STATE[bereit] — OBJECT[Ansatz] — PROCESS_OR_STATE[bereitstellen · Sollmaß] — PROCESS_OR_STATE[bereitstellen · weiter · Posten] — ANAPHOR[dies] — ANAPHOR[dies] — QUANTITY_OR_STAGE[Sollmaß] — ANAPHOR[dies]	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Posten Auszug Bereitung — bereit — Ansatz — bereitstellen Sollmaß — bereitstellen weiter Posten — dies — dies — Sollmaß — dies.
H2-S002	H2	f10r	M08_CARRIED_PREPARATION_FRAME	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ORDERED_OBJECT>OBJECT>LINK_OR_ORDER>LINK_OR_ORDER>ANAPHOR>LINK_OR_ORDER>QUANTITY_OR_STAGE>ANAPHOR	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	ORDERED_OBJECT[Folgeansatz] — OBJECT[Ansatz] — LINK_OR_ORDER[danach · weiter] — LINK_OR_ORDER[weiter] — ANAPHOR[derselbe Ansatz] — LINK_OR_ORDER[weiter] — QUANTITY_OR_STAGE[Sollmaß] — ANAPHOR[davon]	mit demselben Ansatz und Sollmaß weiter: Folgeansatz — Ansatz — danach weiter — weiter — derselbe Ansatz — weiter — Sollmaß — davon.
H2-S003	H2	f10r	M01_MATERIAL_PREPARATION	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OBJECT>OBJECT>OBJECT>ANAPHOR>QUANTITY_OR_STAGE>ANAPHOR>OBJECT	Posten · bearbeiten · Bereitung | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabe · Sollmaß	OBJECT[Posten · bearbeiten · Bereitung] — OBJECT[Ansatz] — OBJECT[Ansatz] — ANAPHOR[dies] — QUANTITY_OR_STAGE[Arbeitsstufe] — ANAPHOR[dies] — OBJECT[Zugabe · Sollmaß]	aus demselben Ansatz weiter: Posten bearbeiten Bereitung — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabe Sollmaß.
H3-S001	H3	f11r	M06_FILTER_CLEAR_PRODUCT	RECORD_START	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	OBJECT>OBJECT>PATH_OPERATION>PROCESS_OR_STATE>PATH_OPERATION>OBJECT>OBJECT	Zugabe · abführen | Zugabe · Ziel | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zugabe; schließen	OBJECT[Zugabe · abführen] — OBJECT[Zugabe · Ziel] — PATH_OPERATION[auswringen · Posten] — PROCESS_OR_STATE[halten · Sollmaß] — PATH_OPERATION[nachseihen · Posten] — OBJECT[Klarauszug] — OBJECT[Zugabe; schließen]	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Zugabe abführen — Zugabe Ziel — auswringen Posten — halten Sollmaß — nachseihen Posten — Klarauszug — Zugabe; Schritt schließen.
H3-S002	H3	f11r	M01_MATERIAL_PREPARATION	FRESH_AFTER_CLOSE	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	OBJECT	Zugabe · Posten · Teil	OBJECT[Zugabe · Posten · Teil]	Neuer Schritt: Zugabe Posten Teil.
H3-S003	H3	f11r	M02_SOURCE_SHARE_MEASURE	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	ANAPHOR>ANAPHOR>OPERATION>ANAPHOR>QUANTITY_OR_STAGE	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	ANAPHOR[vom vorigen] — ANAPHOR[dies] — OPERATION[bearbeiten · Posten] — ANAPHOR[dies] — QUANTITY_OR_STAGE[Sollmaß]	mit diesem Materialanteil weiter: vom vorigen — dies — bearbeiten Posten — dies — Sollmaß.
H3-S004	H3	f11r	M04_ORDER_CONTINUATION	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LINK_OR_ORDER>LINK_OR_ORDER>STATE>ANAPHOR	danach · Posten | einsetzen · weiter | bereit | dies	LINK_OR_ORDER[danach · Posten] — LINK_OR_ORDER[einsetzen · weiter] — STATE[bereit] — ANAPHOR[dies]	mit diesem Posten auf Sollmaß weiter: danach Posten — einsetzen weiter — bereit — dies.
H4-S001	H4	f55v	M05_STATE_CLOSE	RECORD_START	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	OPERATION>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>PROCESS_OR_STATE	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	OPERATION[bemessen] — QUANTITY_OR_STAGE[Sollmaß] — QUANTITY_OR_STAGE[Posten · Anteil] — QUANTITY_OR_STAGE[Posten · Anteil] — PROCESS_OR_STATE[kühlen]	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — Posten Anteil — Posten Anteil — kühlen.
H4-S002	H4	f55v	M09_APPLICATION_FASTEN	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	QUANTITY_OR_STAGE>OPERATION>OPERATION	Sollmaß | überführen | Ziel · verwahren	QUANTITY_OR_STAGE[Sollmaß] — OPERATION[überführen] — OPERATION[Ziel · verwahren]	Neuer Schritt: Sollmaß — überführen — Ziel verwahren.
H4-S003	H4	f55v	M01_MATERIAL_PREPARATION	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	QUANTITY_OR_STAGE>OBJECT>OPERATION>STATE_CLOSE	Posten · Sollmaß | Auszug · Quelle | länger bearbeiten | fertig	QUANTITY_OR_STAGE[Posten · Sollmaß] — OBJECT[Auszug · Quelle] — OPERATION[länger bearbeiten] — STATE_CLOSE[fertig]	Neuer Schritt: Posten Sollmaß — Auszug Quelle — länger bearbeiten — fertig.
H4-S004	H4	f55v	M01_MATERIAL_PREPARATION	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	QUANTITY_OR_STAGE>OPERATION>PROCESS_OR_STATE>OBJECT>ANAPHOR>OBJECT	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Ansatz | dies | Bereitung · Anteil	QUANTITY_OR_STAGE[Sollmaß] — OPERATION[dorthin einsetzen] — PROCESS_OR_STATE[weiter · bereitstellen · Posten] — OBJECT[Ansatz] — ANAPHOR[dies] — OBJECT[Bereitung · Anteil]	Neuer Schritt: Sollmaß — dorthin einsetzen — weiter bereitstellen Posten — Ansatz — dies — Bereitung Anteil.
H5-S001	H5	f56r	M01_MATERIAL_PREPARATION	RECORD_START	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	OBJECT>OBJECT>OBJECT>QUANTITY_OR_STAGE>OBJECT>LINK_OR_ORDER>ORDERED_OBJECT>OPERATION>ANAPHOR	Zugabe · Bereitung | weitere Zutat | Zugabe · Ziel · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | Folgeansatz | einsetzen | dorthin	OBJECT[Zugabe · Bereitung] — OBJECT[weitere Zutat] — OBJECT[Zugabe · Ziel · Posten] — QUANTITY_OR_STAGE[Sollmaß] — OBJECT[weitere Zutat] — LINK_OR_ORDER[bearbeiten · weiter] — ORDERED_OBJECT[Folgeansatz] — OPERATION[einsetzen] — ANAPHOR[dorthin]	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabe Bereitung — weitere Zutat — Zugabe Ziel Posten — Sollmaß — weitere Zutat — bearbeiten weiter — Folgeansatz — einsetzen — dorthin.
