statement_id	page	record	o_component_tokens	arbeitsgang_tokens	arbeitsgang_present	surface_sequence	working_reading_de
H1-S001	f10r	H1	1	1	YES	dchey cthoor char chty os chair otytchol oky daiin etyd	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
H2-S001	f10r	H2	1	0	NO	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S003	f10r	H2	2	2	YES	oykchor shor chor chy kaiiin dy chodaiin	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
H3-S001	f11r	H3	2	0	NO	tshol schoal cfhy shfydaiin cphy shey tchody	Bei der dicht bluehenden Kronenpflanze: Den Posten an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	1	YES	shoyty	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
H4-S001	f55v	H4	1	1	YES	qokaiin chaiin ykain ykan ody	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
H4-S003	f55v	H4	1	1	YES	ykaiin cheoar cheeky oldy	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
H5-S002	f56r	H5	1	1	YES	schol choy choky cheeckhody	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
H5-S004	f56r	H5	1	1	YES	okchy chokcheo kchal	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.
H5-S005	f56r	H5	1	1	YES	sho chokchy kchoar sotodan	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
B1-S012	f81v	B1	1	0	NO	lsho qokey lshedy	Am gemeinsamen zweireihigen Becken: Einen Spuelvorgang ausfuehren, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.
B1-S018	f81v	B1	1	1	YES	ly dsheol oiiin olkeedy	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.
B2-S005	f82r	B2	1	1	YES	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
B2-S022	f82r	B2	1	1	YES	lochedy	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.
B3-S016	f83r	B3	1	1	YES	lo qokchedy	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.
B3-S034	f83r	B3	1	1	YES	soiiin checthy chety otaiin olsaly shedy	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
B4-S014	f83r	B4	1	1	YES	or chey qockhey dairydy	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.
