recipe_id	position	identity	surface	old_default_de	new_whole_word_de	master_unit_id	unit	owner_de
FGP01	1	PROC104	qokaly	ANSETZEN · ZIELSTELLE · POSTEN	POSTEN AN DER ZIELSTELLE ANSETZEN	MU033	B2-S005	oberes Beckenpaar mit Zylinder
FGP01	2	PROC105	solkaiin	SAMMELN · EIN KLEINER SCHOEPFBECHER	NACH SOLLMASS SAMMELN	MU033	B2-S005	oberes Beckenpaar mit Zylinder
FGP01	3	PROC106	octheol	ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER	KURZ BIS BEREIT WEITERARBEITEN	MU033	B2-S005	oberes Beckenpaar mit Zylinder
FGP01	4	PROC107	chkeey	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	LANG ERWAERMEN	MU033	B2-S005	oberes Beckenpaar mit Zylinder
FGP02	1	PROC051	chochor	ZUTAT · ENTNEHMEN · ANSATZ	PFLANZENZUTAT FUER DEN ANSATZ ENTNEHMEN	MU115	H5-S001	Bildprodukt D.P1
FGP02	2	PROC053	chodaly	ZUTAT · ZIELSTELLE · POSTEN	ZUTAT ZUR ZIELSTELLE BRINGEN	MU115	H5-S001	Bildprodukt D.P1
FGP02	3	PROC054	kchol	ZUGEBEN · WEITER	WEITER ZUGEBEN	MU115	H5-S001	Bildprodukt D.P1
FGP02	4	PROC020	otchor	DANACH · ENTNEHMEN · ANSATZ	DANACH VOM ANSATZ ENTNEHMEN	MU115	H5-S001	Bildprodukt D.P1
FGP03	1	PROC170	solkeey	SAMMELN · DREI KURZE ARBEITSGAENGE · POSTEN	LANG SAMMELN	MU117	B6-S001	rechter S-Lauf im B6-Nachtrag
FGP03	2	PROC171	qekey	EIN KURZER ARBEITSGANG · ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN	KURZ ZUGEBEN	MU117	B6-S001	rechter S-Lauf im B6-Nachtrag
FGP03	3	PROC172	raly	KUEHLEN · ZIELSTELLE · POSTEN	AN DER ZIELSTELLE KUEHLEN	MU117	B6-S001	rechter S-Lauf im B6-Nachtrag
FGP03	4	PROC173	ldalor	LEITEN · ZIELSTELLE · ANSATZ	ANSATZ ZUR ZIELSTELLE LEITEN	MU117	B6-S001	rechter S-Lauf im B6-Nachtrag
