order_id	master_unit_id	unit	page	owner_de	surface_sequence	identity_sequence	new_whole_words_de	complete_unit_reading_de
WH02	MU035	B2-S007	f82r	mittleres linkes Handgerät mit Inline-Knoten	dshedy	PROC111	KURZ HALTEN UND SCHLIESSEN	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
WH02	MU037	B2-S009	f82r	mittleres linkes Handgerät mit Inline-Knoten	solshedy	PROC114	KURZ WEITERHALTEN UND SCHLIESSEN	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
WH02	MU042	B2-S014	f82r	unteres grünes Mehrfigurenbecken	lar	PROC121	AUS DER QUELLE LEITEN	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.
WH02	MU045	B2-S017	f82r	kleine Randstationen des unteren Beckens	rsheal daldy	PROC126 PROC127	AN DER ZIELSTELLE KURZ KUEHL HALTEN | AN DER ZIELSTELLE SCHLIESSEN	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.
WH02	MU047	B2-S019	f82r	kleine Randstationen des unteren Beckens	rshedy	PROC128	KUEHL RUHEN LASSEN UND SCHLIESSEN	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.
WH02	MU050	B2-S022	f82r	kleine Randstationen des unteren Beckens	lochedy	PROC130	DURCHLEITEN UND SCHLIESSEN	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.
WH03	MU067	B3-S014	f83r	untere Randfigur im korbartigen Gefäß	okair sheedy	PROC138 PROC139	WASSER ANSETZEN | LAENGER HALTEN UND SCHLIESSEN	Am unteren Korbgefaess: Das laufende Wasser ansetzen; dann laenger halten; den Schritt schliessen.
WH03	MU072	B3-S019	f83r	unverbundener Zwischenbereich	qokshedy	PROC141	KURZ ANSETZEN UND HALTEN	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.
WH04	MU096	B4-S004	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	qokylddy	PROC155	ANSETZEN UND FESTBINDEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.
WH05	MU111	B5-S001	f83r	linke Fransenstation im B5-Nachtrag	otchdy	PROC166	DANACH UMSETZEN UND SCHLIESSEN	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
