identity	surface	old_default_de	new_whole_word_de	station_de	order_id	unit	role	teaching_rule_de
PROC111	dshedy	HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	KURZ HALTEN UND SCHLIESSEN	linke Mittelstation	WH02	B2-S007	HOLD_OR_CLOSE	Wenn `dshedy` als alleinige lokale Karte in B2-S007 steht, lies KURZ HALTEN UND SCHLIESSEN.
PROC114	solshedy	WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	KURZ WEITERHALTEN UND SCHLIESSEN	linke Mittelstation	WH02	B2-S009	HOLD_OR_CLOSE	Wenn `solshedy` als alleinige lokale Karte in B2-S009 steht, lies KURZ WEITERHALTEN UND SCHLIESSEN.
PROC121	lar	LEITEN · QUELLE	AUS DER QUELLE LEITEN	unteres grünes Becken	WH02	B2-S014	TRANSFER	Wenn `lar` als alleinige lokale Karte in B2-S014 steht, lies AUS DER QUELLE LEITEN.
PROC126	rsheal	KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE	AN DER ZIELSTELLE KURZ KUEHL HALTEN	Randstationen des unteren Beckens	WH02	B2-S017	HOLD_OR_CLOSE	Wenn `rsheal` als alleinige lokale Karte in B2-S017 steht, lies AN DER ZIELSTELLE KURZ KUEHL HALTEN.
PROC127	daldy	ZIELSTELLE · SCHLUSS	AN DER ZIELSTELLE SCHLIESSEN	Randstationen des unteren Beckens	WH02	B2-S017	HOLD_OR_CLOSE	Wenn `daldy` als alleinige lokale Karte in B2-S017 steht, lies AN DER ZIELSTELLE SCHLIESSEN.
PROC128	rshedy	KUEHLEN · STEHENLASSEN · SCHLUSS	KUEHL RUHEN LASSEN UND SCHLIESSEN	Randstationen des unteren Beckens	WH02	B2-S019	HOLD_OR_CLOSE	Wenn `rshedy` als alleinige lokale Karte in B2-S019 steht, lies KUEHL RUHEN LASSEN UND SCHLIESSEN.
PROC130	lochedy	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	DURCHLEITEN UND SCHLIESSEN	Randstationen des unteren Beckens	WH02	B2-S022	TRANSFER	Wenn `lochedy` als alleinige lokale Karte in B2-S022 steht, lies DURCHLEITEN UND SCHLIESSEN.
PROC138	okair	ANSETZEN · WASSER	WASSER ANSETZEN	unteres Korbgefäß	WH03	B3-S014	TRANSFER	Wenn `okair` als alleinige lokale Karte in B3-S014 steht, lies WASSER ANSETZEN.
PROC139	sheedy	HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	LAENGER HALTEN UND SCHLIESSEN	unteres Korbgefäß	WH03	B3-S014	HOLD_OR_CLOSE	Wenn `sheedy` als alleinige lokale Karte in B3-S014 steht, lies LAENGER HALTEN UND SCHLIESSEN.
PROC141	qokshedy	ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	KURZ ANSETZEN UND HALTEN	unverbundener Zwischenabschnitt	WH03	B3-S019	HOLD_OR_CLOSE	Wenn `qokshedy` als alleinige lokale Karte in B3-S019 steht, lies KURZ ANSETZEN UND HALTEN.
PROC155	qokylddy	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	ANSETZEN UND FESTBINDEN	verbundenes Hauptpaar	WH04	B4-S004	HOLD_OR_CLOSE	Wenn `qokylddy` als alleinige lokale Karte in B4-S004 steht, lies ANSETZEN UND FESTBINDEN.
PROC166	otchdy	DANACH · UMSETZEN · SCHLUSS	DANACH UMSETZEN UND SCHLIESSEN	linke offene Nebenstation	WH05	B5-S001	TRANSFER	Wenn `otchdy` als alleinige lokale Karte in B5-S001 steht, lies DANACH UMSETZEN UND SCHLIESSEN.
