reading_unit_id	page	source_module	visible_owner	member_group_count	visible_surface_sequence	local_job_id	workshop_instruction_de	apprentice_action_de
f67r2.1	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_01	3	ykshy s aram	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.2	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_02	3	ykecho ols eesydy	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.3	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_03	3	ey shs okar	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.4	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_04	2	shekchy sykos	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.5	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_05	2	ykeody okchy	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.6	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_06	1	dchetay	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.7	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_07	3	ykchy kchey ykchys	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.8	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_08	1	chkchdar	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.9	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_09	2	ykar ykaly	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.10	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_10	3	lkshy kchy okar	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.11	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_11	3	chky chykchs chy	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
f67r2.12	f67r2	M67_RIGHT_SECTORS	A1_RIGHT_SECTOR_SLOT_12	2	ykees ykchos	F67_PREPARATION_CONDITION	Bedingungsplatz fuer Sammeln oder Zubereiten: Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.	Zeige den Bildort kopiere alle Gruppen und lies nur den lokalen Exemplareintrag fuer diesen Job.
