sample_id	section	model	inserted_term_de	supplied_by_image	supplied_by_card	reason_needed
X01	HERBAL	MEDICAL	Wurzel	NO	NO	make the purpose-specific fluent expansion concrete
X01	HERBAL	MEDICAL	Heiltrank	NO	NO	make the purpose-specific fluent expansion concrete
X01	HERBAL	TECHNICAL	Pflanzenrohstoff	NO	NO	make the purpose-specific fluent expansion concrete
X01	HERBAL	TECHNICAL	Waschbad	NO	NO	make the purpose-specific fluent expansion concrete
X02	HERBAL	MEDICAL	Saft	NO	NO	make the purpose-specific fluent expansion concrete
X02	HERBAL	MEDICAL	Tuch	NO	NO	make the purpose-specific fluent expansion concrete
X02	HERBAL	TECHNICAL	Pressgut	NO	NO	make the purpose-specific fluent expansion concrete
X02	HERBAL	TECHNICAL	Filtertuch	NO	NO	make the purpose-specific fluent expansion concrete
X03	HERBAL	MEDICAL	Salbe	NO	NO	make the purpose-specific fluent expansion concrete
X03	HERBAL	MEDICAL	Hautstelle	NO	NO	make the purpose-specific fluent expansion concrete
X03	HERBAL	TECHNICAL	Beize	NO	NO	make the purpose-specific fluent expansion concrete
X03	HERBAL	TECHNICAL	Werkstück	NO	NO	make the purpose-specific fluent expansion concrete
X04	HERBAL	MEDICAL	Dosis	NO	NO	make the purpose-specific fluent expansion concrete
X04	HERBAL	MEDICAL	Patient	NO	NO	make the purpose-specific fluent expansion concrete
X04	HERBAL	TECHNICAL	Materialcharge	NO	NO	make the purpose-specific fluent expansion concrete
X04	HERBAL	TECHNICAL	Vorratsgefäß	NO	NO	make the purpose-specific fluent expansion concrete
X05	BIOLOGICAL	MEDICAL	Badender	NO	NO	make the purpose-specific fluent expansion concrete
X05	BIOLOGICAL	MEDICAL	Körperstelle	NO	NO	make the purpose-specific fluent expansion concrete
X05	BIOLOGICAL	TECHNICAL	Beckencharge	NO	NO	make the purpose-specific fluent expansion concrete
X06	BIOLOGICAL	MEDICAL	Badewasser	NO	NO	make the purpose-specific fluent expansion concrete
X06	BIOLOGICAL	MEDICAL	Patient	NO	NO	make the purpose-specific fluent expansion concrete
X06	BIOLOGICAL	TECHNICAL	Beckenwasser	NO	NO	make the purpose-specific fluent expansion concrete
X07	BIOLOGICAL	MEDICAL	Abguss	NO	NO	make the purpose-specific fluent expansion concrete
X07	BIOLOGICAL	MEDICAL	Körperteil	NO	NO	make the purpose-specific fluent expansion concrete
X07	BIOLOGICAL	TECHNICAL	Auffanggefäß	NO	NO	make the purpose-specific fluent expansion concrete
X08	BIOLOGICAL	MEDICAL	Heilbad	NO	NO	make the purpose-specific fluent expansion concrete
X08	BIOLOGICAL	MEDICAL	Badender	NO	NO	make the purpose-specific fluent expansion concrete
X08	BIOLOGICAL	TECHNICAL	Arbeitsflüssigkeit	NO	NO	make the purpose-specific fluent expansion concrete
X08	BIOLOGICAL	TECHNICAL	Leitung	NO	NO	make the purpose-specific fluent expansion concrete
X09	BIOLOGICAL	MEDICAL	Auflage	NO	NO	make the purpose-specific fluent expansion concrete
X09	BIOLOGICAL	TECHNICAL	Filtereinsatz	NO	NO	make the purpose-specific fluent expansion concrete
X09	BIOLOGICAL	TECHNICAL	Halterung	NO	NO	make the purpose-specific fluent expansion concrete
X10	BIOLOGICAL	MEDICAL	Behandlungsstufe	NO	NO	make the purpose-specific fluent expansion concrete
X10	BIOLOGICAL	MEDICAL	Patient	NO	NO	make the purpose-specific fluent expansion concrete
X10	BIOLOGICAL	TECHNICAL	Anlagenstufe	NO	NO	make the purpose-specific fluent expansion concrete
X11	BIOLOGICAL	MEDICAL	Dosis	NO	NO	make the purpose-specific fluent expansion concrete
X11	BIOLOGICAL	MEDICAL	Anwendungsstelle	NO	NO	make the purpose-specific fluent expansion concrete
X11	BIOLOGICAL	TECHNICAL	Charge	NO	NO	make the purpose-specific fluent expansion concrete
X12	BIOLOGICAL	MEDICAL	Badewasser	NO	NO	make the purpose-specific fluent expansion concrete
X12	BIOLOGICAL	MEDICAL	Patient	NO	NO	make the purpose-specific fluent expansion concrete
X12	BIOLOGICAL	TECHNICAL	Laufwasser	NO	NO	make the purpose-specific fluent expansion concrete
X12	BIOLOGICAL	TECHNICAL	Sammelgefäß	NO	NO	make the purpose-specific fluent expansion concrete
