sample_id	owner	section	silent_owner_de	written_surface_sequence	literal_card_readback_de	medical_expansion_de	medical_silent_terms	medical_insertion_cost	technical_expansion_de	technical_silent_terms	technical_insertion_cost	local_winner	card_meanings_changed
X01	H1	HERBAL	abgebildete Pflanze, erster Abschnitt	aiin dar okey ol	Maß; von dort; ansetzen · kurz · dies; fortsetzen	Von der sichtbaren Pflanze das vorgeschriebene Maß für den Heiltrank nehmen, kurz ansetzen und weiterverarbeiten.	Wurzel|Heiltrank	2	Vom sichtbaren Pflanzenrohstoff die abgemessene Menge für das Waschbad nehmen, kurz ansetzen und weiterführen.	Pflanzenrohstoff|Waschbad	2	TIE	NO
X02	H3	HERBAL	abgebildete Kronenpflanze	cfhy shey cheoar	auswringen · dies; halten · länger · dies; abziehen · kurz · Arbeitsgang · von dort	Den Saft der sichtbaren Pflanze durch ein Tuch auswringen, länger halten und den kurzen Auszug von dort abnehmen.	Saft|Tuch	2	Das Pressgut der sichtbaren Pflanze am Filtertuch auswringen, länger halten und den kurzen Auszug abnehmen.	Pressgut|Filtertuch	2	TIE	NO
X03	H4	HERBAL	abgebildete breitblättrige Pflanze	dain chokcheo al sheedy	Portion; ansetzen · abziehen · kurz · Arbeitsgang; Zielstelle; halten · länger · Schluss	Eine Portion Salbe ansetzen, zur Hautstelle geben, länger halten und den Schritt schließen.	Salbe|Hautstelle	2	Eine Portion Beize ansetzen, zum Werkstück geben, länger halten und den Schritt schließen.	Beize|Werkstück	2	TIE	NO
X04	H5	HERBAL	abgebildete mehrköpfige Pflanze	otain okeeey talam	danach · Portion; ansetzen · vollständig · dies; verwahren	Danach eine Dosis vollständig für den Patienten ansetzen und verwahren.	Dosis|Patient	2	Danach eine Materialcharge vollständig ansetzen und im Vorratsgefäß verwahren.	Materialcharge|Vorratsgefäß	2	TIE	NO
X05	B1	BIOLOGICAL	gemeinsame Figuren-/Beckenstation	okain al lcheckhedy	ansetzen · Portion; Zielstelle; führen · Durchlass · kurz · Schluss	Eine Portion für den Badenden ansetzen, zur Körperstelle führen, kurz durchlassen und schließen.	Badender|Körperstelle	2	Eine Beckencharge ansetzen, zur sichtbaren Zielstation führen, kurz durchlassen und schließen.	Beckencharge	1	TECHNICAL	NO
X06	B1	BIOLOGICAL	gemeinsame Figuren-/Beckenstation	olaiin chekdy	fortsetzen · Maß; wärmen · kurz · Schluss	Mit dem Badewasser am Patienten fortsetzen, kurz wärmen und schließen.	Badewasser|Patient	2	Mit dem Beckenwasser fortsetzen, kurz wärmen und schließen.	Beckenwasser	1	TECHNICAL	NO
X07	B2	BIOLOGICAL	lokale f82r-Station	otey solkedy	danach · kurz · dies; auffangen · kurz · Schluss	Danach den kurzen Abguss vom Körperteil nehmen, kurz auffangen und schließen.	Abguss|Körperteil	2	Danach den Posten kurz in das Auffanggefäß führen und schließen.	Auffanggefäß	1	TECHNICAL	NO
X08	B2	BIOLOGICAL	lokale f82r-Station	otair sheeedy	danach · Lauf; halten · vollständig · Schluss	Danach das Heilbad durch den sichtbaren Lauf geben, beim Badenden vollständig halten und schließen.	Heilbad|Badender	2	Danach die Arbeitsflüssigkeit durch die Leitung geben, vollständig halten und schließen.	Arbeitsflüssigkeit|Leitung	2	TIE	NO
X09	B3	BIOLOGICAL	lokale f83r-Rand-/Gefäßstation	qokylddy	ansetzen · dies · befestigen · Schluss	Die Auflage an der sichtbaren Körperstation ansetzen, befestigen und schließen.	Auflage	1	Den Filtereinsatz an der sichtbaren Station ansetzen, in der Halterung befestigen und schließen.	Filtereinsatz|Halterung	2	MEDICAL	NO
X10	B4	BIOLOGICAL	lokale f83r-Hauptstation	daiiin okeey ls	zweite · Sollstufe; ansetzen · länger · dies; fortsetzen	Die zweite Behandlungsstufe für den Patienten einstellen, länger ansetzen und fortsetzen.	Behandlungsstufe|Patient	2	Die zweite Anlagenstufe einstellen, länger ansetzen und fortsetzen.	Anlagenstufe	1	TECHNICAL	NO
X11	B5	BIOLOGICAL	linker f83r-Nachtrag	os aiin olal dshedy	Arbeitsfach; Maß; fortsetzen · Zielstelle; halten · kurz · Schluss	Im Arbeitsfach eine Dosis nach Maß an der Anwendungsstelle fortsetzen, kurz halten und schließen.	Dosis|Anwendungsstelle	2	Im Arbeitsfach die Charge nach Maß an der Zielstelle fortsetzen, kurz halten und schließen.	Charge	1	TECHNICAL	NO
X12	B6	BIOLOGICAL	rechter f83r-Nachtrag	olair okeeey solkeeedy	fortsetzen · Lauf; ansetzen · vollständig · dies; auffangen · vollständig · Schluss	Das Badewasser im Lauf fortsetzen, vollständig für den Patienten ansetzen, auffangen und schließen.	Badewasser|Patient	2	Das Laufwasser fortsetzen, vollständig ansetzen, im Sammelgefäß auffangen und schließen.	Laufwasser|Sammelgefäß	2	TIE	NO
