exercise_id	register	specialist_drawer	renderer_id	workshop_hand	hand_habit	ordinary_source_instruction_de	master_card_sequence	literal_card_reading_de	visible_copy	recovered_master_sequence	roundtrip
C01	HERBAL_ARTICLE	D1_MATERIAL_PRODUCT_VESSEL	R-A	VORLAGENHAND	master head	Wurzel nehmen; davon einen Anteil bemessen.	dchey char chety okaiin	Wurzel · Posten | davon | Anteil | bemessen	dchey char chety okaiin	dchey char chety okaiin	PASS
C01	HERBAL_ARTICLE	D1_MATERIAL_PRODUCT_VESSEL	R-B	Q-EINTRITTSHAND	prefer registered q initial	Wurzel nehmen; davon einen Anteil bemessen.	dchey char chety okaiin	Wurzel · Posten | davon | Anteil | bemessen	dchey char chety qokaiin	dchey char chety okaiin	PASS
C01	HERBAL_ARTICLE	D1_MATERIAL_PRODUCT_VESSEL	R-C	S-FLUSSHAND	prefer registered sh or s initial	Wurzel nehmen; davon einen Anteil bemessen.	dchey char chety okaiin	Wurzel · Posten | davon | Anteil | bemessen	dchey sar chety okaiin	dchey char chety okaiin	PASS
C01	HERBAL_ARTICLE	D1_MATERIAL_PRODUCT_VESSEL	R-D	KURZHAND	shortest registered form	Wurzel nehmen; davon einen Anteil bemessen.	dchey char chety okaiin	Wurzel · Posten | davon | Anteil | bemessen	dchey dar chty okaiin	dchey char chety okaiin	PASS
C02	HERBAL_ARTICLE	D2_FILTER_WASH_FLOW	R-A	VORLAGENHAND	master head	Den Ansatz auswringen; den Klarauszug nehmen; einen Anteil dorthin einsetzen.	cfhy cheey chkain okal	auswringen · Posten | Klarauszug | Anteil | dorthin einsetzen	cfhy cheey chkain okal	cfhy cheey chkain okal	PASS
C02	HERBAL_ARTICLE	D2_FILTER_WASH_FLOW	R-B	Q-EINTRITTSHAND	prefer registered q initial	Den Ansatz auswringen; den Klarauszug nehmen; einen Anteil dorthin einsetzen.	cfhy cheey chkain okal	auswringen · Posten | Klarauszug | Anteil | dorthin einsetzen	cfhy cheey chkain qokal	cfhy cheey chkain okal	PASS
C02	HERBAL_ARTICLE	D2_FILTER_WASH_FLOW	R-C	S-FLUSSHAND	prefer registered sh or s initial	Den Ansatz auswringen; den Klarauszug nehmen; einen Anteil dorthin einsetzen.	cfhy cheey chkain okal	auswringen · Posten | Klarauszug | Anteil | dorthin einsetzen	cfhy shey chkain okal	cfhy cheey chkain okal	PASS
C02	HERBAL_ARTICLE	D2_FILTER_WASH_FLOW	R-D	KURZHAND	shortest registered form	Den Ansatz auswringen; den Klarauszug nehmen; einen Anteil dorthin einsetzen.	cfhy cheey chkain okal	auswringen · Posten | Klarauszug | Anteil | dorthin einsetzen	cfhy shey kain okal	cfhy cheey chkain okal	PASS
C03	BIOLOGICAL_CELL	D3_HEAT_SETTLE_STATE	R-A	VORLAGENHAND	master head	Mit demselben Ansatz weiterfahren; lange sammeln; schließen.	cheol cholor cheol olkeedy	weiter | derselbe Ansatz | weiter | lange sammeln; Schluss	cheol cholor cheol olkeedy	cheol cholor cheol olkeedy	PASS
C03	BIOLOGICAL_CELL	D3_HEAT_SETTLE_STATE	R-B	Q-EINTRITTSHAND	prefer registered q initial	Mit demselben Ansatz weiterfahren; lange sammeln; schließen.	cheol cholor cheol olkeedy	weiter | derselbe Ansatz | weiter | lange sammeln; Schluss	qol cholor qol olkeedy	cheol cholor cheol olkeedy	PASS
C03	BIOLOGICAL_CELL	D3_HEAT_SETTLE_STATE	R-C	S-FLUSSHAND	prefer registered sh or s initial	Mit demselben Ansatz weiterfahren; lange sammeln; schließen.	cheol cholor cheol olkeedy	weiter | derselbe Ansatz | weiter | lange sammeln; Schluss	sol cholor sol solkeedy	cheol cholor cheol olkeedy	PASS
C03	BIOLOGICAL_CELL	D3_HEAT_SETTLE_STATE	R-D	KURZHAND	shortest registered form	Mit demselben Ansatz weiterfahren; lange sammeln; schließen.	cheol cholor cheol olkeedy	weiter | derselbe Ansatz | weiter | lange sammeln; Schluss	ol olor ol olkeedy	cheol cholor cheol olkeedy	PASS
C04	BIOLOGICAL_CELL	D4_TRANSFER_SOURCE_TARGET	R-A	VORLAGENHAND	master head	Dies zur Zielstelle überführen und abführen; schließen.	chey chdal lchedy	dies | übertragen · Zielstelle | abführen; Schluss	chey chdal lchedy	chey chdal lchedy	PASS
C04	BIOLOGICAL_CELL	D4_TRANSFER_SOURCE_TARGET	R-B	Q-EINTRITTSHAND	prefer registered q initial	Dies zur Zielstelle überführen und abführen; schließen.	chey chdal lchedy	dies | übertragen · Zielstelle | abführen; Schluss	chey chdal lchedy	chey chdal lchedy	PASS
C04	BIOLOGICAL_CELL	D4_TRANSFER_SOURCE_TARGET	R-C	S-FLUSSHAND	prefer registered sh or s initial	Dies zur Zielstelle überführen und abführen; schließen.	chey chdal lchedy	dies | übertragen · Zielstelle | abführen; Schluss	shy chdal lchedy	chey chdal lchedy	PASS
C04	BIOLOGICAL_CELL	D4_TRANSFER_SOURCE_TARGET	R-D	KURZHAND	shortest registered form	Dies zur Zielstelle überführen und abführen; schließen.	chey chdal lchedy	dies | übertragen · Zielstelle | abführen; Schluss	y chdal lchedy	chey chdal lchedy	PASS
C05	BOTH	D5_QUANTITY_PART_STAGE	R-A	VORLAGENHAND	master head	Zwei Posten unter dasselbe Sollmaß stellen; die Arbeitsstufe wählen.	chey aiin chey oiiin	dies | Sollmaß | dies | Arbeitsstufe	chey aiin chey oiiin	chey aiin chey oiiin	PASS
