exercise_id	renderer_id	token_position	source_master_card	selected_surface	recovered_master_card	spoken_value_de	roundtrip
C01	R-A	1	dchey	dchey	dchey	Wurzel · Posten	PASS
C01	R-A	2	char	char	char	davon	PASS
C01	R-A	3	chety	chety	chety	Anteil	PASS
C01	R-A	4	okaiin	okaiin	okaiin	bemessen	PASS
C01	R-B	1	dchey	dchey	dchey	Wurzel · Posten	PASS
C01	R-B	2	char	char	char	davon	PASS
C01	R-B	3	chety	chety	chety	Anteil	PASS
C01	R-B	4	okaiin	qokaiin	okaiin	bemessen	PASS
C01	R-C	1	dchey	dchey	dchey	Wurzel · Posten	PASS
C01	R-C	2	char	sar	char	davon	PASS
C01	R-C	3	chety	chety	chety	Anteil	PASS
C01	R-C	4	okaiin	okaiin	okaiin	bemessen	PASS
C01	R-D	1	dchey	dchey	dchey	Wurzel · Posten	PASS
C01	R-D	2	char	dar	char	davon	PASS
C01	R-D	3	chety	chty	chety	Anteil	PASS
C01	R-D	4	okaiin	okaiin	okaiin	bemessen	PASS
C02	R-A	1	cfhy	cfhy	cfhy	auswringen · Posten	PASS
C02	R-A	2	cheey	cheey	cheey	Klarauszug	PASS
C02	R-A	3	chkain	chkain	chkain	Anteil	PASS
C02	R-A	4	okal	okal	okal	dorthin einsetzen	PASS
C02	R-B	1	cfhy	cfhy	cfhy	auswringen · Posten	PASS
C02	R-B	2	cheey	cheey	cheey	Klarauszug	PASS
C02	R-B	3	chkain	chkain	chkain	Anteil	PASS
C02	R-B	4	okal	qokal	okal	dorthin einsetzen	PASS
C02	R-C	1	cfhy	cfhy	cfhy	auswringen · Posten	PASS
C02	R-C	2	cheey	shey	cheey	Klarauszug	PASS
C02	R-C	3	chkain	chkain	chkain	Anteil	PASS
C02	R-C	4	okal	okal	okal	dorthin einsetzen	PASS
C02	R-D	1	cfhy	cfhy	cfhy	auswringen · Posten	PASS
C02	R-D	2	cheey	shey	cheey	Klarauszug	PASS
C02	R-D	3	chkain	kain	chkain	Anteil	PASS
C02	R-D	4	okal	okal	okal	dorthin einsetzen	PASS
C03	R-A	1	cheol	cheol	cheol	weiter	PASS
C03	R-A	2	cholor	cholor	cholor	derselbe Ansatz	PASS
C03	R-A	3	cheol	cheol	cheol	weiter	PASS
C03	R-A	4	olkeedy	olkeedy	olkeedy	lange sammeln; Schluss	PASS
C03	R-B	1	cheol	qol	cheol	weiter	PASS
C03	R-B	2	cholor	cholor	cholor	derselbe Ansatz	PASS
C03	R-B	3	cheol	qol	cheol	weiter	PASS
C03	R-B	4	olkeedy	olkeedy	olkeedy	lange sammeln; Schluss	PASS
C03	R-C	1	cheol	sol	cheol	weiter	PASS
C03	R-C	2	cholor	cholor	cholor	derselbe Ansatz	PASS
C03	R-C	3	cheol	sol	cheol	weiter	PASS
C03	R-C	4	olkeedy	solkeedy	olkeedy	lange sammeln; Schluss	PASS
C03	R-D	1	cheol	ol	cheol	weiter	PASS
C03	R-D	2	cholor	olor	cholor	derselbe Ansatz	PASS
C03	R-D	3	cheol	ol	cheol	weiter	PASS
C03	R-D	4	olkeedy	olkeedy	olkeedy	lange sammeln; Schluss	PASS
C04	R-A	1	chey	chey	chey	dies	PASS
C04	R-A	2	chdal	chdal	chdal	übertragen · Zielstelle	PASS
