unified_serial	domain	page	unit_id	local_address	visible_identity	owner_or_namespace	construction_or_event	short_form_reading	concrete_unit_reading_de	content_precision
1	HERBAL_RECIPE	f10r	H1	H1-S001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
2	HERBAL_RECIPE	f10r	H1	H1-S001	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
3	HERBAL_RECIPE	f10r	H1	H1-S001	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
4	HERBAL_RECIPE	f10r	H1	H1-S001	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
5	HERBAL_RECIPE	f10r	H1	H1-S001	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
6	HERBAL_RECIPE	f10r	H1	H1-S001	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
7	HERBAL_RECIPE	f10r	H1	H1-S001	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
8	HERBAL_RECIPE	f10r	H1	H1-S001	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
9	HERBAL_RECIPE	f10r	H1	H1-S001	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
10	HERBAL_RECIPE	f10r	H1	H1-S001	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
11	HERBAL_RECIPE	f10r	H1	H1-S002	qokchy	H1	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
12	HERBAL_RECIPE	f10r	H1	H1-S002	qotchol	H1	C02	Danach oder in demselben Gang: danach weiterfuehren.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
13	HERBAL_RECIPE	f10r	H1	H1-S002	chol	H1	C02	Danach oder in demselben Gang: fortsetzen.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
14	HERBAL_RECIPE	f10r	H1	H1-S002	cthy	H1	C07	Führe es mit diesem laufenden Posten aus: bereit.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
15	HERBAL_RECIPE	f10r	H2	H2-S001	ycheor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
16	HERBAL_RECIPE	f10r	H2	H2-S001	cthy	H2	C07	Führe es mit diesem laufenden Posten aus: bereit.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
