amber_id	surface	event_id	physical_page	statement_id	register	primary_locked_recipe	atom_count	all_atoms_locked	adjacent_pair_count	pairs_supported_outside_surface	pairs_supported_in_old22	pairs_supported_on_two_pages	minimum_other_page_support	minimum_other_surface_support	trigram_count	trigrams_supported_outside_surface	trigrams_supported_in_old22	longest_supported_span_max4	longest_old22_supported_span_max4	unsupported_adjacent_pairs	risk_flags	package_support_tier	locked_primary_bigram_rank_among_candidates	candidate_recipe_count_including_primary	rivals_with_lower_descriptive_bigram_bits	promotion_status	lock_action
G405-M001	alfshed	G404-E0579	f95v	G404-S068	HERBAL	AL+LOCAL_CHAR_F+SH+E+D_ADDR	5	YES	4	3	3	3	0	0	3	1	1	3	3	AL+LOCAL_CHAR_F	LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	6	8	5	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M002	arsa	G404-E0253	f24v	G404-S010	HERBAL	AR+S+A_ADDR	3	YES	2	1	1	1	0	0	1	0	0	2	2	AR+S	LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	5	7	4	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M003	chdyty	G404-E0524	f95v	G404-S063	HERBAL	CHD+Y+T+Y	4	YES	3	3	3	3	15	30	2	1	1	3	3	NONE	REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	3	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M004	cheeodam	G404-E0291	f24v	G404-S010	HERBAL	CH+EE+O+D_ADDR+AM_ADDR	5	YES	4	4	4	3	1	1	3	3	3	4	4	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M005	chetyry	G404-E0383	f81r	G404-S026	BIOLOGICAL	CH+E+T+Y+R+Y	6	YES	5	5	5	4	1	1	4	2	2	4	4	NONE	LONG_CHAIN|REPEATED_ATOM|R_INTERNAL	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M006	ckhyds	G404-E0144	f1r	G404-S005	SOURCE_SECTION_T	CH+K+Y+D_ADDR+S	5	YES	4	4	4	3	1	1	3	1	1	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	4	4	3	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M007	cphodaiils	G404-E0092	f1r	G404-S005	SOURCE_SECTION_T	CH+P+O+D_ADDR+AIIN+L+S	7	YES	6	5	5	4	0	0	5	3	2	4	3	AIIN+L	LOCAL_SIGN|LONG_CHAIN	AMBER__PARTIAL_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M008	cthres	G404-E0007	f1r	G404-S001	SOURCE_SECTION_T	CH+T+R+E+S	5	YES	4	2	2	2	0	0	3	0	0	2	2	T+R|R+E	R_INTERNAL	AMBER__ISOLATED_BOUNDARY	8	8	7	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M009	daid	G404-E0256	f24v	G404-S010	HERBAL	AIN+D_ADDR	2	YES	1	0	0	0	0	0	0	0	0	1	1	AIN+D_ADDR	LOCAL_SIGN	AMBER__ISOLATED_BOUNDARY	1	3	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M010	daiy	G404-E0135	f1r	G404-S005	SOURCE_SECTION_T	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	4	YES	3	1	1	1	0	0	2	0	0	2	2	D_ADDR+A_ADDR|LOCAL_CHAR_I+Y	LOCAL_SIGN	AMBER__ISOLATED_BOUNDARY	5	6	4	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
