amber_id	surface	candidate_kind	recipe	one_edit_weight	atom_count	known_atom_count	adjacent_pair_count	external_pair_support_count	old22_pair_support_count	descriptive_bigram_bits	may_change_locked_recipe
G405-M001	alfshed	LOCKED_PRIMARY	AL+LOCAL_CHAR_F+SH+E+D_ADDR	0	5	5	4	3	3	24.636696	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	AL+AIIN+D_ADDR	3	3	3	2	1	1	19.484411	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	OK+EE+SH+D_ADDR	3	4	4	3	2	2	20.762102	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	AL+CHD+DY+D_ADDR	1	4	4	3	2	2	21.872440	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	AL+T+E+D_ADDR+Y+D_ADDR	1	6	6	5	5	5	29.041930	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	D_ADDR+CH+SH+E+D_ADDR	1	5	5	4	3	3	25.454395	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	OL+EEE+SH+D_ADDR	1	4	4	3	2	2	23.789661	NO
G405-M001	alfshed	ONE_EDIT_RIVAL	OL+OR+D_ADDR	1	3	3	2	1	1	19.149229	NO
G405-M002	arsa	LOCKED_PRIMARY	AR+S+A_ADDR	0	3	3	2	1	1	19.416285	NO
G405-M002	arsa	ONE_EDIT_RIVAL	AIN+A_ADDR	19	2	2	1	0	0	13.827123	NO
G405-M002	arsa	ONE_EDIT_RIVAL	AIR+A_ADDR	5	2	2	1	1	1	13.596443	NO
G405-M002	arsa	ONE_EDIT_RIVAL	AL+Y+A_ADDR	3	3	3	2	1	1	19.360136	NO
G405-M002	arsa	ONE_EDIT_RIVAL	AL+O+A_ADDR	1	3	3	2	2	2	18.296273	NO
G405-M002	arsa	ONE_EDIT_RIVAL	AM_ADDR+Y+A_ADDR	1	3	3	2	1	1	23.974938	NO
G405-M002	arsa	ONE_EDIT_RIVAL	A_ADDR+Y+A_ADDR	1	3	3	2	1	1	22.366617	NO
G405-M003	chdyty	LOCKED_PRIMARY	CHD+Y+T+Y	0	4	4	3	3	3	13.799677	NO
G405-M003	chdyty	ONE_EDIT_RIVAL	CH+OT+Y+Y	3	4	4	3	3	3	21.965544	NO
G405-M003	chdyty	ONE_EDIT_RIVAL	T+Y+Y	1	3	3	2	2	2	16.173032	NO
G405-M004	cheeodam	LOCKED_PRIMARY	CH+EE+O+D_ADDR+AM_ADDR	0	5	5	4	4	4	23.708434	NO
G405-M004	cheeodam	ONE_EDIT_RIVAL	CH+EE+O+D_ADDR+Y+M_LOCAL	1	6	6	5	4	4	28.520149	NO
G405-M005	chetyry	LOCKED_PRIMARY	CH+E+T+Y+R+Y	0	6	6	5	5	5	28.194903	NO
G405-M005	chetyry	ONE_EDIT_RIVAL	CH+E+T+E+R+Y	2	6	6	5	5	5	28.079087	NO
G405-M006	ckhyds	LOCKED_PRIMARY	CH+K+Y+D_ADDR+S	0	5	5	4	4	4	23.036096	NO
G405-M006	ckhyds	ONE_EDIT_RIVAL	CH+K+OL+S	3	4	4	3	3	3	17.154062	NO
G405-M006	ckhyds	ONE_EDIT_RIVAL	CH+K+E+Y+S	2	5	5	4	4	3	20.221454	NO
G405-M006	ckhyds	ONE_EDIT_RIVAL	CH+K+AL+S	1	4	4	3	3	3	16.493443	NO
G405-M007	cphodaiils	LOCKED_PRIMARY	CH+P+O+D_ADDR+AIIN+L+S	0	7	7	6	5	5	35.341992	NO
G405-M007	cphodaiils	ONE_EDIT_RIVAL	CH+P+EEE+D_ADDR+OL+S	1	6	6	5	5	5	29.161853	NO
G405-M008	cthres	LOCKED_PRIMARY	CH+T+R+E+S	0	5	5	4	2	2	27.708909	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+OL+S	5	4	4	3	3	3	17.257280	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+AL+S	3	4	4	3	3	3	16.447797	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+AR+S	3	4	4	3	3	2	18.508574	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+E+Y+S	3	5	5	4	4	3	20.709507	NO
G405-M008	cthres	ONE_EDIT_RIVAL	SH+EE+R+S_ADDR	3	4	4	3	1	1	23.281827	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+OR+S	2	4	4	3	2	2	20.353962	NO
G405-M008	cthres	ONE_EDIT_RIVAL	CH+T+Y+D_ADDR+S	1	5	5	4	4	4	22.502918	NO
G405-M009	daid	LOCKED_PRIMARY	AIN+D_ADDR	0	2	2	1	0	0	13.828186	NO
G405-M009	daid	ONE_EDIT_RIVAL	D_ADDR+AIR+D_ADDR	9	3	3	2	1	1	16.112120	NO
G405-M009	daid	ONE_EDIT_RIVAL	A_ADDR+LOCAL_CHAR_I+D_ADDR	2	3	3	2	1	1	17.274403	NO
G405-M010	daiy	LOCKED_PRIMARY	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	0	4	4	3	1	1	23.277723	NO
G405-M010	daiy	ONE_EDIT_RIVAL	AIN+Y	30	2	2	1	0	0	13.827005	NO
G405-M010	daiy	ONE_EDIT_RIVAL	D_ADDR+AIR+Y	9	3	3	2	2	2	14.526922	NO
G405-M010	daiy	ONE_EDIT_RIVAL	DA+LOCAL_CHAR_I+Y	5	3	3	2	1	1	19.704144	NO
G405-M010	daiy	ONE_EDIT_RIVAL	AL+LOCAL_CHAR_I+Y	2	3	3	2	0	0	19.707320	NO
G405-M010	daiy	ONE_EDIT_RIVAL	A_ADDR+LOCAL_CHAR_I+Y+M_LOCAL	2	4	4	3	1	1	28.127179	NO
G405-M011	dloo	LOCKED_PRIMARY	D_ADDR+L+O+O	0	4	4	3	2	2	26.102549	NO
G405-M011	dloo	ONE_EDIT_RIVAL	AL+O	41	2	2	1	1	1	10.753123	NO
G405-M011	dloo	ONE_EDIT_RIVAL	D_ADDR+AR+O	40	3	3	2	2	2	14.380726	NO
G405-M011	dloo	ONE_EDIT_RIVAL	D_ADDR+OL+O	9	3	3	2	2	2	15.957848	NO
G405-M011	dloo	ONE_EDIT_RIVAL	D_ADDR+OR+O	6	3	3	2	2	2	16.308576	NO
G405-M011	dloo	ONE_EDIT_RIVAL	HO+O	6	2	2	1	0	0	15.280463	NO
G405-M011	dloo	ONE_EDIT_RIVAL	DA+AM_ADDR+O	5	3	3	2	2	2	17.620313	NO
G405-M011	dloo	ONE_EDIT_RIVAL	SH+O+O	3	3	3	2	1	1	17.663824	NO
G405-M011	dloo	ONE_EDIT_RIVAL	AL+O+O	1	3	3	2	1	1	20.292282	NO
G405-M011	dloo	ONE_EDIT_RIVAL	DA+LOCAL_CHAR_G+O	1	3	3	2	1	1	19.607929	NO
G405-M011	dloo	ONE_EDIT_RIVAL	DA+S+O	1	3	3	2	2	2	17.817062	NO
G405-M011	dloo	ONE_EDIT_RIVAL	D_ADDR+K+Y+O	1	4	4	3	3	3	23.163005	NO
