reference_role	card_or_component	selected_value_de	ca_1420_teaching_parallel	workshop_use
CURRENT_ITEM	Y~CHY	DIESER POSTEN	HOC	retrieve the currently active item
CURRENT_PORTION	Y+AIN	POSTENPORTION	PARS EIUS	portion of the current item
CURRENT_MEASURE	Y+AIIN	POSTENMASS	MENSURA EIUS	measure of the current item
CURRENT_TARGET	HO+AL+Y	DIESE ZUTAT DORTHIN	SPECIES HAEC AD	ingredient plus target plus current referent
SOURCE	AR	DARAUS / VON DORT	EX EO	retrieve from the active source
EXTRACT_FROM	CHEO+AR	AUSZUG DARAUS	EXTRACTUM EX EO	extract from the active source
SET_FROM	OK+AR	DARAUS ANSETZEN	PONE EX EO	start from the active source
NEXT_SOURCE	OT+AR	DANACH VON DORT	DEINDE EX EO	continue from the next source point
TARGET	AL	DORTHIN / ZUM ZIEL	AD EUM	send to the active target
SET_TO	OK+AL	DORT ANSETZEN	PONE AD	place at target
NEXT_TARGET	OT+AL	DANACH DORTHIN	DEINDE AD	advance to next target
LOWER_TARGET	OLS+AL+Y	UNTERE ZIELSTELLE	LOCUS INFERIOR	lower target of current item
FINAL_TARGET	LD+AL	ENDZIEL	LOCUS FINALIS	final route target
SAME_OPERATION	OL	FORTSETZEN	PROSEQUERE	continue the same operation
CONTINUED_BATCH	OL+OR	FORTSETZUNGSANSATZ	COMPOSITUM CONTINUATUM	continue the same batch
FURTHER_PORTION	OL+AIN	WEITERE PORTION	PARS ULTERIOR	continue with another portion
CONTINUE_CLOSE	OL+DY / OL+CHED+close	FORTSETZEN; SCHLUSS	PROSEQUERE ET CLAUDE	continue and close local cell
NEXT_OPERATION	OT	FOLGE	SEQUENS	advance to next operation
NEXT_ITEM	OT+Y	FOLGEPOSTEN	ITEM SEQUENS	next active item
LONG_NEXT_ITEM	OT+EE+Y	LANGER FOLGEPOSTEN	ITEM SEQUENS LONGUM	long-grade next item
NEXT_BATCH	OT+OR	FOLGEANSATZ	COMPOSITUM SEQUENS	next batch
NEXT_MEASURE	OT+AIIN	FOLGEMASS	MENSURA SEQUENS	measure for next operation
NEXT_TRANSFER	OT+CHED	FOLGEUMSETZUNG	TRANSFERTIO SEQUENS	next transfer
PREVIOUS_ITEM	DCHOL~SCHOL	VORPOSTEN	ITEM PRAECEDENS	learned anaphoric item sign
REMAINDER	LO	REST	RELIQUUM	remaining material
