surface	marker_class	selection_credit	semantic_credit	german_renderer_credit
pchor	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
ychor	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
polaiin	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
pol	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
ycheol	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
ychol	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
dcheol	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
paiin	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
qokchor	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
tshol	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
ycheor	HIGH_LINE_INITIAL_PURITY_WHOLE	0	0	0
ykar	LOW_PURITY_POSITIONAL_CONTROL	0	0	0
yteedy	LOW_PURITY_POSITIONAL_CONTROL	0	0	0
qotor	LOW_PURITY_POSITIONAL_CONTROL	0	0	0
dchey	LOW_PURITY_POSITIONAL_CONTROL	0	0	0
