gdt751_match_id	q_pair_id	q_surface	q_base_surface	control_pair_id	control_prefix_character	control_prefix_surface	control_base_surface	match_cost_pre_outcome	q_base_length	control_base_length	q_prefix_occurrences	control_prefix_occurrences	q_base_occurrences	control_base_occurrences	matching_used_position_or_semantic_outcome	component_export_credit
G751-M001	G751-Q035	qor	or	G751-C116	t	tor	or	0.430783	2	2	19	12	235	235	0	0
G751-M002	G751-Q032	qoky	oky	G751-C060	o	okar	kar	1.947742	3	3	125	91	80	42	0	0
G751-M003	G751-Q034	qoor	oor	G751-C003	d	dail	ail	1.980829	3	3	5	2	2	3	0	0
G751-M004	G751-Q009	qoin	oin	G751-C099	s	sols	ols	1.871802	3	3	1	2	2	12	0	0
G751-M005	G751-Q015	qokar	okar	G751-C058	o	okain	kain	2.073832	4	4	132	112	91	36	0	0
G751-M006	G751-Q047	qotol	otol	G751-C144	y	ykeey	keey	1.734944	4	4	40	41	56	27	0	0
G751-M007	G751-Q026	qokey	okey	G751-C071	o	okeey	keey	1.552251	4	4	88	116	36	27	0	0
G751-M008	G751-Q046	qotey	otey	G751-C067	o	okchy	kchy	1.706051	4	4	23	20	38	21	0	0
G751-M009	G751-Q048	qotor	otor	G751-C018	d	doiin	oiin	1.279196	4	4	22	9	24	15	0	0
G751-M010	G751-Q014	qokam	okam	G751-C156	y	yteey	teey	1.273293	4	4	22	20	17	14	0	0
G751-M011	G751-Q027	qokor	okor	G751-C091	o	oteol	teol	1.396097	4	4	21	24	16	12	0	0
G751-M012	G751-Q037	qotam	otam	G751-C124	y	ycheo	cheo	1.396415	4	4	10	7	39	36	0	0
G751-M013	G751-Q006	qodal	odal	G751-C113	t	toiin	oiin	1.134980	4	4	6	2	11	15	0	0
G751-M014	G751-Q002	qoain	oain	G751-C040	k	koldy	oldy	1.003302	4	4	4	2	10	17	0	0
G751-M015	G751-Q019	qokdy	okdy	G751-C098	o	otshy	tshy	2.321756	4	4	1	4	1	2	0	0
G751-M016	G751-Q024	qokeey	okeey	G751-C057	o	okaiin	kaiin	2.353458	5	5	264	177	116	44	0	0
G751-M017	G751-Q011	qokain	okain	G751-C123	y	ycheey	cheey	3.858570	5	5	256	17	112	137	0	0
G751-M018	G751-Q036	qotain	otain	G751-C135	y	ykaiin	kaiin	2.266487	5	5	60	33	88	44	0	0
G751-M019	G751-Q043	qotedy	otedy	G751-C069	o	okeedy	keedy	2.195239	5	5	49	49	75	22	0	0
G751-M020	G751-Q021	qokedy	okedy	G751-C143	y	ykeedy	keedy	3.845920	5	5	164	19	47	22	0	0
G751-M021	G751-Q044	qoteey	oteey	G751-C022	d	dshedy	shedy	2.550597	5	5	38	19	90	219	0	0
G751-M022	G751-Q025	qokeol	okeol	G751-C088	o	otchor	tchor	2.569433	5	5	34	16	41	17	0	0
