gdt751_contact_id	pair_id	q_surface	base_surface	q_canonical_axes	base_canonical_axes	quality_stage_exactly_preserved	preparation_relation	page	physical_folio	locus	q_ordinal	base_ordinal	signed_base_from_q	written_order	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-D001	G751-Q010	qokaiin	okaiin	HOT|LEVEL_III	HOT|LEVEL_III|PREPARATION	1	BASE_ONLY	f83v	f83	f83v.8	2	3	1	Q_THEN_BASE	rolkeedy qokaiin okaiin ched okchey	OPEN	0	0
G751-D002	G751-Q010	qokaiin	okaiin	HOT|LEVEL_III	HOT|LEVEL_III|PREPARATION	1	BASE_ONLY	f86v6	f86	f86v6.16	3	2	-1	BASE_THEN_Q	taiin okaiin qokaiin ykeey otain chey okam qokar qokain okaiin	OPEN	0	0
G751-D003	G751-Q010	qokaiin	okaiin	HOT|LEVEL_III	HOT|LEVEL_III|PREPARATION	1	BASE_ONLY	f113v	f113	f113v.19	5	4	-1	BASE_THEN_Q	daiin qokeeody qokar okaiin qokaiin okar checthy okal ched lchal qckham	OPEN	0	0
G751-D004	G751-Q011	qokain	okain	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	1	BASE_ONLY	f80r	f80	f80r.19	9	10	1	Q_THEN_BASE	dcheol shedy qokeel qotaiin chtal schcthy qokal chcthy qokain okain oloky	OPEN	0	0
G751-D005	G751-Q011	qokain	okain	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	1	BASE_ONLY	f80r	f80	f80r.32	6	7	1	Q_THEN_BASE	solchey qoky r cheykain sheckhy qokain okain ol	OPEN	0	0
G751-D006	G751-Q011	qokain	okain	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	1	BASE_ONLY	f103r	f103	f103r.18	7	6	-1	BASE_THEN_Q	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys	OPEN	0	0
G751-D007	G751-Q011	qokain	okain	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	1	BASE_ONLY	f106r	f106	f106r.47	3	2	-1	BASE_THEN_Q	ycheoar okain qokain char oky cheokam	OPEN	0	0
G751-D008	G751-Q011	qokain	okain	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	1	BASE_ONLY	f111v	f111	f111v.22	6	7	1	Q_THEN_BASE	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey	OPEN	0	0
G751-D009	G751-Q013	qokaly	okaly	HOT|MATERIAL|PROCESS	HOT|MATERIAL|PREPARATION|PROCESS	1	BASE_ONLY	f58v	f58	f58v.5	9	10	1	Q_THEN_BASE	faiir ofas ar qotaiin sholy qotaiin yqokaly okal qokaly okaly	OPEN	0	0
G751-D010	G751-Q015	qokar	okar	HOT|PART|MATERIAL	HOT|PART|PREPARATION	1	BASE_ONLY	f40r	f40	f40r.2	1	2	1	Q_THEN_BASE	qokar okar okedy dar ykchey kaiin okas chedy okar a ralos	OPEN	0	0
G751-D011	G751-Q015	qokar	okar	HOT|PART|MATERIAL	HOT|PART|PREPARATION	1	BASE_ONLY	f40r	f40	f40r.5	2	3	1	Q_THEN_BASE	lokar qokar okar okol ol chedy qokchd ar ar or dag	OPEN	0	0
G751-D012	G751-Q015	qokar	okar	HOT|PART|MATERIAL	HOT|PART|PREPARATION	1	BASE_ONLY	f55r	f55	f55r.2	7	8	1	Q_THEN_BASE	okair or aiin chody ykair y qokar okar ol ykar ar al	OPEN	0	0
G751-D013	G751-Q015	qokar	okar	HOT|PART|MATERIAL	HOT|PART|PREPARATION	1	BASE_ONLY	f86v6	f86	f86v6.28	2	3	1	Q_THEN_BASE	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	OPEN	0	0
G751-D014	G751-Q015	qokar	okar	HOT|PART|MATERIAL	HOT|PART|PREPARATION	1	BASE_ONLY	f95r2	f95	f95r2.6	8	9	1	Q_THEN_BASE	y olkor ol shol qotar chdy chdy qokar okar qokar odaly	OPEN	0	0
G751-D015	G751-Q017	qokchey	okchey	HOT|DRY|MIDDLE_STAGE	HOT|DRY|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f107v	f107	f107v.38	3	2	-1	BASE_THEN_Q	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	OPEN	0	0
G751-D016	G751-Q021	qokedy	okedy	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f78v	f78	f78v.6	9	8	-1	BASE_THEN_Q	ety okeey or eey ykeey lchey qokain okedy qokedy qol	OPEN	0	0
G751-D017	G751-Q021	qokedy	okedy	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f83r	f83	f83r.12	8	7	-1	BASE_THEN_Q	qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal	OPEN	0	0
G751-D018	G751-Q021	qokedy	okedy	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f103r	f103	f103r.4	2	3	1	Q_THEN_BASE	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	OPEN	0	0
G751-D019	G751-Q021	qokedy	okedy	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f108r	f108	f108r.33	3	4	1	Q_THEN_BASE	solkedy okchd qokedy okedy okeol chdy okar okedy okedy chlar	OPEN	0	0
G751-D020	G751-Q022	qokeedy	okeedy	HOT|END_STAGE	HOT|END_STAGE|PREPARATION|CLOSE	1	BASE_ONLY	f76v	f76	f76v.8	5	6	1	Q_THEN_BASE	qokeedy ochedy roiin sheedy qokeedy okeedy olor okeedy qolkchey r ol	OPEN	0	0
G751-D021	G751-Q022	qokeedy	okeedy	HOT|END_STAGE	HOT|END_STAGE|PREPARATION|CLOSE	1	BASE_ONLY	f103r	f103	f103r.36	4	3	-1	BASE_THEN_Q	okool chedy okeedy qokeedy qokeey shdy otey qokeey	OPEN	0	0
G751-D022	G751-Q022	qokeedy	okeedy	HOT|END_STAGE	HOT|END_STAGE|PREPARATION|CLOSE	1	BASE_ONLY	f108r	f108	f108r.40	4	3	-1	BASE_THEN_Q	okor aiin okeedy qokeedy okeeom cheykeeed chol qekeey or aiin chckhom	OPEN	0	0
G751-D023	G751-Q022	qokeedy	okeedy	HOT|END_STAGE	HOT|END_STAGE|PREPARATION|CLOSE	1	BASE_ONLY	f108v	f108	f108v.50	6	5	-1	BASE_THEN_Q	dsheey oteey cheol teedar okeedy qokeedy checkhy oteey aiin okeey chey qokey	OPEN	0	0
