pair_id	prefix_character	prefix_surface	base_surface	base_initial	base_length	prefix_canonical_axes	base_canonical_axes	prefix_quality_stage_axes	base_quality_stage_axes	quality_stage_exactly_preserved	preparation_relation	axes_shared	axes_prefix_only	axes_base_only	prefix_clean_mode_support	prefix_clean_axis_occurrences	base_clean_mode_support	base_clean_axis_occurrences	prefix_reader_exact_occurrences	base_reader_exact_occurrences	prefix_reader_exact_pages	base_reader_exact_pages	prefix_mean_normalized_position	base_mean_normalized_position	raw_position_delta_prefix_minus_base	section_residual_position_delta_prefix_minus_base	line_first_delta_prefix_minus_base	line_last_delta_prefix_minus_base	paragraph_first_delta_prefix_minus_base	paragraph_last_delta_prefix_minus_base	paragraph_start_line_delta_prefix_minus_base	paragraph_end_line_delta_prefix_minus_base	direct_contacts	direct_contact_pages	prefix_then_base_contacts	base_then_prefix_contacts	contacts_per_1000_min_occurrences	literal_identity	confirmed_lexeme	component_export_credit
G751-Q001	q	qoaiin	oaiin	o	5	PART	AMOUNT|PREPARATION	NONE	NONE	1	BASE_ONLY	NONE	PART	AMOUNT|PREPARATION	20	20	17	17	20	17	18	14	0.329884	0.177638	0.152246	0.153258	-0.279412	0.000000	0.000000	0.000000	-0.126471	-0.008824	0	0	0	0	0.000000	OPEN	0	0
G751-Q002	q	qoain	oain	o	4	PART	PART|PREPARATION	NONE	NONE	1	BASE_ONLY	PART	NONE	PREPARATION	4	4	10	10	4	10	4	9	0.298368	0.204274	0.094095	0.090094	-0.350000	0.000000	0.000000	0.000000	0.000000	-0.200000	0	0	0	0	0.000000	OPEN	0	0
G751-Q003	q	qockhey	ockhey	o	6	MIDDLE_STAGE|PREPARATION	MIDDLE_STAGE|PREPARATION	MIDDLE_STAGE	MIDDLE_STAGE	1	BOTH	MIDDLE_STAGE|PREPARATION	NONE	NONE	12	12	5	5	12	5	11	5	0.556740	0.326349	0.230391	0.225962	0.000000	0.000000	0.000000	0.000000	-0.233333	-0.116667	0	0	0	0	0.000000	OPEN	0	0
G751-Q004	q	qockhy	ockhy	o	5	BEGIN_STAGE|PREPARATION	BEGIN_STAGE|PREPARATION	BEGIN_STAGE	BEGIN_STAGE	1	BOTH	BEGIN_STAGE|PREPARATION	NONE	NONE	14	14	6	6	14	6	13	6	0.368571	0.716422	-0.347852	-0.334546	0.071429	-0.500000	0.000000	-0.166667	0.071429	-0.047619	0	0	0	0	0.000000	OPEN	0	0
G751-Q005	q	qodain	odain	o	5	LEVEL_II	LEVEL_II|PREPARATION	NONE	NONE	1	BASE_ONLY	LEVEL_II	NONE	PREPARATION	9	9	11	11	9	11	5	8	0.457319	0.740548	-0.283229	-0.288275	0.000000	-0.454545	0.000000	-0.181818	-0.070707	0.080808	0	0	0	0	0.000000	OPEN	0	0
G751-Q006	q	qodal	odal	o	4	AMOUNT|MATERIAL|PREPARATION	AMOUNT|MATERIAL|PREPARATION	NONE	NONE	1	BOTH	AMOUNT|MATERIAL|PREPARATION	NONE	NONE	6	6	11	11	6	11	6	11	0.373214	0.385629	-0.012415	-0.012563	-0.090909	0.000000	0.000000	0.000000	-0.272727	-0.015152	0	0	0	0	0.000000	OPEN	0	0
G751-Q007	q	qoeees	oeees	o	5	AMOUNT	PREPARATION	NONE	NONE	1	BASE_ONLY	NONE	AMOUNT	PREPARATION	3	3	6	6	3	6	3	6	0.108974	0.545620	-0.436645	-0.450544	0.333333	0.000000	0.000000	0.000000	0.333333	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q008	q	qoiiin	oiiin	o	5	PREPARATION	PREPARATION	NONE	NONE	1	BOTH	PREPARATION	NONE	NONE	4	4	7	7	4	7	4	7	0.451136	0.262698	0.188438	0.179113	-0.142857	0.000000	0.000000	0.000000	0.000000	0.107143	0	0	0	0	0.000000	OPEN	0	0
G751-Q009	q	qoin	oin	o	3	PREPARATION|PROCESS	PREPARATION	NONE	NONE	1	BOTH	PREPARATION	PROCESS	NONE	1	1	2	2	1	2	1	2	0.285714	0.267677	0.018038	0.022956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q010	q	qokaiin	okaiin	o	6	HOT|LEVEL_III	HOT|LEVEL_III|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|LEVEL_III	NONE	PREPARATION	6	6	2	2	241	177	64	81	0.454898	0.484770	-0.029872	-0.029736	0.030288	-0.027803	0.000000	-0.010151	0.045385	-0.042361	3	3	1	2	16.949153	OPEN	0	0
