pair_id	prefix_character	prefix_surface	base_surface	base_initial	base_length	prefix_canonical_axes	base_canonical_axes	prefix_quality_stage_axes	base_quality_stage_axes	quality_stage_exactly_preserved	preparation_relation	axes_shared	axes_prefix_only	axes_base_only	prefix_clean_mode_support	prefix_clean_axis_occurrences	base_clean_mode_support	base_clean_axis_occurrences	prefix_reader_exact_occurrences	base_reader_exact_occurrences	prefix_reader_exact_pages	base_reader_exact_pages	prefix_mean_normalized_position	base_mean_normalized_position	raw_position_delta_prefix_minus_base	section_residual_position_delta_prefix_minus_base	line_first_delta_prefix_minus_base	line_last_delta_prefix_minus_base	paragraph_first_delta_prefix_minus_base	paragraph_last_delta_prefix_minus_base	paragraph_start_line_delta_prefix_minus_base	paragraph_end_line_delta_prefix_minus_base	direct_contacts	direct_contact_pages	prefix_then_base_contacts	base_then_prefix_contacts	contacts_per_1000_min_occurrences	literal_identity	confirmed_lexeme	component_export_credit
G751-C001	a	akaiin	kaiin	k	5	HOT|LEVEL_III|AMOUNT|MATERIAL	HOT|LEVEL_III	HOT	HOT	1	NEITHER	HOT|LEVEL_III	AMOUNT|MATERIAL	NONE	1	1	44	44	1	44	1	30	0.666667	0.521874	0.144793	0.140737	-0.022727	-0.022727	-0.022727	0.000000	-0.113636	-0.181818	0	0	0	0	0.000000	OPEN	0	0
G751-C002	d	daiin	aiin	a	4	LEVEL_III	AMOUNT	NONE	NONE	1	NEITHER	NONE	LEVEL_III	AMOUNT	3	3	6	6	602	338	163	89	0.499599	0.531064	-0.031466	-0.030525	0.197674	0.098636	0.000000	0.028967	-0.050335	-0.019452	1	1	0	1	2.958580	OPEN	0	0
G751-C003	d	dail	ail	a	3	AMOUNT|MATERIAL	LEVEL_II|MATERIAL	NONE	NONE	1	NEITHER	MATERIAL	AMOUNT	LEVEL_II	2	2	3	3	2	3	2	3	0.585714	0.516667	0.069048	0.076203	0.000000	0.000000	0.000000	0.000000	0.000000	-0.166667	0	0	0	0	0.000000	OPEN	0	0
G751-C004	d	dair	air	a	3	PART	PART|MATERIAL	NONE	NONE	1	NEITHER	PART	NONE	MATERIAL	3	3	44	44	63	44	51	29	0.436748	0.509338	-0.072589	-0.070338	0.262987	0.033911	0.000000	0.000000	-0.082251	0.040404	0	0	0	0	0.000000	OPEN	0	0
G751-C005	d	dalchedy	alchedy	a	7	DRY|MIDDLE_STAGE|END_STAGE|MATERIAL|CLOSE	DRY|MIDDLE_STAGE|END_STAGE|MATERIAL|PROCESS|CLOSE	DRY|MIDDLE_STAGE|END_STAGE	DRY|MIDDLE_STAGE|END_STAGE	1	NEITHER	DRY|MIDDLE_STAGE|END_STAGE|MATERIAL|CLOSE	NONE	PROCESS	4	4	3	3	4	3	3	3	0.822511	0.336905	0.485606	0.485905	0.000000	0.250000	0.000000	0.000000	0.166667	-0.083333	0	0	0	0	0.000000	OPEN	0	0
G751-C006	d	daldy	aldy	a	4	END_STAGE|AMOUNT|MATERIAL|CLOSE	END_STAGE|MATERIAL|CLOSE	END_STAGE	END_STAGE	1	NEITHER	END_STAGE|MATERIAL|CLOSE	AMOUNT	NONE	6	6	5	5	6	5	6	5	0.491667	0.855758	-0.364091	-0.362899	0.166667	-0.066667	0.000000	0.000000	-0.233333	-0.200000	0	0	0	0	0.000000	OPEN	0	0
G751-C007	d	daly	aly	a	3	BEGIN_STAGE|AMOUNT|MATERIAL	BEGIN_STAGE|MATERIAL	BEGIN_STAGE	BEGIN_STAGE	1	NEITHER	BEGIN_STAGE|MATERIAL	AMOUNT	NONE	18	18	12	12	18	12	16	12	0.681944	0.805619	-0.123674	-0.115241	0.055556	-0.027778	0.000000	0.000000	-0.111111	-0.027778	0	0	0	0	0.000000	OPEN	0	0
G751-C008	d	dar	ar	a	2	PART	PART|MATERIAL	NONE	NONE	1	NEITHER	PART	NONE	MATERIAL	5	5	2	2	195	242	99	78	0.559086	0.544503	0.014583	0.018107	0.118945	0.084594	0.000000	0.010256	0.001950	-0.036787	5	5	5	0	25.641026	OPEN	0	0
G751-C009	d	daral	aral	a	4	AMOUNT|PART|MATERIAL|PROCESS	PART|MATERIAL	NONE	NONE	1	NEITHER	PART|MATERIAL	AMOUNT|PROCESS	NONE	1	1	8	8	1	8	1	7	1.000000	0.727399	0.272601	0.273330	0.000000	0.500000	0.000000	0.000000	-0.250000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-C010	d	daram	aram	a	4	AMOUNT|PART	AMOUNT|PART|MATERIAL	NONE	NONE	1	NEITHER	AMOUNT|PART	NONE	MATERIAL	3	3	6	6	3	6	3	6	0.703704	0.914815	-0.211111	-0.208874	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-C011	d	dary	ary	a	3	END_STAGE|PART|CLOSE	END_STAGE|PART|MATERIAL|CLOSE	END_STAGE	END_STAGE	1	NEITHER	END_STAGE|PART|CLOSE	NONE	MATERIAL	14	14	14	14	14	14	14	12	0.810714	0.979592	-0.168878	-0.165720	0.142857	-0.142857	0.000000	-0.142857	0.071429	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-C012	d	dcheey	cheey	c	5	DRY|END_STAGE|AMOUNT|PROCESS	DRY|END_STAGE	DRY|END_STAGE	DRY|END_STAGE	1	NEITHER	DRY|END_STAGE	AMOUNT|PROCESS	NONE	1	1	4	4	9	137	9	59	0.088889	0.433368	-0.344479	-0.348965	0.874290	-0.036496	0.000000	-0.021898	-0.051095	-0.085969	0	0	0	0	0.000000	OPEN	0	0
G751-C013	d	dchey	chey	c	4	DRY|MIDDLE_STAGE|AMOUNT|PROCESS	DRY|MIDDLE_STAGE	DRY|MIDDLE_STAGE	DRY|MIDDLE_STAGE	1	NEITHER	DRY|MIDDLE_STAGE	AMOUNT|PROCESS	NONE	8	13	3	3	13	282	13	92	0.179079	0.448449	-0.269370	-0.269394	0.674577	-0.060284	0.000000	-0.031915	0.006001	-0.191489	0	0	0	0	0.000000	OPEN	0	0
G751-C014	d	dchol	chol	c	4	DRY|AMOUNT|MATERIAL	DRY	DRY	DRY	1	NEITHER	DRY	AMOUNT|MATERIAL	NONE	20	20	6	6	20	303	20	121	0.422798	0.422209	0.000589	-0.002521	0.347195	0.033498	0.000000	0.040099	-0.046205	0.051485	2	2	2	0	100.000000	OPEN	0	0
G751-C015	d	dchor	chor	c	4	PART	PART	NONE	NONE	1	NEITHER	PART	NONE	NONE	22	22	2	2	22	176	18	94	0.245040	0.408564	-0.163524	-0.166453	0.443182	0.017045	0.000000	-0.017045	-0.051136	-0.017045	0	0	0	0	0.000000	OPEN	0	0
G751-C016	d	dchy	chy	c	3	DRY|BEGIN_STAGE|AMOUNT|MATERIAL	DRY|BEGIN_STAGE	DRY|BEGIN_STAGE	DRY|BEGIN_STAGE	1	NEITHER	DRY|BEGIN_STAGE	AMOUNT|MATERIAL	NONE	20	20	2	2	20	114	17	74	0.590655	0.506829	0.083826	0.082988	0.132456	-0.046491	0.000000	-0.017544	0.003509	-0.114035	2	2	0	2	100.000000	OPEN	0	0
G751-C017	d	ddor	dor	d	3	AMOUNT|PROCESS	AMOUNT|MATERIAL	NONE	NONE	1	NEITHER	AMOUNT	PROCESS	MATERIAL	1	1	48	48	1	48	1	38	0.000000	0.368842	-0.368842	-0.327744	0.666667	0.000000	0.000000	0.000000	-0.083333	-0.166667	0	0	0	0	0.000000	OPEN	0	0
