gdt751_carrier_card_id	gdt750_active_card_id	target_surface	q_pair_surface	page	physical_folio	locus	token_ordinal	gdt750_emitted_axes	added_carrier_role	working_render_de	local_direct_pair_host	pair_quality_stage_preserved	pair_preparation_relation	confidence	scope	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-A01	G750-A003	okeey	qokeey	f103r	f103	f103r.27	2	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly	OPEN	0	0
G751-A02	G750-A004	okeey	qokeey	f103r	f103	f103r.50	8	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	OPEN	0	0
G751-A03	G750-A005	okeey	qokeey	f103v	f103	f103v.4	4	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	y cheey qokeey okeey lkees ol qoteedy ykeedy	OPEN	0	0
G751-A04	G750-A006	okeey	qokeey	f108r	f108	f108r.27	4	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	ychedain orcheory qoaiin okeey qokeey chdal okedy qokedy okedam chdy	OPEN	0	0
G751-A05	G750-A007	okeey	qokeey	f108r	f108	f108r.42	1	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	OPEN	0	0
G751-A06	G750-A010	okeey	qokeey	f112r	f112	f112r.13	6	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	OPEN	0	0
G751-A07	G750-A011	okeey	qokeey	f112r	f112	f112r.9	3	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	saiin ol okeey qokeey y chedy teedy qokchy qokar y	OPEN	0	0
G751-A08	G750-A013	okeey	qokeey	f3r	f3	f3r.14	3	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	chor qodair okeey qokeey	OPEN	0	0
G751-A09	G750-A015	okeey	qokeey	f76r	f76	f76r.16	5	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair	OPEN	0	0
G751-A10	G750-A017	okeey	qokeey	f81v	f81	f81v.11	3	HOT|END_STAGE	PREPARATION	heiße Zubereitung an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	1	BASE_ONLY	C2_EXPLORATORY_MODEL_INTERNAL_PLUS_DIRECT_PAIR	THIS_OCCURRENCE_ONLY	yshey qokeey okeey oky ykeey qoky oky lky olchy ky dsholyd	OPEN	0	0
