phase	normalized_form	word_class	occurrences
V62_SOURCE	ab	CLOSED_CLASS	1
V62_SOURCE	abfüllen	VERB	1
V62_SOURCE	abgekühlte	STATE_QUALITY	1
V62_SOURCE	abgekühlten	STATE_QUALITY	1
V62_SOURCE	abgekühlter	STATE_QUALITY	2
V62_SOURCE	abgemessene	STATE_QUALITY	36
V62_SOURCE	abgemessener	STATE_QUALITY	2
V62_SOURCE	abgemessenes	STATE_QUALITY	1
V62_SOURCE	abgeschlossen	STATE_QUALITY	6
V62_SOURCE	abgeschlossene	STATE_QUALITY	3
V62_SOURCE	abgeschlossener	STATE_QUALITY	1
V62_SOURCE	abgeschlossenes	STATE_QUALITY	5
V62_SOURCE	abgeteilte	STATE_QUALITY	1
V62_SOURCE	abgezogen	STATE_QUALITY	2
V62_SOURCE	abgezogene	STATE_QUALITY	1
V62_SOURCE	abgezogener	STATE_QUALITY	2
V62_SOURCE	abkühlen	VERB	6
V62_SOURCE	abmessen	VERB	13
V62_SOURCE	abschliessen	VERB	13
V62_SOURCE	abziehen	VERB	1
V62_SOURCE	als	CLOSED_CLASS	2
V62_SOURCE	am	CLOSED_CLASS	44
V62_SOURCE	an	CLOSED_CLASS	1
V62_SOURCE	anfang	NOUN	11
V62_SOURCE	anfangsansatz	NOUN	1
V62_SOURCE	anfangsstufe	NOUN	11
V62_SOURCE	angefeuchtete	STATE_QUALITY	2
V62_SOURCE	angefeuchteter	STATE_QUALITY	1
V62_SOURCE	angesetzte	STATE_QUALITY	2
V62_SOURCE	angesetztes	STATE_QUALITY	1
V62_SOURCE	angetrocknete	STATE_QUALITY	1
V62_SOURCE	angetrocknetes	STATE_QUALITY	1
V62_SOURCE	angewärmt	STATE_QUALITY	1
V62_SOURCE	ansatz	NOUN	74
V62_SOURCE	ansatzcharge	NOUN	2
V62_SOURCE	ansatzes	NOUN	7
V62_SOURCE	ansatzfraktion	NOUN	8
V62_SOURCE	ansatzrahmen	NOUN	3
V62_SOURCE	ansatzstoff	NOUN	2
V62_SOURCE	anschliessend	REFERENCE_SEQUENCE	2
V62_SOURCE	anschlussform	NOUN	1
V62_SOURCE	ansetzen	VERB	2
V62_SOURCE	arzneikompositum	NOUN	19
V62_SOURCE	arzneikompositum-ansatzes	NOUN	1
V62_SOURCE	arzneikompositums	NOUN	2
V62_SOURCE	arzneispecies	NOUN	1
V62_SOURCE	auf	CLOSED_CLASS	13
V62_SOURCE	aufbereiten	VERB	1
V62_SOURCE	aufbereitetes	STATE_QUALITY	2
V62_SOURCE	aus	CLOSED_CLASS	8
V62_SOURCE	auszug	NOUN	1
V62_SOURCE	behandlung	NOUN	1
