target	v63_main_head_de	historical_anchor	apparatus_rivals	primary_source_url	source_observation	voynich_use_scope
p	Pulver	pulvis	Trank|Pille	https://wellcomecollection.org/works/n674z2xd	Early-15th-century MS 542 uses puluerem as a short material/form head.	Scoped composition prior only; not a Voynich identification.
s	Samen	semen	Salz|Saft|Arzneispecies	https://celt.ucc.ie/published/G600005/text907.html	The 1415 materia-medica tradition uses semen as a short plant-part/material head.	Scoped composition prior only; not a Voynich identification.
r	Wurzel	radix	Harz|resina	https://wellcomecollection.org/works/n674z2xd	Early-15th-century MS 542 explicitly combines Radix with hot/dry quality and grade III.	Supports the architecture head plus quality plus grade, not the mapping itself.
l	Holz	lignum	Auszug|liquor	https://wellcomecollection.org/works/n674z2xd	Early-15th-century MS 542 explicitly combines Aloes lignum with hot/dry quality and grade II.	Supports the architecture head plus quality plus grade, not the mapping itself.
shx	Gummi	gumi|gumma	Harz|Gummiharz|Pech	https://celt.ucc.ie/published/G600005/text762.html	The 1415 Gumi chapter uses gum as its own short material head and distinguishes several sorts.	Concrete learned-whole rival deck only.
shor	Blüte	flos	Frucht|Fruchtstand|Same	https://celt.ucc.ie/published/G600005/text907.html	The glossary preserves flos rose as a short flower-part head.	Concrete learned-whole rival deck only.
checthy	Kraut	herba	Blatt|Krautdroge|Krautgut	https://wellcomecollection.org/works/n674z2xd	MS 542 uses herba as a short materia-medica head; CTH and Herbal remain analysis labels.	Local CTH-family main choice only.
ol	Stoff	materia	Arzneistoff|Droge|simplex	https://celt.ucc.ie/published/G600005/text907.html	The glossary explicitly equates materia with matter/substance.	Carrier prior only; no free ol globalization.
al	Rohstoff	materia	Zutat|Ausgangsstoff	https://celt.ucc.ie/published/G600005/text907.html	Materia supplies a concise historical material head; raw polarity remains a workshop composition.	Scoped al material family only.
or	Portion	portio|pars	Teil|Dosis	https://celt.ucc.ie/document/T600021/	The dose treatise keeps administered amount, minimum/maximum dose and material amount distinct.	Keep portion distinct from measure and dose.
am	Maß	mensura	Einheit|Dosis	https://celt.ucc.ie/document/T600021/	The dose treatise explicitly distinguishes quantity by measurement from quantity by quality/degree.	Keep measure distinct from portion and dose; final closure remains structural.
dose_cards	Dosis	dosis	Gabe|Maß	https://celt.ucc.ie/document/T600021/	The dose treatise repeatedly assigns medicine-specific minimum and maximum doses.	Only exact cards already licensed as dose; never globalize daiin.
