page	locus	section	language	hand	token_count	zl3b_line	v62_practical_translation_de	v63_main_translation_de	v63_changed_token_positions	v63_noun_occurrences	v63_apparatus_entries	v63_compact_apparatus_de	v63_status
f102v2	f102v2.3	P	A	1	1	oror	Zwei Portionen.	Zwei Portionen.	0	1	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f104v	f104v.2	S	B	3	10	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Ansatz vollständig abkühlen und abziehen; Arzneikompositum im Trockenansatz am Gradanfang; kalt im Zubereitungsrahmen, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweite kalte Drogenfraktion im Ansatz; eine Maßportion Ansatz.	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Ansatz vollständig abkühlen und abziehen; Arzneikompositum im Trockenansatz am Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweite kalte Drogenfraktion im Ansatz; eine Maßportion Ansatz.	1	19	1	#4 otaiin: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f105r	f105r.2	S	B	3	13	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies; hieran anschließend; trocken am Ende des Grades; Wurzel, Typ/Charge III; kalt-trockener Ansatz, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; getrockneter Ansatz; fertige Zubereitung.	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockener Ansatz, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; getrockneter Ansatz; fertige Zubereitung.	2	20	2	#1 dshees: Arzneimischung [Rivalen: Charge Arzneispecies|eingeweichte Droge; LOCAL_LEARNED_WHOLE] || #4 raiin: Wurzel [Rivalen: Wurzeldroge|Harz; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f105r	f105r.31	S	B	3	13	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Drogenholz; eingeweichtes Gummiharz; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; bis zur mittleren Heizstufe erhitzte Holzdroge; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	3	17	4	#2 lchl: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD] || #3 shx: Gummi [Rivalen: Harz|Gummiharz|Pech; LOCAL_LEARNED_WHOLE] || #8 lkedy: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD] || #9 lkar: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f105v	f105v.1	S	B	3	9	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	Abgeschlossene zweite Pulverstofffraktion; zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II; erhitze hiervon auf Stufe III; fertiges Trockenpulver aus Holzdrogenansatz; drei Dosen bis zur Mittelstufe getrockneter Pulveransatz; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; abgeschlossene zweite Saatgutfraktion.	Zweite Pulverfraktion, abgeschlossen; zweite Ansatzfraktion; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Trockenpulver aus Holzansatz; drei Dosen bis zur Mittelstufe getrockneter Pulveransatz; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	4	14	4	#1 polairy: Pulver [Rivalen: Trank|Pille; PRODUCTIVE_INITIAL_HEAD] || #3 olpcheey: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #5 olpchedy: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #9 sairy: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f105v	f105v.14	S	B	3	10	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzdrogenansatz; abgezogene Portion Holzdrogenansatz; Menge-/Klassenwert IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzansatz; abgezogene Portion Holzansatz; Menge IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	3	15	4	#1 pchedaiin: Pulver [Rivalen: Trank|Pille; PRODUCTIVE_INITIAL_HEAD] || #4 olpchedy: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #5 olord: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #6 aiiin: Menge [Rivalen: Klassenwert IV; LOCAL_VALUE_SELECTION__UPSTREAM_CARD_UNEXPORTED]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f106r	f106r.23	S	B	3	10	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	0	15	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f107r	f107r.2	S	B	3	13	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzdrogenansatz vollständig erhitzt; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	2	19	3	#9 olkeey: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #10 qotain: Ansatz [Rivalen: Zubereitung|Arbeitsgang|Bad; STRUCTURAL_FRAME_WITH_CONTENT] || #13 lor: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f107r	f107r.40	S	B	3	10	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heiß, Grad III, im Ansatzrahmen; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; zweite kalte Drogenfraktion im Ansatz; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Rohstoffklasse I im Ansatz, heiß am Gradanfang.	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; erste erhitzte Holzfraktion im Ansatz; zweite kalte Drogenfraktion im Ansatz; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Rohstoffklasse I im Ansatz, heiß am Gradanfang.	2	20	3	#1 lolkaiin: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD] || #6 okaiin: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT] || #7 olkar: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f10r	f10r.2	H	A	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Blatt- oder Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlter Ansatz, abgeschlossen.	1	17	1	#2 cthoor: Krautansatz [Rivalen: Blattansatz; LOCAL_CTH_FAMILY]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
