statement_id	page	record	meta_rules	variant_ids	bound_exemplar	forward_recipe_sequence	forward_cards
H1-S001	f10r	H1	NONE	NONE	EXEMPLAR_H1-S001	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	10
H1-S002	f10r	H1	NONE	NONE	NONE	OK+Y | OT+CH+OL | OL | CTH+Y	4
H2-S001	f10r	H2	NONE	NONE	EXEMPLAR_H2-S001	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	9
H2-S002	f10r	H2	M4_WRITE_CONTINUATION_BRIDGE	P752:R1_PREPARATION_CONTINUATION_BRIDGE	NONE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	8
H2-S003	f10r	H2	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R1_REPEAT_PREPARATION_AROUND_STAGE	NONE	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	7
H3-S001	f11r	H3	NONE	NONE	EXEMPLAR_H3-S001	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	7
H3-S002	f11r	H3	NONE	NONE	NONE	SH+O+Y+T+Y	1
H3-S003	f11r	H3	M3_PACK_MEASURE_FRAME	P751:R1_RESUMED_MEASURED_ADDITION	NONE	RESUME_CARD | Y | K+Y | Y | AIIN	5
H3-S004	f11r	H3	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	NONE	OT+Y | OK+OL | CTH+Y | Y	4
H4-S001	f55v	H4	M3_PACK_MEASURE_FRAME	P756:R1_MEASURE_PORTION_SERIES	NONE	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	5
H4-S002	f55v	H4	NONE	NONE	NONE	AIIN | CHD+Y | TALAM	3
H4-S003	f55v	H4	NONE	NONE	NONE	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	4
H4-S004	f55v	H4	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R2_PREPARATION_BEFORE_PORTION	NONE	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	6
H5-S001	f56r	H5	NONE	NONE	EXEMPLAR_H5-S001	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	9
H5-S002	f56r	H5	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	4
H5-S003	f56r	H5	M9_WRITE_ORDERED_CADENCE	P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	NONE	SH | HO | K+E+Y | OK+OK+Y	4
H5-S004	f56r	H5	NONE	NONE	NONE	OK+Y | OK+CH+E+O | K+AL	3
H5-S005	f56r	H5	NONE	NONE	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN	4
H5-S006	f56r	H5	NONE	NONE	NONE	OT+Y | K+E+OL | AIIN	3
B1-S001	f81v	B1	NONE	NONE	NONE	OK+E+DY	1
B1-S002	f81v	B1	NONE	NONE	EXEMPLAR_B1-S002	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	19
B1-S003	f81v	B1	NONE	NONE	NONE	OL | SH+K+CHD+DY	2
B1-S004	f81v	B1	NONE	NONE	NONE	CHD+Y | OL | SHED+DY	3
B1-S005	f81v	B1	NONE	NONE	NONE	OL+CHD+DY	1
B1-S006	f81v	B1	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R1_SPLIT_PASSAGE_AND_TRANSFER	NONE	OK+AIN | CKH+Y | L | R+AL	4
B1-S007	f81v	B1	NONE	NONE	NONE	OK+CHD+DY	1
B1-S008	f81v	B1	M4_WRITE_CONTINUATION_BRIDGE	P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	NONE	Y | OL | CHK+E+Y | OL | SHED+DY	5
B1-S009	f81v	B1	NONE	NONE	NONE	OK+E+DY	1
B1-S010	f81v	B1	NONE	NONE	NONE	OK+E+DY	1
B1-S011	f81v	B1	NONE	NONE	NONE	CKH+Y | OK+Y	2
B1-S012	f81v	B1	NONE	NONE	NONE	LSH+O | OK+E+Y | LSH+E+DY	3
B1-S013	f81v	B1	NONE	NONE	NONE	LSH+E+DY	1
