statement_id	y_packer_output	meta_rule_count	meta_rules	variant_ids	after_parameterized_rules	bound_exemplar	final_output
H1-S001	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	0	NONE	NONE	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	EXEMPLAR_H1-S001	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y
H1-S002	OK+Y | OT+CH+OL | OL | CTH+Y	0	NONE	NONE	OK+Y | OT+CH+OL | OL | CTH+Y	NONE	OK+Y | OT+CH+OL | OL | CTH+Y
H2-S001	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	0	NONE	NONE	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	EXEMPLAR_H2-S001	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
H2-S002	OT+CH+OR | OL+OR | AIIN | AR | OL	1	M4_WRITE_CONTINUATION_BRIDGE	P752:R1_PREPARATION_CONTINUATION_BRIDGE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	NONE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR
H2-S003	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	1	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R1_REPEAT_PREPARATION_AROUND_STAGE	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	NONE	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN
H3-S001	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	0	NONE	NONE	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	EXEMPLAR_H3-S001	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY
H3-S002	SH+O+Y+T+Y	0	NONE	NONE	SH+O+Y+T+Y	NONE	SH+O+Y+T+Y
H3-S003	RESUME_CARD | Y+K+AIIN	1	M3_PACK_MEASURE_FRAME	P751:R1_RESUMED_MEASURED_ADDITION	RESUME_CARD | Y | K+Y | Y | AIIN	NONE	RESUME_CARD | Y | K+Y | Y | AIIN
H3-S004	OT+Y | OK+OL | CTH+Y	1	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	OT+Y | OK+OL | CTH+Y | Y	NONE	OT+Y | OK+OL | CTH+Y | Y
H4-S001	AIIN | OK+Y | AIN | Y+K+AN | O+DY	1	M3_PACK_MEASURE_FRAME	P756:R1_MEASURE_PORTION_SERIES	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	NONE	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY
H4-S002	AIIN | CHD+Y | TALAM	0	NONE	NONE	AIIN | CHD+Y | TALAM	NONE	AIIN | CHD+Y | TALAM
H4-S003	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	0	NONE	NONE	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	NONE	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY
H4-S004	AIIN | OK+AL | OL+T+Y | OR+AIN	1	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R2_PREPARATION_BEFORE_PORTION	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	NONE	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN
