fragment_id	active_model	semantic_fragment	component_length	occurrence_count	event_count	page_count	register_count	model_count	surface_type_count	contains_name_slot	touches_residual_event	pages	registers	models	event_ids	surface_examples	claim_status
G482-F001	ANY	DANACH	1	41	41	6	4	3	36	NO	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0079|P1003-E0083|P1003-E0084|P1003-E0085|P1003-E0088|P1003-E0410|P1003-E0411|P1003-E0416|P1003-E0418|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1003-E0601|P1003-E0603|P1003-E0642|P1003-E0643|P1003-E0644|P1008-E0136|P1008-E0137|P1008-E0138|P1008-E0139|P1008-E0172|P1008-E0173|P1008-E0176|P1008-E0236|P1008-E0243|P1008-E0244|P1008-E0248|P1008-E0252|P1008-E0279|P1008-E0282|P1008-E0285|P1008-E0354|P1008-E0361|P1008-E1041|P1008-E1093|P1008-E1228|P1008-E1411|P1008-E1413	oteeeon|otchody|otaiin|otar|otalody|otalaiin|otaraldy|otain|otalef|otchoshy|otchdal|otainy	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F002	ANY	DANACH · {N1}	2	11	11	6	4	1	11	YES	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0173|P1008-E0243|P1008-E1093	oteeeon|otchody|otchoshy|otchdal|oteeary|otork|otoram|otora|otydary|otdordy|otorain	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F003	ANY	{N1}	1	91	89	6	4	3	89	YES	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0079|P1003-E0080|P1003-E0081|P1003-E0082|P1003-E0084|P1003-E0087|P1003-E0088|P1003-E0413|P1003-E0414|P1003-E0415|P1003-E0417|P1003-E0458|P1003-E0459|P1003-E0460|P1003-E0554|P1003-E0555|P1003-E0556|P1003-E0557|P1003-E0596|P1003-E0597|P1003-E0599|P1003-E0606|P1003-E0609|P1003-E0641|P1003-E0642|P1003-E0646|P1008-E0127|P1008-E0128|P1008-E0133|P1008-E0135|P1008-E0139|P1008-E0172|P1008-E0173|P1008-E0190|P1008-E0191|P1008-E0193|P1008-E0194|P1008-E0243|P1008-E0246|P1008-E0247|P1008-E0250|P1008-E0251|P1008-E0280|P1008-E0284|P1008-E0286|P1008-E0287|P1008-E0350|P1008-E0352|P1008-E0353|P1008-E0356|P1008-E0359|P1008-E0363|P1008-E0364|P1008-E0365|P1008-E0367|P1008-E0409|P1008-E0410|P1008-E0411|P1008-E0414|P1008-E0417|P1008-E0418|P1008-E0421|P1008-E0423|P1008-E0424|P1008-E0452|P1008-E0453|P1008-E0454|P1008-E0455|P1008-E0457|P1008-E0459|P1008-E1039|P1008-E1040|P1008-E1041|P1008-E1042|P1008-E1093|P1008-E1175|P1008-E1176|P1008-E1177|P1008-E1179|P1008-E1180|P1008-E1181|P1008-E1182|P1008-E1228|P1008-E1233|P1008-E1300|P1008-E1301|P1008-E1409|P1008-E1410|P1008-E1412	oteeeon|oiil|arom|chfaly|otchody|opalar|opalor|ofaom|otalody|sholshdy|oshodady|chdaiirdainy	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F004	ANY	AUSGANG	1	50	45	5	3	3	34	NO	YES	f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0081|P1003-E0416|P1003-E0417|P1003-E0554|P1003-E0555|P1003-E0557|P1003-E0595|P1003-E0596|P1003-E0598|P1003-E0602|P1003-E0603|P1003-E0604|P1003-E0606|P1003-E0610|P1003-E0644|P1003-E0645|P1008-E0130|P1008-E0131|P1008-E0134|P1008-E0136|P1008-E0143|P1008-E0171|P1008-E0175|P1008-E0192|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0242|P1008-E0243|P1008-E0248|P1008-E0250|P1008-E0284|P1008-E0287|P1008-E0353|P1008-E0418|P1008-E0420|P1008-E0421|P1008-E0453|P1008-E0455|P1008-E0456|P1008-E0458|P1008-E1042|P1008-E1177|P1008-E1412|P1008-E1413	char|arom|okolar|okaraiin|otar|ar|opalar|shar|ary|otaraldy|sharam|ofaralar	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F005	ANY	AUSGANG · {N1}	2	7	7	4	2	2	7	YES	YES	f71v|f72r|f88v|f89r	CELESTIAL|PHARMA	CATALOGUE|INSTRUCTION	P1003-E0417|P1003-E0555|P1003-E0596|P1008-E0250|P1008-E0287|P1008-E0421|P1008-E1042	arom|orary|okarcham|orara|arody|otydary|ararchodaiin	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F006	ANY	{N1} · ZIELORT	2	18	18	4	3	3	18	YES	YES	f71v|f72r|f77r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0087|P1003-E0597|P1003-E0606|P1003-E0609|P1008-E0133|P1008-E0173|P1008-E0194|P1008-E0247|P1008-E0280|P1008-E0286|P1008-E0350|P1008-E0417|P1008-E0452|P1008-E0454|P1008-E0459|P1008-E1176|P1008-E1182|P1008-E1410	chfaly|opalar|opalor|ytalshdy|otchdal|okealar|okeal|ralal|ainaly|olkalaiin|eeesaly|opalal	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F007	ANY	{N1} · ZIELORT · POSTEN	3	3	3	2	1	1	3	YES	NO	f71v|f72r	CELESTIAL	CATALOGUE	P1003-E0597|P1008-E0286|P1008-E0417	chfaly|ainaly|eeesaly	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F008	ANY	ZIELORT	1	51	48	5	3	3	44	NO	YES	f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0087|P1003-E0413|P1003-E0554|P1003-E0597|P1003-E0600|P1003-E0605|P1003-E0606|P1003-E0609|P1003-E0642|P1003-E0643|P1008-E0132|P1008-E0133|P1008-E0135|P1008-E0136|P1008-E0139|P1008-E0171|P1008-E0173|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0238|P1008-E0239|P1008-E0240|P1008-E0247|P1008-E0249|P1008-E0279|P1008-E0280|P1008-E0282|P1008-E0283|P1008-E0286|P1008-E0350|P1008-E0351|P1008-E0357|P1008-E0360|P1008-E0409|P1008-E0410|P1008-E0417|P1008-E0419|P1008-E0420|P1008-E0424|P1008-E0452|P1008-E0454|P1008-E0458|P1008-E0459|P1008-E1176|P1008-E1182|P1008-E1410|P1008-E1411	chfaly|alcphy|aly|opalar|opalor|otalody|otalaiin|okalam|ytalshdy|alif|otaraldy|otalef	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F009	ANY	ZIELORT · POSTEN	2	12	12	3	2	3	10	NO	NO	f71v|f72r|f89r	CELESTIAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0597|P1003-E0605|P1008-E0136|P1008-E0236|P1008-E0239|P1008-E0249|P1008-E0282|P1008-E0286|P1008-E0351|P1008-E0360|P1008-E0417|P1008-E1411	chfaly|aly|otaraldy|okaly|otalshy|ainaly|olalsy|alaly|eeesaly|otalsy	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-F010	ANY	POSTEN	1	42	40	4	2	3	34	NO	YES	f71v|f72r|f88v|f89r	CELESTIAL|PHARMA	CATALOGUE|COORDINATE|INSTRUCTION	P1003-E0414|P1003-E0597|P1003-E0600|P1003-E0605|P1008-E0128|P1008-E0131|P1008-E0136|P1008-E0140|P1008-E0172|P1008-E0174|P1008-E0175|P1008-E0176|P1008-E0236|P1008-E0239|P1008-E0241|P1008-E0242|P1008-E0245|P1008-E0249|P1008-E0282|P1008-E0286|P1008-E0351|P1008-E0360|P1008-E0361|P1008-E0365|P1008-E0412|P1008-E0413|P1008-E0414|P1008-E0417|P1008-E1038|P1008-E1090|P1008-E1175|P1008-E1178|P1008-E1179|P1008-E1180|P1008-E1229|P1008-E1232|P1008-E1296|P1008-E1298|P1008-E1299|P1008-E1411	chfaly|alcphy|aly|chdaiirdainy|ary|otaraldy|ys|otchoshy|okeey|otainy|okaly|dy	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
