fragment_id	active_model	semantic_fragment	component_length	occurrence_count	event_count	page_count	register_count	model_count	surface_type_count	contains_name_slot	touches_residual_event	pages	registers	models	event_ids	surface_examples	claim_status
G482-C001	CATALOGUE	DANACH	1	16	16	6	4	1	16	NO	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE	P1003-E0079|P1003-E0084|P1003-E0088|P1003-E0416|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1003-E0642|P1008-E0172|P1008-E0173|P1008-E0243|P1008-E1041|P1008-E1093|P1008-E1228	oteeeon|otchody|otalody|otchoshy|otchdal|oteeary|otork|dotedy|otar|otoram|otora|otydary	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C002	CATALOGUE	DANACH · {N1}	2	11	11	6	4	1	11	YES	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0173|P1008-E0243|P1008-E1093	oteeeon|otchody|otchoshy|otchdal|oteeary|otork|otoram|otora|otydary|otdordy|otorain	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C003	CATALOGUE	{N1}	1	61	60	6	4	1	60	YES	YES	f17r|f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	CATALOGUE	P1003-E0079|P1003-E0080|P1003-E0081|P1003-E0082|P1003-E0084|P1003-E0087|P1003-E0088|P1003-E0415|P1003-E0417|P1003-E0458|P1003-E0459|P1003-E0460|P1003-E0554|P1003-E0555|P1003-E0556|P1003-E0557|P1003-E0596|P1003-E0597|P1003-E0599|P1003-E0609|P1003-E0641|P1003-E0642|P1008-E0128|P1008-E0135|P1008-E0172|P1008-E0173|P1008-E0190|P1008-E0243|P1008-E0250|P1008-E0280|P1008-E0284|P1008-E0286|P1008-E0352|P1008-E0359|P1008-E0363|P1008-E0409|P1008-E0410|P1008-E0411|P1008-E0417|P1008-E0418|P1008-E0421|P1008-E0423|P1008-E0452|P1008-E0453|P1008-E0454|P1008-E0455|P1008-E1041|P1008-E1042|P1008-E1093|P1008-E1176|P1008-E1177|P1008-E1179|P1008-E1180|P1008-E1181|P1008-E1228|P1008-E1233|P1008-E1300|P1008-E1409|P1008-E1410|P1008-E1412	oteeeon|oiil|arom|chfaly|otchody|opalor|ofaom|otalody|chdaiirdainy|alif|otchoshy|otchdal	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C004	CATALOGUE	AUSGANG	1	25	21	5	3	1	20	NO	YES	f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE	P1003-E0081|P1003-E0416|P1003-E0417|P1003-E0554|P1003-E0555|P1003-E0557|P1003-E0595|P1003-E0596|P1003-E0610|P1008-E0134|P1008-E0243|P1008-E0250|P1008-E0284|P1008-E0418|P1008-E0421|P1008-E0453|P1008-E0455|P1008-E0456|P1008-E1042|P1008-E1177|P1008-E1412	char|arom|ar|oteeary|orary|chosar|ykaraiin|orara|yfary|ytoar|shar|darchdar	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C005	CATALOGUE	AUSGANG · {N1}	2	6	6	4	2	1	6	YES	YES	f71v|f72r|f88v|f89r	CELESTIAL|PHARMA	CATALOGUE	P1003-E0417|P1003-E0555|P1003-E0596|P1008-E0250|P1008-E0421|P1008-E1042	arom|orary|orara|arody|otydary|ararchodaiin	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C006	CATALOGUE	{N1} · ZIELORT	2	11	11	4	3	1	11	YES	YES	f71v|f72r|f77r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE	P1003-E0087|P1003-E0597|P1003-E0609|P1008-E0173|P1008-E0280|P1008-E0286|P1008-E0417|P1008-E0452|P1008-E0454|P1008-E1176|P1008-E1410	chfaly|opalor|otchdal|ralal|ainaly|eeesaly|opalal|oraiiral|soral|saldam|ofakal	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C007	CATALOGUE	{N1} · ZIELORT · POSTEN	3	3	3	2	1	1	3	YES	NO	f71v|f72r	CELESTIAL	CATALOGUE	P1003-E0597|P1008-E0286|P1008-E0417	chfaly|ainaly|eeesaly	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C008	CATALOGUE	ZIELORT	1	21	18	5	3	1	18	NO	YES	f71v|f72r|f77r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	CATALOGUE	P1003-E0087|P1003-E0554|P1003-E0597|P1003-E0609|P1003-E0642|P1008-E0135|P1008-E0173|P1008-E0280|P1008-E0286|P1008-E0360|P1008-E0409|P1008-E0410|P1008-E0417|P1008-E0419|P1008-E0452|P1008-E0454|P1008-E1176|P1008-E1410	chfaly|opalor|otalody|alif|otchdal|ralal|ainaly|alaly|oralkam|ytairal|eeesaly|airal	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C009	CATALOGUE	ZIELORT · POSTEN	2	4	4	2	1	1	4	NO	NO	f71v|f72r	CELESTIAL	CATALOGUE	P1003-E0597|P1008-E0286|P1008-E0360|P1008-E0417	chfaly|ainaly|alaly|eeesaly	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
G482-C010	CATALOGUE	POSTEN	1	9	9	3	2	1	9	NO	NO	f71v|f72r|f89r	CELESTIAL|PHARMA	CATALOGUE	P1003-E0597|P1008-E0128|P1008-E0172|P1008-E0286|P1008-E0360|P1008-E0417|P1008-E1179|P1008-E1180|P1008-E1229	chfaly|chdaiirdainy|otchoshy|ainaly|alaly|eeesaly|odory|doly|y	OBSERVED_COMPONENT_FRAGMENT__NO_NEW_MEANING
