tile_id	source_event_id	record_id	bundle_id	physical_page	register	active_model	surface	working_recipe	token_count	semantic_token_sequence	name_slot_count	conditioned_tile_class	conditioned_recurrent_token_count	conditioned_multi_fragment_token_count	conditioned_segment_count	conditioned_local_token_count	conditioned_local_tokens	conditioned_tile_trace	free_tile_class	free_recurrent_token_count	free_multi_fragment_token_count	free_segment_count	free_local_token_count	free_local_tokens	free_tile_trace	residual_interpretation	model_free_coverage_upgrade	model_free_multi_fragment_upgrade	definitive_event_reading_de	all_source_meanings_preserved
G482-T001	P1003-E0598	G475-R004	G474-B004	f71v	CELESTIAL	INSTRUCTION	okolar	OK+OL+AR	3	SETZEN · FORTSETZEN · AUSGANG	0	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[SETZEN · FORTSETZEN ×2] + [AUSGANG ×12]	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[SETZEN · FORTSETZEN ×2] + [AUSGANG ×44]	MODEL_CONDITIONED_RECURRENT	0	0	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES
G482-T002	P1003-E0600	G475-R006	G474-B006	f71v	CELESTIAL	INSTRUCTION	alcphy	AL+CH+P+Y	4	ZIELORT · NEHMEN · EINSETZEN · POSTEN	0	RECURRENT_ATOMS_ONLY	4	0	4	0	NONE	[ZIELORT ×17] + [NEHMEN ×9] + [EINSETZEN ×1] + [POSTEN ×18]	RECURRENT_ATOMS_ONLY	4	0	4	0	NONE	[ZIELORT ×47] + [NEHMEN ×9] + [EINSETZEN ×1] + [POSTEN ×39]	MODEL_CONDITIONED_RECURRENT	0	0	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	YES
G482-T003	P1003-E0642	G475-R013	G474-B013	f71v	CELESTIAL	CATALOGUE	otalody	OT+AL	3	DANACH · ZIELORT · {N1}	1	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[DANACH ×15] + [ZIELORT · {N1} ×2]	FULL_RECURRENT_MULTI_FRAGMENT_TILE	3	3	1	0	NONE	[DANACH · ZIELORT · {N1} ×1]	MODEL_CONDITIONED_RECURRENT	0	1	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	YES
G482-T004	P1003-E0646	G475-R016	G474-B016	f71v	CELESTIAL	INSTRUCTION	sholshdy	SH+OL+SH	4	HALTEN · FORTSETZEN · HALTEN · {N1}	1	FULL_RECURRENT_MULTI_FRAGMENT_TILE	4	4	2	0	NONE	[HALTEN · FORTSETZEN ×2] + [HALTEN · {N1} ×1]	FULL_RECURRENT_MULTI_FRAGMENT_TILE	4	4	2	0	NONE	[HALTEN · FORTSETZEN ×2] + [HALTEN · {N1} ×1]	MODEL_CONDITIONED_RECURRENT	0	0	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.	YES
G482-T005	P1008-E0127	G475-R017	G474-B017	f72r	CELESTIAL	INSTRUCTION	oshodady	SH	3	{N1} · HALTEN · {N2}	2	FULL_RECURRENT_MULTI_FRAGMENT_TILE	3	3	1	0	NONE	[{N1} · HALTEN · {N2} ×1]	FULL_RECURRENT_MULTI_FRAGMENT_TILE	3	3	1	0	NONE	[{N1} · HALTEN · {N2} ×1]	MODEL_CONDITIONED_RECURRENT	0	0	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	YES
G482-T006	P1008-E0171	G475-R027	G474-B027	f72r	CELESTIAL	COORDINATE	ofaralar	O+LOCAL_CHAR_F+AR+AL+AR	5	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	0	MIXED_RECURRENT_MULTI_PLUS_ATOMS	5	2	4	0	NONE	[AUSFÜHRUNG ×3] + [HIER ×4] + [AUSGANG · ZIELORT ×3] + [AUSGANG ×10]	MIXED_RECURRENT_MULTI_PLUS_ATOMS	5	4	3	0	NONE	[AUSFÜHRUNG · HIER ×5] + [AUSGANG · ZIELORT ×3] + [AUSGANG ×44]	MODEL_CONDITIONED_RECURRENT	0	2	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	YES
G482-T007	P1008-E0173	G475-R029	G474-B029	f72r	CELESTIAL	CATALOGUE	otchdal	OT+AL	3	DANACH · {N1} · ZIELORT	1	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[DANACH · {N1} ×10] + [ZIELORT ×17]	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[DANACH · {N1} ×10] + [ZIELORT ×47]	MODEL_CONDITIONED_RECURRENT	0	0	Sternstelle »ch« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Sternstelle »ch«.	YES
G482-T008	P1008-E0176	G475-R031	G474-B031	f72r	CELESTIAL	COORDINATE	otainy	OT+AIN+Y	3	DANACH · ANTEIL · POSTEN	0	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[DANACH · ANTEIL ×1] + [POSTEN ×11]	MIXED_RECURRENT_MULTI_PLUS_ATOMS	3	2	2	0	NONE	[DANACH · ANTEIL ×1] + [POSTEN ×39]	MODEL_CONDITIONED_RECURRENT	0	0	Adressspur: danach → Sektoranteil → Positionsposten. Reihenfolge konkret: OT — danach Anteil.	YES
G482-T009	P1008-E0191	G475-R033	G474-B033	f72r	CELESTIAL	INSTRUCTION	oklairdy	OK+AIR	4	SETZEN · {N1} · BAHN · {N2}	2	MIXED_RECURRENT_MULTI_PLUS_ATOMS	4	2	3	0	NONE	[SETZEN · {N1} ×3] + [BAHN ×3] + [{N2} ×5]	MIXED_RECURRENT_MULTI_PLUS_ATOMS	4	2	3	0	NONE	[SETZEN · {N1} ×3] + [BAHN ×6] + [{N2} ×14]	MODEL_CONDITIONED_RECURRENT	0	0	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	YES
G482-T010	P1008-E0194	G475-R036	G474-B036	f72r	CELESTIAL	INSTRUCTION	okealar	OK+AL+AR	4	SETZEN · {N1} · ZIELORT · AUSGANG	1	FULL_RECURRENT_MULTI_FRAGMENT_TILE	4	4	2	0	NONE	[SETZEN · {N1} ×3] + [ZIELORT · AUSGANG ×2]	FULL_RECURRENT_MULTI_FRAGMENT_TILE	4	4	2	0	NONE	[SETZEN · {N1} ×3] + [ZIELORT · AUSGANG ×4]	MODEL_CONDITIONED_RECURRENT	0	0	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	YES
