segment_id	source_event_id	tile_mode	segment_ordinal	start_component_ordinal	component_length	semantic_fragment	recurrent_in_other_event	donor_event_count	donor_event_ids	donor_page_count	donor_register_count	donor_surface_examples	contains_name_slot
G482-S001	P1003-E0598	MODEL_CONDITIONED	1	1	2	SETZEN · FORTSETZEN	YES	2	P1003-E0418|P1008-E1230	2	1	otokol|okol	NO
G482-S002	P1003-E0598	MODEL_CONDITIONED	2	3	1	AUSGANG	YES	12	P1003-E0602|P1003-E0644|P1003-E0645|P1008-E0143|P1008-E0175|P1008-E0192|P1008-E0194|P1008-E0237|P1008-E0242|P1008-E0287|P1008-E0353|P1008-E0420	2	1	okaraiin|otar|shar|sharam|ary|okaram|okealar|okalar|okarcham|osarsheeeo	NO
G482-S003	P1003-E0598	MODEL_FREE_BACKOFF	1	1	2	SETZEN · FORTSETZEN	YES	2	P1003-E0418|P1008-E1230	2	1	otokol|okol	NO
G482-S004	P1003-E0598	MODEL_FREE_BACKOFF	2	3	1	AUSGANG	YES	44	P1003-E0081|P1003-E0416|P1003-E0417|P1003-E0554|P1003-E0555|P1003-E0557|P1003-E0595|P1003-E0596|P1003-E0602|P1003-E0603|P1003-E0604|P1003-E0606|P1003-E0610|P1003-E0644|P1003-E0645|P1008-E0130|P1008-E0131|P1008-E0134|P1008-E0136|P1008-E0143|P1008-E0171|P1008-E0175|P1008-E0192|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0242|P1008-E0243|P1008-E0248|P1008-E0250|P1008-E0284|P1008-E0287|P1008-E0353|P1008-E0418|P1008-E0420|P1008-E0421|P1008-E0453|P1008-E0455|P1008-E0456|P1008-E0458|P1008-E1042|P1008-E1177|P1008-E1412|P1008-E1413	5	3	darchdar|otar|arody|daramdal|otydary|dararda|char|arom|okaraiin|ar|opalar|shar|ary|otaraldy|sharam|ofaralar|okaram|okealar|okalar|oteeary|orary|chosar|okarcham|osarsheeeo|ykaraiin|orara|yfary|ytoar|aral|ararchodaiin|sydarary|ytarem|otolarol	NO
G482-S005	P1003-E0600	MODEL_CONDITIONED	1	1	1	ZIELORT	YES	17	P1003-E0413|P1008-E0132|P1008-E0133|P1008-E0139|P1008-E0194|P1008-E0237|P1008-E0238|P1008-E0239|P1008-E0240|P1008-E0247|P1008-E0249|P1008-E0283|P1008-E0350|P1008-E0357|P1008-E0420|P1008-E0424|P1008-E1182	3	2	okalyd|okalam|ytalshdy|otalef|okealar|okalar|okal|okaly|okeal|okaldy|olkalaiin|al|olfsheoral|saloiinsheol	NO
G482-S006	P1003-E0600	MODEL_CONDITIONED	2	2	1	NEHMEN	YES	9	P1003-E0414|P1008-E0358|P1008-E0413|P1008-E0457|P1008-E1038|P1008-E1092|P1008-E1175|P1008-E1183|P1008-E1299	3	2	cheocthy|ches|ochey|octho|okchshy|ykocfhy|opcheor|cheody	NO
G482-S007	P1003-E0600	MODEL_CONDITIONED	3	3	1	EINSETZEN	YES	1	P1008-E1183	1	1	opcheor	NO
G482-S008	P1003-E0600	MODEL_CONDITIONED	4	4	1	POSTEN	YES	18	P1003-E0414|P1008-E0140|P1008-E0174|P1008-E0175|P1008-E0239|P1008-E0241|P1008-E0242|P1008-E0249|P1008-E0365|P1008-E0413|P1008-E0414|P1008-E1038|P1008-E1090|P1008-E1175|P1008-E1232|P1008-E1296|P1008-E1298|P1008-E1299	3	2	cheocthy|ys|okeey|ary|okaly|opoeey|ochey|fydy|okchshy|ykyd|ykocfhy|dy|korainy|cheys|cheody	NO
G482-S009	P1003-E0600	MODEL_FREE_BACKOFF	1	1	1	ZIELORT	YES	47	P1003-E0087|P1003-E0413|P1003-E0554|P1003-E0597|P1003-E0605|P1003-E0606|P1003-E0609|P1003-E0642|P1003-E0643|P1008-E0132|P1008-E0133|P1008-E0135|P1008-E0136|P1008-E0139|P1008-E0171|P1008-E0173|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0238|P1008-E0239|P1008-E0240|P1008-E0247|P1008-E0249|P1008-E0279|P1008-E0280|P1008-E0282|P1008-E0283|P1008-E0286|P1008-E0350|P1008-E0351|P1008-E0357|P1008-E0360|P1008-E0409|P1008-E0410|P1008-E0417|P1008-E0419|P1008-E0420|P1008-E0424|P1008-E0452|P1008-E0454|P1008-E0458|P1008-E0459|P1008-E1176|P1008-E1182|P1008-E1410|P1008-E1411	5	3	soral|okalyd|daramdal|chfaly|aly|opalar|opalor|otalody|otalaiin|okalam|ytalshdy|alif|otaraldy|otalef|ofaralar|otchdal|okealar|okalar|okal|okaly|okeal|otal|ralal|otalshy|okaldy|ainaly|olkalaiin|olalsy|al|alaly|oralkam|ytairal|eeesaly|airal|olfsheoral|opalal|oraiiral|aral|oletal|saldam|saloiinsheol|ofakal|otalsy	NO
G482-S010	P1003-E0600	MODEL_FREE_BACKOFF	2	2	1	NEHMEN	YES	9	P1003-E0414|P1008-E0358|P1008-E0413|P1008-E0457|P1008-E1038|P1008-E1092|P1008-E1175|P1008-E1183|P1008-E1299	3	2	cheocthy|ches|ochey|octho|okchshy|ykocfhy|opcheor|cheody	NO
