sequence_id	source_event_id	record_id	bundle_id	physical_page	register	active_model	surface	working_recipe	literal_working_reading_de	normalized_literal_de	token_count	semantic_tokens	semantic_separators	is_gdt481_single_event_residual	definitive_event_reading_de
G482-E001	P1003-E0079	G475-R001	G474-B001	f17r	HERBAL	CATALOGUE	oteeeon	OT	DANACH · [PFLANZENNAME:eeeon]	DANACH · {N1}	2	DANACH|{N1}	DOT	NO	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.
G482-E002	P1003-E0080	G475-R001	G474-B001	f17r	HERBAL	CATALOGUE	oiil	NONE	[PFLANZENNAME:oiil]	{N1}	1	{N1}	NONE	NO	Pflanzenname »oiil«.
G482-E003	P1003-E0595	G475-R002	G474-B002	f71v	CELESTIAL	CATALOGUE	char	AR	AUSGANG	AUSGANG	1	AUSGANG	NONE	NO	Eintrag »char« — Ausgangszuordnung.
G482-E004	P1003-E0596	G475-R002	G474-B002	f71v	CELESTIAL	CATALOGUE	arom	AR	AUSGANG · [STERNSTELLENNAME:om]	AUSGANG · {N1}	2	AUSGANG|{N1}	DOT	NO	Sternstelle »om« — Ausgangszuordnung.
G482-E005	P1003-E0597	G475-R003	G474-B003	f71v	CELESTIAL	CATALOGUE	chfaly	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	{N1} · ZIELORT · POSTEN	3	{N1}|ZIELORT|POSTEN	DOT|DOT	NO	Sternstelle »chf« — Zielzuordnung, Postenangabe.
G482-E006	P1003-E0598	G475-R004	G474-B004	f71v	CELESTIAL	INSTRUCTION	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	SETZEN · FORTSETZEN · AUSGANG	3	SETZEN|FORTSETZEN|AUSGANG	DOT|DOT	YES	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.
G482-E007	P1003-E0599	G475-R005	G474-B005	f71v	CELESTIAL	CATALOGUE	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	DANACH · {N1}	2	DANACH|{N1}	DOT	NO	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.
G482-E008	P1003-E0600	G475-R006	G474-B006	f71v	CELESTIAL	INSTRUCTION	alcphy	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	ZIELORT · NEHMEN · EINSETZEN · POSTEN	4	ZIELORT|NEHMEN|EINSETZEN|POSTEN	DOT|DOT|DOT	YES	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.
G482-E009	P1003-E0601	G475-R007	G474-B007	f71v	CELESTIAL	COORDINATE	otaiin	OT+AIIN	DANACH · WERT	DANACH · WERT	2	DANACH|WERT	DOT	NO	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.
G482-E010	P1003-E0602	G475-R008	G474-B008	f71v	CELESTIAL	INSTRUCTION	okaraiin	OK+AR+AIIN	SETZEN · AUSGANG · WERT	SETZEN · AUSGANG · WERT	3	SETZEN|AUSGANG|WERT	DOT|DOT	NO	Setze den Positionswert von der Ausgangsposition.
