local_code	surface	register	drawer	visible_owner_or_default_de	form_recipe_if_any	events	loci	apprentice_rule_de
B-L001	chtorol	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.45)	CH+T+OR+OL	1	f83r.45	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L002	dainy	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 7	AIN+Y	1	f75r.53	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L003	daly	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 2	AL+Y	1	f75r.48	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L004	dara	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 3	D_ADDR+AR+A_ADDR	1	f75r.49	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L005	darary	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.38)	DA+R+AR+Y	1	f82r.38	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L006	darol	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.35)	DA+R+OL	1	f82r.35	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L007	darolsy	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.51)	DA+R+OL+S+Y	1	f83r.51	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L008	dolol	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.43)	D_ADDR+OL+OL	1	f82r.43	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L009	okairady	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.39)	OK+AIR+A_ADDR+D_ADDR+Y	1	f82r.39	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L010	okal	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.36)	OK+AL	1	f82r.36	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L011	okaldy	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.37)	OK+AL+DY	1	f82r.37	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L012	okeear	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.45)	OK+EE+AR	1	f82r.45	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L013	okeedy	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 1	OK+EE+DY	1	f75r.47	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L014	okor	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.34)	OK+OR	1	f82r.34	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L015	olaiin	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.44)	OL+AIIN	1	f82r.44	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L016	olkal	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	OL+K+AL	1	f81v.28	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L017	olkoky	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.41)	OL+K+OK+Y	1	f82r.41	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L018	olsaiin	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.46)	OL+S+AIIN	1	f83r.46	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L019	oroldair	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.10)	OR+OL+D_ADDR+AIR	1	f82r.10	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L020	otain	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	OT+AIN	1	f81v.28	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L021	saino	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 5	S+AIN+O	1	f75r.51	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L022	sal	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 1	S+AL	1	f75r.47	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L023	saldy	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 6	S+AL+DY	1	f75r.52	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L024	sasoldal	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.50)	S+A_ADDR+S+OL+DA+L	1	f83r.50	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L025	sokoly	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.42)	S+OK+OL+Y	1	f82r.42	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L026	sols	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 3	OL+S	1	f75r.49	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L027	sororl	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.40)	S+OR+OR+L	1	f82r.40	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L028	ychey	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 2	Y+Y	1	f75r.48	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-L029	ychty	BIOLOGICAL	PICTURED_NAME_OR_CLASS	Kennung der lower pool label 4	Y+CH+T+Y	1	f75r.50	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W001	checphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W001 aus	WHOLE[checphedy]	1	f83r.9	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W002	cphal	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W002 aus	WHOLE[cphal]	1	f82r.20	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W003	cphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W003 aus	WHOLE[cphedy]	1	f81v.8	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W004	daiidy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W004 aus	WHOLE[daiidy]	1	f81v.9	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W005	dedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W005 aus	WHOLE[dedy]	1	f81v.19	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W006	kam	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W006 aus	WHOLE[kam]	1	f82r.11	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W007	kedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W007 aus	WHOLE[kedy]	1	f82r.15	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W008	kesd	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W008 aus	WHOLE[kesd]	1	f83r.29	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W009	lchcphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W009 aus	WHOLE[lchcphedy]	1	f83r.13	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W010	lkedey	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W010 aus	WHOLE[lkedey]	1	f81v.12	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
