locus_reading_id	physical_page	source_page	register	locus	usage_class	visible_owner_de	groups	source_sequence	workshop_flow_de	sentence_boundary_claim
P910-L001	f10r	f10r	HERBAL	f10r.1	PROSE	abgebildeter Pflanzenartikel f10r	8	pchocthy shor octhody chorchy pchodol chopchal ypch kom	setze den Teil ein; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug; halte den Ansatz; mit dem Pflanzenansatz; fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; fuehre den Verarbeitungsgang aus; an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; nimm den bezeichneten Pflanzenteil; mit dem aktuellen Posten oder Bezug; setze den Teil ein; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; an der Teil- oder Unteradresse; fahre fort; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; setze den Teil ein; nimm den bezeichneten Pflanzenteil; an der Arbeitsstelle; mit dem aktuellen Posten oder Bezug; setze den Teil ein; nimm den bezeichneten Pflanzenteil; fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W006 aus	NONE__PHYSICAL_LOCUS_ONLY
P910-L002	f10r	f10r	HERBAL	f10r.2	PROSE	abgebildeter Pflanzenartikel f10r	10	dchey cthoor char chty os chair otytchol oky daiin etyd	nimm den bezeichneten Pflanzenteil; im kurzen Grad; mit dem aktuellen Posten oder Bezug; pruefe den Zubereitungsstatus; fuehre den Verarbeitungsgang aus; mit dem Pflanzenansatz; von der Entnahmeseite; nimm den bezeichneten Pflanzenteil; bearbeite den Teil; mit dem aktuellen Posten oder Bezug; dazu oder ebenfalls; nimm den bezeichneten Pflanzenteil; ueber den Verarbeitungsweg; danach oder an der naechsten Stelle; mit dem aktuellen Posten oder Bezug; bearbeite den Teil; nimm den bezeichneten Pflanzenteil; fahre fort; setze die Zubereitung an; mit dem aktuellen Posten oder Bezug; nach vorgeschriebenem Mass; im kurzen Grad; bearbeite den Teil; mit dem aktuellen Posten oder Bezug	NONE__PHYSICAL_LOCUS_ONLY
P910-L003	f10r	f10r	HERBAL	f10r.3	PROSE	abgebildeter Pflanzenartikel f10r	11	qotor o tchy daiin chocthy qotchy chol or yty dy dy	danach oder an der naechsten Stelle; mit dem Pflanzenansatz; fuehre den Verarbeitungsgang aus; bearbeite den Teil; mit dem aktuellen Posten oder Bezug; nach vorgeschriebenem Mass; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug; danach oder an der naechsten Stelle; mit dem aktuellen Posten oder Bezug; fahre fort; mit dem Pflanzenansatz; fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W010 aus; mit dem aktuellen Posten oder Bezug; mit dem aktuellen Posten oder Bezug	NONE__PHYSICAL_LOCUS_ONLY
P910-L004	f10r	f10r	HERBAL	f10r.4	PROSE	abgebildeter Pflanzenartikel f10r	10	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	pruefe oder fahre fort; mit dem Pflanzenansatz; nimm den bezeichneten Pflanzenteil; nach vorgeschriebenem Mass; nimm den bezeichneten Pflanzenteil; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug; pruefe den Zubereitungsstatus; fuehre den Verarbeitungsgang aus; fuehre durch den Seih- oder Durchlassweg; mit dem aktuellen Posten oder Bezug; mit dem Pflanzenansatz; nach vorgeschriebenem Mass; nimm den bezeichneten Pflanzenteil; bearbeite den Teil; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W004 aus; fuehre den Verarbeitungsgang aus; schliesse die Teilfolge	NONE__PHYSICAL_LOCUS_ONLY
P910-L005	f10r	f10r	HERBAL	f10r.5	PROSE	abgebildeter Pflanzenartikel f10r	4	qokchy qotchol chol cthy	setze die Zubereitung an; mit dem aktuellen Posten oder Bezug; danach oder an der naechsten Stelle; nimm den bezeichneten Pflanzenteil; fahre fort; fahre fort; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug	NONE__PHYSICAL_LOCUS_ONLY
P910-L006	f10r	f10r	HERBAL	f10r.6	PROSE	abgebildeter Pflanzenartikel f10r	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	mit dem aktuellen Posten oder Bezug; verwende den Auszug; setze den markierten Zustand; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; pruefe den Zubereitungsstatus; nach vorgeschriebenem Mass; fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; fahre fort; mit dem aktuellen Posten oder Bezug; mit dem aktuellen Posten oder Bezug; mit dem aktuellen Posten oder Bezug; bearbeite den Teil; nach vorgeschriebenem Mass; mit dem aktuellen Posten oder Bezug	NONE__PHYSICAL_LOCUS_ONLY
P910-L007	f10r	f10r	HERBAL	f10r.7	PROSE	abgebildeter Pflanzenartikel f10r	10	dchy qokchol y kchaiin yty daiin cth dain dair am	an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug; setze die Zubereitung an; fahre fort; mit dem aktuellen Posten oder Bezug; gib den bezeichneten Teil hinzu; nimm den bezeichneten Pflanzenteil; nach vorgeschriebenem Mass; fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W010 aus; nach vorgeschriebenem Mass; pruefe den Zubereitungsstatus; eine Portion oder Einheit; an der Teil- oder Unteradresse; ueber den Verarbeitungsweg; an der lokalen M-Adresse	NONE__PHYSICAL_LOCUS_ONLY
P910-L008	f10r	f10r	HERBAL	f10r.8	PROSE	abgebildeter Pflanzenartikel f10r	8	qotchor chor otol chol cholor chol daiin dar	danach oder an der naechsten Stelle; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; danach oder an der naechsten Stelle; fahre fort; fahre fort; fahre fort; mit dem Pflanzenansatz; fahre fort; nach vorgeschriebenem Mass; an der Teil- oder Unteradresse; von der Entnahmeseite	NONE__PHYSICAL_LOCUS_ONLY
P910-L009	f10r	f10r	HERBAL	f10r.9	PROSE	abgebildeter Pflanzenartikel f10r	7	oykchor shor chor chy kaiiin dy chodaiin	fuehre den Verarbeitungsgang aus; mit dem aktuellen Posten oder Bezug; gib den bezeichneten Teil hinzu; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; halte den Ansatz; mit dem Pflanzenansatz; nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; mit dem aktuellen Posten oder Bezug; gib den bezeichneten Teil hinzu; an der lokalen Adresse; verwende das lokale I-Kennzeichen; auf der angegebenen Stufe oder am Index; mit dem aktuellen Posten oder Bezug; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; an der Teil- oder Unteradresse; nach vorgeschriebenem Mass	NONE__PHYSICAL_LOCUS_ONLY
P910-L010	f10r	f10r	HERBAL	f10r.10	PROSE	abgebildeter Pflanzenartikel f10r	6	oqotor otor cfhy cthor osain ytoiin	fuehre den Verarbeitungsgang aus; danach oder an der naechsten Stelle; mit dem Pflanzenansatz; danach oder an der naechsten Stelle; mit dem Pflanzenansatz; presse den Teil aus; mit dem aktuellen Posten oder Bezug; pruefe den Zubereitungsstatus; mit dem Pflanzenansatz; fuehre den Verarbeitungsgang aus; pruefe oder fahre fort; eine Portion oder Einheit; mit dem aktuellen Posten oder Bezug; bearbeite den Teil; fuehre den Verarbeitungsgang aus; auf der angegebenen Stufe oder am Index	NONE__PHYSICAL_LOCUS_ONLY
