physical_page	source_selectors	register	visible_owner_de	loci	groups	surface_types	learned_component_events	new_component_events	local_sign_component_events	local_nomenclator_events	local_workshop_card_events	page_reading_de	fluent_page_translation_de
f10r	f10r	HERBAL	abgebildeter Pflanzenartikel f10r	12	92	72	50	37	1	0	4	Bildbesessener Pflanzenartikel: Stoff oder Teil waehlen, Menge und Arbeitsgang setzen, bearbeiten und weiterfuehren.	Nimm den bezeichneten Teil der abgebildeten Pflanze, ordne Portion und Sollmass zu und setze den Arbeitsgang an. Fuehre den Ansatz ueber die angegebenen Teil- und Anschlussstellen weiter, halte oder bearbeite ihn nach Grad und schliesse nur die markierten Teilgaenge.
f11r	f11r	HERBAL	abgebildeter Pflanzenartikel f11r	7	59	42	38	18	0	0	3	Bildbesessener Pflanzenartikel: Stoff oder Teil waehlen, Menge und Arbeitsgang setzen, bearbeiten und weiterfuehren.	Arbeite aus der abgebildeten Pflanze einen neuen Posten heraus, bemiss ihn und fuehre ihn in den laufenden Ansatz. Wechsle zwischen Entnahme-, Arbeits- und Aufnahmestelle, lasse die bezeichneten Stufen ablaufen und nimm den vorigen Posten wieder auf, wenn die Karte darauf verweist.
f13r	f13r	HERBAL	grosse abgebildete Pflanze mit Knollenwurzel	10	77	61	76	0	1	0	0	Bildbesessener Pflanzenartikel: Stoff oder Teil waehlen, Menge und Arbeitsgang setzen, bearbeiten und weiterfuehren.	Setze einen Teil der grossen abgebildeten Pflanze in den Arbeitsgang, halte den Ansatz und nimm an den bezeichneten Stellen Material ab. Gib nach Mass zu, bearbeite und fuehre weiter, presse oder leite durch den Durchlass und schliesse den fertigen Teilgang.
f55v	f55v	HERBAL	abgebildeter Pflanzenartikel f55v	12	106	74	77	26	1	0	2	Bildbesessener Pflanzenartikel: Stoff oder Teil waehlen, Menge und Arbeitsgang setzen, bearbeiten und weiterfuehren.	Waehle den dargestellten Pflanzenstoff, setze Portionen und Mass und fuehre ihn durch die aufeinanderfolgenden Arbeitsstellen. Halte, wasche, presse oder sammle den Posten je nach Karte; fuehre den Ansatz danach weiter und bearbeite ihn an der Nebenstelle.
f56r	f56r	HERBAL	abgebildeter Pflanzenartikel f56r	19	105	81	56	46	1	0	2	Bildbesessener Pflanzenartikel: Stoff oder Teil waehlen, Menge und Arbeitsgang setzen, bearbeiten und weiterfuehren.	Nimm jeweils den im Bild oder Muster bezeichneten Pflanzenteil und fuehre ihn in den aktuellen Ansatz. Arbeite in kurzen und laengeren Graden durch Entnahme-, Anschluss- und Sammelstellen, halte den Posten bereit und schliesse die ausdrücklich markierten Schritte.
f75r	f75r	BIOLOGICAL	mehrstufige Becken-, Figuren- und Laufseite	53	418	203	408	0	0	10	0	Stationsblatt: Posten an Becken-, Koerper- oder Anschlussstellen setzen, halten, umsetzen und weiterleiten.	Fuehre die Posten von der oberen Mehrstufenanlage ueber Aufnahme-, Ausgangs- und Durchlassstellen zur mittleren und unteren Beckenstation. Setze jede Station kurz oder laenger an, halte und pruefe den Posten, leite ihn weiter und lies die sieben kurzen Beischriften als lokale Stationskennungen.
f81v	f81v	BIOLOGICAL	gemeinsames Bad- und Beckenfeld	28	255	157	193	46	2	2	12	Stationsblatt: Posten an Becken-, Koerper- oder Anschlussstellen setzen, halten, umsetzen und weiterleiten.	Besetze das gemeinsame Bad- und Beckenfeld mit den bezeichneten Posten und halte sie an ihren lokalen Stellen. Fuehre Portionen und Sollmasse durch kurze, laengere und geschlossene Stationsschritte; die kleinen Bildkennungen werden als ganze lokale Werte gelesen.
f82r	f82r	BIOLOGICAL	mehrere lokale Bad- und Leitungsstationen	45	291	173	201	70	0	13	7	Stationsblatt: Posten an Becken-, Koerper- oder Anschlussstellen setzen, halten, umsetzen und weiterleiten.	Arbeite die sichtbaren Bad-, Becken- und Leitungsstationen nacheinander ab, ohne daraus einen einzigen geschlossenen Kreislauf zu machen. Nimm Posten an Ausgangsstellen ab, setze sie an Anschlussstellen ein, leite sie durch lokale Verbindungen und uebernimm Bildkennungen und seltene Arbeitskarten aus dem Stationsmuster.
f83r	f83r	BIOLOGICAL	lokale Becken-, Figuren- und Verbindungsstationen	55	345	199	251	77	3	4	10	Stationsblatt: Posten an Becken-, Koerper- oder Anschlussstellen setzen, halten, umsetzen und weiterleiten.	Fuehre die Posten durch die lokal verbundenen Becken- und Figurenstationen, wobei jeder Besitzerwechsel einen neuen Stationsbezug setzt. Halte, versetze, leite und sammle nach Mass und Grad; behandle nicht verbundene Bildteile als getrennte Arbeitsfaecher und kopiere ihre Kennungen ganz.
f67r2	f67r2	ZODIAC	zwei lokale Himmelsraeder	74	190	157	51	63	4	64	8	Himmelsregister: Ringstelle, Index, Grad und Bezug lesen; lokale Figurenkennungen aus dem Muster uebernehmen.	Lies die beiden Himmelsraeder als getrennte Register: setze Ringstelle, Index, Grad und aktuellen Bezug und gehe dann zur naechsten markierten Stelle. Die zahlreichen kurzen Beischriften sind gelernte Sektor- oder Figurenkennungen, nicht ausgeschriebene Werkstattverben.
