event_id	dictionary_entry_id	physical_page	source_page	register	locus	source_kind	usage_class	line_order	token_index	surface	visible_owner_de	form_analysis_source	component_recipe	meaning_mode	portable_value_de	register_value_de	local_code	fluent_token_de	line_is_sentence_end
P910-E0001	P910-D0683	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	1	pchocthy	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	P+CH+O+CTH+Y	NEW_COMPONENT_COMPOSITION	BEGINNEN ODER EINSETZEN · AUSWAEHLEN ODER ABNEHMEN · AKTIVER REGISTERGANG · BEREIT- ODER STATUSMARKER · AKTUELLER POSTEN ODER BEZUG	Material einsetzen · Pflanzenteil entnehmen · Verarbeitungsgang · Zubereitungsstatus · aktuelles Material		setze den Teil ein; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; mit dem aktuellen Posten oder Bezug	NO
P910-E0002	P910-D0724	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	2	shor	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	SH+OR	NEW_COMPONENT_COMPOSITION	HALTEN ODER FESTHALTEN · ANSATZ ODER ZUBEREITUNG	Ansatz halten · Pflanzenansatz		halte den Ansatz; mit dem Pflanzenansatz	NO
P910-E0003	P910-D0635	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	3	octhody	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	O+CTH+O+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	AKTIVER REGISTERGANG · BEREIT- ODER STATUSMARKER · AKTIVER REGISTERGANG · TEIL- ODER UNTERADRESSE · AKTUELLER POSTEN ODER BEZUG	Verarbeitungsgang · Zubereitungsstatus · Verarbeitungsgang · Teil des Artikels · aktuelles Material		fuehre den Verarbeitungsgang aus; pruefe den Zubereitungsstatus; fuehre den Verarbeitungsgang aus; an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug	NO
P910-E0004	P910-D0565	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	4	chorchy	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	CH+OR+CH+Y	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · ANSATZ ODER ZUBEREITUNG · AUSWAEHLEN ODER ABNEHMEN · AKTUELLER POSTEN ODER BEZUG	Pflanzenteil entnehmen · Pflanzenansatz · Pflanzenteil entnehmen · aktuelles Material		nimm den bezeichneten Pflanzenteil; mit dem Pflanzenansatz; nimm den bezeichneten Pflanzenteil; mit dem aktuellen Posten oder Bezug	NO
P910-E0005	P910-D0684	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	5	pchodol	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	P+CH+O+D_ADDR+OL	NEW_COMPONENT_COMPOSITION	BEGINNEN ODER EINSETZEN · AUSWAEHLEN ODER ABNEHMEN · AKTIVER REGISTERGANG · TEIL- ODER UNTERADRESSE · FORTSETZEN	Material einsetzen · Pflanzenteil entnehmen · Verarbeitungsgang · Teil des Artikels · Artikel fortsetzen		setze den Teil ein; nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; an der Teil- oder Unteradresse; fahre fort	NO
P910-E0006	P910-D0563	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	6	chopchal	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	CH+O+P+CH+AL	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · AKTIVER REGISTERGANG · BEGINNEN ODER EINSETZEN · AUSWAEHLEN ODER ABNEHMEN · AUFNAHME- ODER ANSCHLUSSSTELLE	Pflanzenteil entnehmen · Verarbeitungsgang · Material einsetzen · Pflanzenteil entnehmen · Arbeitsstelle		nimm den bezeichneten Pflanzenteil; fuehre den Verarbeitungsgang aus; setze den Teil ein; nimm den bezeichneten Pflanzenteil; an der Arbeitsstelle	NO
P910-E0007	P910-D0765	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	7	ypch	abgebildeter Pflanzenartikel f10r	HEURISTIC_COMPOSITION	Y+P+CH	NEW_COMPONENT_COMPOSITION	AKTUELLER POSTEN ODER BEZUG · BEGINNEN ODER EINSETZEN · AUSWAEHLEN ODER ABNEHMEN	aktuelles Material · Material einsetzen · Pflanzenteil entnehmen		mit dem aktuellen Posten oder Bezug; setze den Teil ein; nimm den bezeichneten Pflanzenteil	NO
P910-E0008	P910-D0629	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	8	kom	abgebildeter Pflanzenartikel f10r	LOCAL_WORKSHOP_CARD	WHOLE[kom]	LOCAL_WORKSHOP_CARD	GELERNTE LOKALE GANZKARTE	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W006 aus	H-W006	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W006 aus	NO
P910-E0009	P910-D0594	f10r	f10r	HERBAL	f10r.2	P	PROSE	2	1	dchey	abgebildeter Pflanzenartikel f10r	PASS908_EXACT_RECIPE	CH+E+Y	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN · KURZER GRAD · AKTUELLER POSTEN ODER BEZUG	Pflanzenteil entnehmen · kurz bearbeiten · aktuelles Material		nimm den bezeichneten Pflanzenteil; im kurzen Grad; mit dem aktuellen Posten oder Bezug	NO
P910-E0010	P910-D0581	f10r	f10r	HERBAL	f10r.2	P	PROSE	2	2	cthoor	abgebildeter Pflanzenartikel f10r	PASS908_EXACT_RECIPE	CTH+O+OR	LEARNED_COMPONENT_RECIPE	BEREIT- ODER STATUSMARKER · AKTIVER REGISTERGANG · ANSATZ ODER ZUBEREITUNG	Zubereitungsstatus · Verarbeitungsgang · Pflanzenansatz		pruefe den Zubereitungsstatus; fuehre den Verarbeitungsgang aus; mit dem Pflanzenansatz	NO
