component	layer	portable_value_de	herbal_de	biological_de	zodiac_de	pharma_de	pass909_decision
AIIN	A_PORTABLE_CORE	VORGESCHRIEBENES MASS	Mass des Pflanzenteils	Mass der Anwendung	Zahl- oder Masswert der Stelle	Mass der Zutat	KEEP_STRONG
AIN	A_PORTABLE_CORE	PORTION ODER EINHEIT	Pflanzenportion	Teilmenge	Einheit im Ring	Zutatenportion	KEEP_STRONG
AIR	A_PORTABLE_CORE	LAUF ODER BAHN	Verarbeitungsweg	Wasser- oder Rohrlauf	Ringlauf	Flussweg des Ansatzes	REVISE_BROADER
AL	A_PORTABLE_CORE	AUFNAHME- ODER ANSCHLUSSSTELLE	Arbeitsstelle	Becken- oder Anschlussstelle	Figurenstelle	Empfangs- oder Gefaessstelle	REVISE
AM_ADDR	C_LOCAL_SIGN	LOKALE M-ADRESSE	lokale Stelle	lokale Gegenstelle	Gegen- oder Innenfeld	lokale Zutatenklasse	REGISTER_LOCAL_ONLY
AN	B_REGISTER_OPERATOR	NACHGABE ODER ZUSATZ	weiterer Pflanzenzusatz	weiterer Stationsposten	weiterer Ringwert	weitere Zutat	LOCAL_WORKSHOP_ROOT
AR	A_PORTABLE_CORE	AUSGANGS- ODER ENTNAHMESTELLE	Entnahmeseite	Ausgangsstation	Bezugsstelle	Vorrats- oder Entnahmestelle	REVISE
A_ADDR	C_LOCAL_SIGN	LOKALE ADRESSE	lokale Artikelstelle	lokale Station	lokale Ringstelle	lokale Rezeptstelle	REGISTER_LOCAL_ONLY
CARRIER_Q	C_LOCAL_SIGN	SCHREIBTRAEGER Q	q-Träger	q-Träger	q-Träger	q-Träger	RENDERER_ONLY
CFH	B_REGISTER_OPERATOR	PRESS- ODER TRENNOPERATION	auspressen	Anlagenoperation	Kennungsoperation	abpressen	KEEP_PROSE_LOCAL
CH	B_REGISTER_OPERATOR	AUSWAEHLEN ODER ABNEHMEN	Pflanzenteil entnehmen	Posten abnehmen	Kennung ablesen	Zutat entnehmen	ABSTRACT_PORTABLE
CHD	B_REGISTER_OPERATOR	POSTENWECHSEL ODER UMSETZEN	Material umsetzen	Stationsposten wechseln	Bezugsstelle wechseln	Ansatz umsetzen	KEEP_BROADER
CHEO	B_REGISTER_OPERATOR	REGISTERABHAENGIGER EINTRAG	Auszug	Arbeitsinhalt	Kennung oder Eintrag	Auszug	REGISTER_BOUND
CHK	B_REGISTER_OPERATOR	ZUSTANDSBEHANDLUNG	lokal waermen	lokal temperieren	Kennungszustand setzen	lokal waermen	DEMOTE_LITERAL
CKH	A_PORTABLE_CORE	DURCHLASS ODER VERBINDUNGSWEG	Seihweg	Beckenverbindung	Ringdurchgang	Gefaessdurchgang	KEEP_STRONG
CTH	B_REGISTER_OPERATOR	BEREIT- ODER STATUSMARKER	Zubereitungsstatus	Stationsstatus	Stellenstatus	Ansatzstatus	KEEP_BROADER
DA	B_REGISTER_OPERATOR	MARKIERTE ODER ZWEITE STUFE	zweiter Teilgang	zweite Station	zweiter Ringwert	zweite Portion	KEEP_TENTATIVE
DY	A_PORTABLE_CORE	LIZENZIERTER ABSCHLUSS	Arbeitsschritt schliessen	Stationsschritt schliessen	Kennung oder Teilfolge schliessen	Ansatzschritt schliessen	KEEP_CONTEXT_BOUND
D_ADDR	B_REGISTER_OPERATOR	TEIL- ODER UNTERADRESSE	Teil des Artikels	Teilstation	Teilring	Teilrezept	KEEP_ADDRESS_ROLE
D_LABEL	C_LOCAL_SIGN	LOKALES D-KENNZEICHEN	lokaler Artikelmarker	lokaler Stationsmarker	lokaler Phasenmarker	lokaler Rezeptmarker	REGISTER_LOCAL_ONLY
E	A_PORTABLE_CORE	KURZER GRAD	kurz bearbeiten	kurz halten	kurzer Ringwert	kurz ansetzen	KEEP_STRONG
EE	A_PORTABLE_CORE	LAENGERER GRAD	laenger bearbeiten	laenger halten	laengerer Ringwert	laenger ansetzen	KEEP_STRONG
EEE	A_PORTABLE_CORE	VOLLER GRAD	vollstaendig bearbeiten	vollstaendig halten	voller Ringwert	vollstaendig ansetzen	KEEP_STRONG
G_LABEL	C_LOCAL_SIGN	LOKALE G-ENDUNG	lokales Kennzeichen	lokales Kennzeichen	lokale Figurenkennung	lokale Zutatenkennung	LOCAL_SIGN
HO	B_REGISTER_OPERATOR	MATERIAL- ODER OBJEKTTEIL	Pflanzenteil	Koerper- oder Anlagenabschnitt	Figurenteil	Zutatenteil	KEEP_BROADER
IIN	A_PORTABLE_CORE	STUFE ODER INDEX	Arbeitsstufe	Stationsstufe	Ringstufe	Zubereitungsstufe	KEEP_STRONG
K	B_REGISTER_OPERATOR	ZUORDNEN ODER ZUGEBEN	Material zugeben	Posten einsetzen	Wert zuordnen	Zutat zugeben	ABSTRACT_PORTABLE
L	A_PORTABLE_CORE	LEITEN ODER VERBINDEN	weiterleiten	Becken verbinden	Ringverbindung	zum Gefaess leiten	KEEP_STRONG
LD	B_REGISTER_OPERATOR	BEFESTIGEN	Auflage befestigen	Einsatz befestigen	Kennung befestigen	Verschluss befestigen	KEEP_LOCAL
LSH	B_REGISTER_OPERATOR	WASCH- ODER SPUELGANG	Pflanzenteil waschen	Becken spuelen	Ringgang markieren	Gefaess spuelen	REGISTER_BOUND
M_LOCAL	C_LOCAL_SIGN	LOKALES M-ZEICHEN	lokale Stelle	lokale Stelle	lokales Innenzeichen	lokale Zutatenklasse	LOCAL_SIGN
O	B_REGISTER_OPERATOR	AKTIVER REGISTERGANG	Verarbeitungsgang	Stationsgang	Ringgang	Zubereitungsgang	KEEP_BROADER
OK	B_REGISTER_OPERATOR	GANG ANSETZEN ODER AKTIVIEREN	Zubereitung ansetzen	Station aktivieren	Ringstelle setzen	Ansatz beginnen	KEEP_BROADER
OL	A_PORTABLE_CORE	FORTSETZEN	Artikel fortsetzen	Lauf fortsetzen	im Ring weiter	Ansatz fortsetzen	KEEP_STRONG
OR	B_REGISTER_OPERATOR	ANSATZ ODER ZUBEREITUNG	Pflanzenansatz	Arbeitsansatz	lokaler Eintrag	Gefaessansatz	KEEP_PROSE_STRONG
OS	B_REGISTER_OPERATOR	DAZU ODER AUCH	dazu	auch an dieser Station	auch an dieser Stelle	dazu	LOCAL_WORKSHOP_ROOT
OT	A_PORTABLE_CORE	DANACH ODER NAECHSTE STELLE	danach	naechste Station	naechster Ringplatz	danach	KEEP_STRONG
P	B_REGISTER_OPERATOR	BEGINNEN ODER EINSETZEN	Material einsetzen	Zeile oder Station beginnen	Eintrag beginnen	Zutat einsetzen	REVISE
R	B_REGISTER_OPERATOR	MARKIERTER ZUSTAND	lokal kuehl	lokaler Zustand	Kennungszustand	lokal kuehl	DEMOTE_LITERAL
RESUME_CARD	B_REGISTER_OPERATOR	DAVON ODER WIEDERAUFNAHME	davon weiterarbeiten	diesen Stationsposten wiederaufnehmen	diesen Bezug wiederaufnehmen	davon weiterarbeiten	LOCAL_WORKSHOP_ROOT
S	B_REGISTER_OPERATOR	KONTEXTMARKER	Probe oder und/dann	Probe	Stern- oder Phasenkennung	und/dann	DEMOTE_TO_CONTEXT
SH	B_REGISTER_OPERATOR	HALTEN ODER FESTHALTEN	Ansatz halten	Posten halten	Bezug festhalten	Ansatz halten	KEEP_BROADER
SHED	B_REGISTER_OPERATOR	RUHE- ODER HALTESTUFE	ruhen lassen	an Station halten	Ringstatus halten	Ansatz ruhen lassen	KEEP_PROSE_STRONG
SOLK	B_REGISTER_OPERATOR	SAMMEL- ODER HALTESTELLE	Sammelgefäss	Auffangstelle	lokale Sammelstelle	Sammelgefäss	KEEP_TENTATIVE
S_ADDR	C_LOCAL_SIGN	LOKALE S-ADRESSE	lokaler Anschluss	lokale Station	Sternbezug	lokale Rezeptverknuepfung	REGISTER_LOCAL_ONLY
S_LABEL	C_LOCAL_SIGN	LOKALES S-KENNZEICHEN	Prosakonnektor	Stationskennung	Phasenkennung	Prosakonnektor	REGISTER_LOCAL_ONLY
T	B_REGISTER_OPERATOR	BEARBEITEN ODER MARKIEREN	bearbeiten	Anlage bedienen	Stelle markieren	Zutat bearbeiten	ABSTRACT_PORTABLE
Y	A_PORTABLE_CORE	AKTUELLER POSTEN ODER BEZUG	aktuelles Material	aktueller Stationsposten	aktuelle Ringstelle	aktueller Ansatzteil	KEEP_STRONG
Z_ADDR	C_LOCAL_SIGN	LOKALER Z-BEZUG	lokaler Bezug	lokaler Bezug	lokaler Ringbezug	lokaler Bezug	LOCAL_SIGN
